sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
1772477657,440316261,0.166674,-1.341708,2.745497,-1.379085,-0.440038,-1.315093,1,0.000000,-0.003078,0.000000,0.000000,0.311127,-0.000033,0.007345,-0.000033,0.000000,0.000000,0.000000,0.000000,0.311127,-0.000410,0.007333,-0.000410,1,-0.007995,0.007333,-0.007333,0.007333,-0.007333,0.020000,-0.020000,0.311127,0.330000,-0.000035,1
1772477657,465343505,0.166443,-1.342564,2.744945,-1.378265,-0.439703,-1.315644,1,0.008809,-0.004361,0.311127,-0.000033,0.311127,0.000487,0.220003,0.000487,0.008809,0.000000,0.311127,-0.000410,0.311125,-0.001067,0.220000,-0.001067,1,-0.020788,0.220000,0.220000,0.006923,-0.007744,0.019967,-0.020033,0.311127,0.330000,0.000517,1
1772477657,515455443,0.167528,-1.340577,2.745639,-1.380503,-0.440045,-1.314950,1,0.007202,-0.002398,0.311127,0.000487,0.311127,-0.000167,0.220002,-0.000167,0.007202,0.000000,0.311125,-0.001067,0.311126,0.000840,0.220000,0.000840,1,0.016360,0.220000,0.220000,0.006266,-0.008401,0.020487,-0.019513,0.311127,0.330000,-0.000178,1
1772477657,540550600,0.167469,-1.341355,2.745748,-1.379848,-0.439620,-1.314841,1,0.023115,-0.022816,0.311127,-0.000167,0.311127,-0.000270,0.220000,-0.000270,0.023115,0.000000,0.311126,0.000840,0.311127,0.000107,0.220000,0.000107,1,0.002094,0.220000,0.220000,0.008173,-0.006493,0.019833,-0.020167,0.311127,0.330000,-0.000287,1
1772477657,565566943,0.166734,-1.340612,2.746719,-1.379993,-0.440655,-1.313870,1,0.030466,0.002972,0.311127,-0.000270,0.311127,-0.001186,0.220000,-0.001186,0.030466,0.000000,0.311127,0.000107,0.311127,0.000185,0.220000,0.000185,1,0.003598,0.220000,0.220000,0.007441,-0.007226,0.019730,-0.020270,0.311127,0.330000,-0.001257,1
1772477657,615730894,0.166328,-1.341332,2.747773,-1.379175,-0.440541,-1.312816,1,0.029215,0.002800,0.311127,-0.001186,0.311127,-0.002180,0.220002,-0.002180,0.029215,0.000000,0.311127,0.000185,0.311126,-0.000917,0.220000,-0.000917,1,-0.017862,0.220000,0.220000,0.007518,-0.007149,0.018814,-0.021186,0.311127,0.330000,-0.002312,1
1772477657,640750221,0.165320,-1.340630,2.747746,-1.379121,-0.441768,-1.312843,1,0.045630,-0.007572,0.311127,-0.002180,0.311127,-0.002154,0.220001,-0.002154,0.045630,0.000000,0.311126,-0.000917,0.311126,-0.000665,0.220000,-0.000665,1,-0.012949,0.220000,0.220000,0.006416,-0.008250,0.017820,-0.022180,0.311127,0.330000,-0.002285,1
1772477657,665818213,0.162942,-1.339346,2.748001,-1.378699,-0.444438,-1.312588,1,0.052723,-0.015193,0.311127,-0.002154,0.311127,-0.002395,0.220001,-0.002395,0.052723,0.000000,0.311126,-0.000665,0.311127,-0.000493,0.220000,-0.000493,1,-0.009600,0.220000,0.220000,0.006669,-0.007998,0.017846,-0.022154,0.311127,0.330000,-0.002540,1
1772477657,715954983,0.161226,-1.339088,2.746280,-1.377863,-0.445958,-1.314309,1,0.051553,-0.001852,0.311127,-0.002395,0.311127,-0.000772,0.220000,-0.000772,0.051553,0.000000,0.311127,-0.000493,0.311127,-0.000357,0.220000,-0.000357,1,-0.006959,0.220000,0.220000,0.006841,-0.007826,0.017605,-0.022395,0.311127,0.330000,-0.000819,1
1772477657,740957603,0.160459,-1.338783,2.745623,-1.377641,-0.446753,-1.314967,1,0.068177,-0.007740,0.311127,-0.000772,0.311127,-0.000152,0.220000,-0.000152,0.068177,0.000000,0.311127,-0.000357,0.311127,-0.000166,0.220000,-0.000166,1,-0.003237,0.220000,0.220000,0.006976,-0.007691,0.019228,-0.020772,0.311127,0.330000,-0.000161,1
