sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772476882,505006211,0.178103,-0.845569,2.914768,-1.375756,-0.444234,-1.322549,1,0.000000,-0.001214,0.000000,-0.061397,0.000000,-0.041397,0.000000,-0.041397,0,13.679528,0.007333,0.000000,-0.041397,-0.081397,0.220000
1772476882,530078655,0.179989,-0.845520,2.914621,-1.376662,-0.442580,-1.322697,1,0.000000,-0.045763,0.000000,-0.041397,0.000000,-0.021397,0.000000,-0.021397,0,13.516864,0.007333,0.000000,-0.021397,-0.061397,0.220000
1772476882,555108848,0.179961,-0.846070,2.914066,-1.376160,-0.442353,-1.323251,1,0.000000,-0.031001,0.000000,-0.021397,0.000000,-0.001397,0.000000,-0.001397,0,13.486441,0.007333,0.000000,-0.001397,-0.041397,0.220000
1772476882,605347550,0.180247,-0.846595,2.912184,-1.375825,-0.441858,-1.325134,1,0.000000,-0.009628,0.000000,-0.001397,0.001384,0.018603,0.001384,0.018603,0,13.445506,0.007333,0.000000,0.018603,-0.021397,0.220000
1772476882,630335050,0.178567,-0.846256,2.911958,-1.375357,-0.443507,-1.325360,1,0.001232,0.021620,0.001384,0.018603,0.002834,0.038603,0.002834,0.038603,0,13.623458,0.008717,0.000000,0.038603,-0.001397,0.220000
1772476882,655326246,0.180239,-0.846509,2.911842,-1.375897,-0.441906,-1.325476,1,0.003208,0.037549,0.002834,0.038603,0.004355,0.058603,0.004355,0.058603,0,13.456755,0.010167,0.000000,0.058603,0.018603,0.220000
1772476882,705422320,0.180655,-0.847154,2.913637,-1.375515,-0.441240,-1.323681,1,0.004353,0.056596,0.004355,0.058603,0.005888,0.078603,0.005888,0.078603,0,13.349694,0.011688,0.000000,0.078603,0.038603,0.220000
1772476882,730507137,0.179156,-0.846651,2.914795,-1.375276,-0.442803,-1.322522,1,0.005731,0.074953,0.005888,0.078603,0.007300,0.098603,0.007300,0.098603,0,13.508188,0.013221,0.000000,0.098603,0.058603,0.220000
1772476882,755518223,0.180039,-0.846783,2.915783,-1.375562,-0.441958,-1.321535,1,0.007371,0.092378,0.007300,0.098603,0.008847,0.118603,0.008847,0.118603,0,13.406628,0.014633,0.000000,0.118603,0.078603,0.220000
1772476882,805685361,0.180013,-0.846811,2.918996,-1.375526,-0.441968,-1.318321,1,0.009339,0.120498,0.008847,0.118603,0.010369,0.138603,0.010369,0.138603,0,13.367463,0.016180,0.001513,0.138603,0.098603,0.220000
