sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
1772477024,419336713,0.170099,-1.187331,2.939120,-1.411992,-0.398923,-1.197306,1,0.000000,0.000000,0.091815,0.140000,0.081873,0.160000,0.081873,0.160000,0.000000,0.000000,-0.045090,0.079981,-0.037756,0.072647,-0.037756,0.072647,0,11.310115,-0.037756,-0.052423,0.087314,0.072647,0.160000,0.120000,0.311127,0.137722,1.181664,1
1772477024,444364852,0.169466,-1.188039,2.938540,-1.411054,-0.399068,-1.197885,1,0.022771,-0.103196,0.081873,0.160000,0.072052,0.180000,0.072052,0.180000,-0.003811,0.022449,-0.037756,0.072647,-0.030423,0.065314,-0.030423,0.065314,0,12.340348,-0.030423,-0.045090,0.079981,0.065314,0.180000,0.140000,0.311127,0.122809,1.167938,1
1772477024,494385780,0.169879,-1.187804,2.939383,-1.411476,-0.398850,-1.197043,1,0.063345,-0.158666,0.072052,0.180000,0.062409,0.200000,0.062409,0.200000,-0.025592,0.057945,-0.030423,0.065314,-0.023090,0.057981,-0.023090,0.057981,0,13.324467,-0.023090,-0.037756,0.072647,0.057981,0.200000,0.160000,0.311127,0.110000,1.133320,1
1772477024,519441353,0.169781,-1.187704,2.939167,-1.411506,-0.398987,-1.197258,1,0.060107,-0.034328,0.062409,0.200000,0.053042,0.220000,0.053042,0.220000,-0.021547,0.056113,-0.023090,0.057981,-0.015756,0.050647,-0.015756,0.050647,0,13.343388,-0.015756,-0.030423,0.065314,0.050647,0.220000,0.180000,0.311127,0.110000,1.133535,1
1772477024,544482298,0.170303,-1.189535,2.937455,-1.410255,-0.397551,-1.198971,1,0.054341,0.187050,0.053042,0.220000,0.044125,0.240000,0.044125,0.240000,-0.016063,0.051913,-0.015756,0.050647,-0.008423,0.043314,-0.008423,0.043314,0,13.183941,-0.008423,-0.023090,0.057981,0.043314,0.240000,0.200000,0.311127,0.110000,1.135248,1
1772477024,594489369,0.171291,-1.193315,2.935516,-1.407622,-0.394664,-1.200910,1,0.044590,0.234356,0.044125,0.240000,0.035997,0.258811,0.035997,0.258811,-0.008494,0.043774,-0.008423,0.043314,-0.001090,0.035981,-0.001090,0.035981,0,12.836920,-0.001090,-0.015756,0.050647,0.035981,0.260000,0.220000,0.311127,0.110000,1.155798,1
1772477024,619592120,0.171192,-1.196657,2.938754,-1.404766,-0.392927,-1.197671,1,0.033529,0.285487,0.035997,0.258811,0.029320,0.254588,0.029320,0.254588,0.001061,0.033512,-0.001090,0.035981,0.006244,0.028647,0.006244,0.028647,0,12.555105,0.006244,-0.008423,0.043314,0.028647,0.278811,0.238811,0.311127,0.110000,1.152559,1
1772477024,644642993,0.172445,-1.197927,2.945562,-1.404383,-0.391185,-1.190864,1,0.029351,0.259508,0.029320,0.254588,0.025271,0.253996,0.025271,0.253996,0.006161,0.028697,0.006244,0.028647,0.013577,0.021314,0.013577,0.021314,0,12.234405,0.013577,-0.001090,0.035981,0.021314,0.274588,0.234588,0.311127,0.110000,1.145752,1
1772477024,694734477,0.171537,-1.199726,2.960820,-1.402381,-0.390966,-1.175605,1,0.024789,0.256513,0.025271,0.253996,0.026661,0.273996,0.026661,0.273996,0.013128,0.021027,0.013577,0.021314,0.020050,0.017572,0.020050,0.017572,0,11.983954,0.020910,0.006244,0.028647,0.013981,0.273996,0.233996,0.311127,0.110000,1.130493,1
1772477024,719784631,0.171551,-1.199166,2.968193,-1.402857,-0.391260,-1.168232,1,0.026946,0.276838,0.026661,0.273996,0.028794,0.293996,0.028794,0.293996,0.021120,0.016734,0.020050,0.017572,0.021735,0.018887,0.021735,0.018887,0,11.926080,0.027383,0.012716,0.024906,0.010239,0.293996,0.253996,0.311127,0.110000,1.123120,1
