sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
1772476982,127527259,0.127103,-1.141223,2.868911,-1.318115,-0.339339,-1.327128,1,0.000000,0.000000,0.311127,0.412387,0.311127,1.236776,0.303651,0.432387,0.000000,0.000000,-0.310975,-0.009714,0.138213,0.278742,-0.303642,-0.002381,1,5.429767,-0.220000,-0.220000,-0.002381,-0.017047,0.432387,0.392387,0.311127,0.330000,1.311799,1
1772476982,152476844,0.128121,-1.140914,2.868721,-1.318886,-0.338607,-1.327318,1,0.015314,-0.109698,0.311127,1.236776,0.311127,1.236956,0.260115,0.600000,0.002252,0.015147,0.138213,0.278742,0.138779,0.278461,0.138779,0.220000,1,5.424281,0.145546,0.130879,0.220000,0.220000,0.600000,0.600000,0.311127,0.330000,1.311990,1
1772476982,202503488,0.128158,-1.141810,2.868511,-1.318126,-0.338132,-1.327528,1,0.070914,-0.409478,0.311127,1.236956,0.311127,1.237154,0.260308,0.600000,0.010667,0.070107,0.138779,0.278461,0.139141,0.278280,0.139141,0.220000,1,5.420765,0.146113,0.131446,0.220000,0.220000,0.600000,0.600000,0.311127,0.330000,1.312200,1
1772476982,227489554,0.127491,-1.142258,2.867441,-1.317406,-0.338491,-1.328598,1,0.099453,-0.546760,0.311127,1.237154,0.311127,1.238163,0.259989,0.600000,0.014260,0.098425,0.139141,0.278280,0.138544,0.278578,0.138544,0.220000,1,5.426565,0.146474,0.131807,0.220000,0.220000,0.600000,0.600000,0.311127,0.330000,1.313270,1
1772476982,252489551,0.126651,-1.142786,2.864399,-1.316532,-0.338960,-1.331639,1,0.134557,-0.648058,0.311127,1.238163,0.311127,1.241030,0.259330,0.600000,0.055633,0.122517,0.138544,0.278578,0.137303,0.279191,0.137303,0.220000,1,5.438515,0.145877,0.131210,0.220000,0.220000,0.600000,0.600000,0.311127,0.330000,1.316311,1
1772476982,277518281,0.126651,-1.144875,2.860612,-1.314716,-0.337929,-1.335427,1,0.141272,-0.495675,0.311127,1.241030,0.311127,1.244601,0.259256,0.600000,0.062802,0.126545,0.137303,0.279191,0.137162,0.279261,0.137162,0.220000,1,5.439865,0.144637,0.129970,0.220000,0.220000,0.600000,0.600000,0.311127,0.330000,1.320099,1
1772476982,327544026,0.127379,-1.146022,2.855861,-1.314078,-0.336730,-1.340178,1,0.140386,-0.394113,0.311127,1.244601,0.311127,1.249080,0.259107,0.600000,0.062739,0.125587,0.137162,0.279261,0.136882,0.279398,0.136882,0.220000,1,5.442544,0.144496,0.129829,0.220000,0.220000,0.600000,0.600000,0.311127,0.330000,1.324849,1
1772476982,352652607,0.125366,-1.149010,2.855311,-1.310485,-0.337004,-1.340728,1,0.139049,-0.192222,0.311127,1.249080,0.311127,1.252106,0.258927,0.600000,0.061832,0.124545,0.136882,0.279398,0.136540,0.279565,0.136540,0.220000,1,5.445802,0.144215,0.129549,0.220000,0.220000,0.600000,0.600000,0.311127,0.330000,1.328059,1
1772476982,377702998,0.126066,-1.151252,2.856379,-1.308881,-0.335289,-1.339660,1,0.138953,0.003719,0.311127,1.252106,0.311127,1.251099,0.259881,0.600000,0.061914,0.124397,0.136540,0.279565,0.138342,0.278678,0.138342,0.220000,1,5.428522,0.143873,0.129207,0.220000,0.220000,0.600000,0.600000,0.311127,0.330000,1.326991,1
1772476982,427836107,0.122028,-1.156436,2.860789,-1.302379,-0.336241,-1.335250,1,0.138593,0.107388,0.311127,1.251099,0.311127,1.246941,0.260140,0.600000,0.063011,0.123442,0.138342,0.278678,0.138826,0.278437,0.138826,0.220000,1,5.423826,0.145675,0.131008,0.220000,0.220000,0.600000,0.600000,0.311127,0.330000,1.322581,1
1772476982,452893597,0.120386,-1.160596,2.862838,-1.297952,-0.335615,-1.333201,1,0.138935,0.293587,0.311127,1.246941,0.311127,1.247620,0.260758,0.600000,0.064271,0.123176,0.138826,0.278437,0.139981,0.277858,0.139981,0.220000,1,5.412546,0.146159,0.131493,0.220000,0.220000,0.600000,0.600000,0.311127,0.330000,1.323300,1
