sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
1772476718,941130604,0.272232,-0.692968,2.991130,-1.488686,-0.371392,-1.315070,1,0.000000,-0.005127,0.000000,0.000000,0.311127,0.000557,0.007364,0.000557,0.000000,0.000000,0.000000,0.000000,0.311126,-0.000667,0.007333,-0.000667,1,-0.038996,0.007333,-0.007333,0.007333,-0.007333,0.020000,-0.020000,0.311127,0.110000,0.000197,1
1772476718,966150536,0.272381,-0.693576,2.991010,-1.488187,-0.371015,-1.315190,1,0.015550,0.106758,0.311127,0.000557,0.311127,0.000896,0.220012,0.000896,0.014868,0.004556,0.311126,-0.000667,0.311119,-0.002265,0.220000,-0.002265,1,-0.132383,0.220000,0.220000,0.006666,-0.008001,0.020557,-0.019443,0.311127,0.110000,0.000317,1
1772476718,991104133,0.272496,-0.693003,2.991715,-1.488758,-0.371136,-1.314485,1,0.071362,0.398766,0.311127,0.000896,0.311127,-0.001097,0.220002,-0.001097,0.066721,0.025316,0.311119,-0.002265,0.311126,-0.000834,0.220000,-0.000834,1,-0.048759,0.220000,0.220000,0.005068,-0.009599,0.020896,-0.019104,0.311127,0.110000,-0.000388,1
1772476719,16156484,0.273492,-0.693603,2.992978,-1.488601,-0.369984,-1.313222,1,0.125059,0.710703,0.311127,-0.001097,0.311127,-0.004669,0.220014,-0.004669,0.116679,0.045008,0.311126,-0.000834,0.311117,-0.002483,0.220000,-0.002483,1,-0.145080,0.220000,0.220000,0.006499,-0.008168,0.018903,-0.021097,0.311127,0.110000,-0.001651,1
1772476719,66411305,0.271470,-0.692127,3.008178,-1.489158,-0.372425,-1.298022,1,0.145102,0.790344,0.311127,-0.004669,0.311127,-0.047662,0.220035,-0.024669,0.139513,0.039885,0.311117,-0.002483,0.311102,-0.003940,0.220000,-0.003940,1,-0.230268,0.220000,0.220000,0.004851,-0.009816,0.015331,-0.024669,0.311127,0.110000,-0.016851,1
1772476719,91387197,0.268769,-0.692314,3.020488,-1.487919,-0.374832,-1.285711,1,0.177685,0.796727,0.311127,-0.047662,0.311127,-0.082482,0.220202,-0.067662,0.176930,0.016359,0.311102,-0.003940,0.310984,-0.009436,0.220000,-0.009436,1,-0.551403,0.220000,0.220000,0.003393,-0.011274,-0.027662,-0.067662,0.311127,0.110000,-0.029162,1
1772476719,116537802,0.266101,-0.692937,3.034583,-1.486292,-0.377037,-1.271617,1,0.203703,0.746424,0.311127,-0.082482,0.311127,-0.122348,0.220632,-0.102482,0.203703,0.000000,0.310984,-0.009436,0.310679,-0.016687,0.220000,-0.016687,1,-0.975146,0.220000,0.220000,-0.002102,-0.016769,-0.062482,-0.102482,0.311127,0.110000,-0.043257,1
1772476719,166695766,0.256584,-0.690006,3.070421,-1.485225,-0.386937,-1.235779,1,0.216644,0.682801,0.311127,-0.122348,0.311127,-0.223713,0.221268,-0.142348,0.216306,-0.012101,0.310679,-0.016687,0.310227,-0.023654,0.220000,-0.023654,1,-1.382309,0.220000,0.220000,-0.009353,-0.024020,-0.102348,-0.142348,0.311127,0.110000,-0.079094,1
1772476719,191807277,0.250222,-0.688805,3.088711,-1.483815,-0.393256,-1.217489,1,0.213457,0.419673,0.311127,-0.223713,0.311127,-0.275445,0.221859,-0.243713,0.212991,-0.014093,0.310227,-0.023654,0.309804,-0.028662,0.220000,-0.028662,1,-1.674975,0.220000,0.220000,-0.016321,-0.030987,-0.203713,-0.243713,0.311127,0.110000,-0.097385,1
1772476719,216895820,0.244330,-0.689644,3.104179,-1.480715,-0.398337,-1.202020,1,0.218276,0.138470,0.311127,-0.275445,0.311127,-0.319196,0.222925,-0.295445,0.217618,-0.016933,0.309804,-0.028662,0.308765,-0.038262,0.220000,-0.035995,1,-2.235963,0.220000,0.220000,-0.021329,-0.035995,-0.255445,-0.295445,0.311127,0.110000,-0.112853,1
1772476719,266944926,0.230506,-0.689451,3.121819,-1.475431,-0.411113,-1.184381,1,0.216564,-0.061403,0.311127,-0.319196,0.311127,-0.369087,0.224675,-0.339196,0.215123,-0.024944,0.308765,-0.038262,0.307251,-0.048955,0.220000,-0.045595,1,-2.860838,0.220000,0.220000,-0.030928,-0.045595,-0.299196,-0.339196,0.311127,0.110000,-0.130492,1
1772476719,291961884,0.223281,-0.687786,3.122012,-1.474106,-0.418407,-1.184188,1,0.218526,-0.283597,0.311127,-0.369087,0.311127,-0.369634,0.225056,-0.369634,0.216068,-0.032685,0.307251,-0.048955,0.307489,-0.047437,0.220000,-0.047437,1,-2.772172,0.220000,0.220000,-0.041621,-0.056288,-0.349087,-0.389087,0.311127,0.110000,-0.130685,1
1772476719,341907321,0.212270,-0.688344,3.105728,-1.469242,-0.428303,-1.200472,1,0.218452,-0.295889,0.311127,-0.369634,0.311127,-0.323576,0.225300,-0.349634,0.216287,-0.030675,0.307489,-0.047437,0.307310,-0.048583,0.220000,-0.048583,1,-2.839107,0.220000,0.220000,-0.040104,-0.054771,-0.349634,-0.389634,0.311127,0.110000,-0.114401,1
1772476719,366942886,0.206725,-0.686490,3.095786,-1.468755,-0.434129,-1.210414,1,0.220227,-0.274214,0.311127,-0.323576,0.311127,-0.295455,0.224108,-0.303576,0.217965,-0.031484,0.307310,-0.048583,0.308181,-0.042714,0.220000,-0.042714,1,-2.496172,0.220000,0.220000,-0.041249,-0.055916,-0.303576,-0.343576,0.311127,0.110000,-0.104459,1
1772476719,391997036,0.202045,-0.686133,3.087757,-1.467234,-0.438569,-1.218443,1,0.223168,-0.224241,0.311127,-0.295455,0.311127,-0.272746,0.223827,-0.275455,0.221290,-0.028891,0.308181,-0.042714,0.308385,-0.041215,0.220000,-0.041215,1,-2.408527,0.220000,0.220000,-0.035381,-0.050048,-0.275455,-0.315455,0.311127,0.110000,-0.096430,1
1772476719,442157909,0.191514,-0.683454,3.075751,-1.465534,-0.449302,-1.230449,1,0.225333,-0.211720,0.311127,-0.272746,0.311127,-0.238787,0.222688,-0.252746,0.223732,-0.026816,0.308385,-0.041215,0.309209,-0.034495,0.220000,-0.034495,1,-2.015843,0.220000,0.220000,-0.033881,-0.048548,-0.252746,-0.292746,0.311127,0.110000,-0.084424,1
1772476719,467236754,0.184913,-0.681355,3.071360,-1.464854,-0.456195,-1.234840,1,0.225895,-0.169205,0.311127,-0.238787,0.311127,-0.226368,0.222046,-0.226368,0.224852,-0.021680,0.309209,-0.034495,0.309670,-0.030076,0.220000,-0.030076,1,-1.757613,0.220000,0.220000,-0.027162,-0.041828,-0.218787,-0.258787,0.311127,0.110000,-0.080033,1
1772476719,492400070,0.180105,-0.680630,3.067287,-1.463620,-0.460898,-1.238912,1,0.228676,-0.173527,0.311127,-0.226368,0.311127,-0.214849,0.221880,-0.214849,0.227848,-0.019446,0.309670,-0.030076,0.309789,-0.028824,0.220000,-0.028824,1,-1.684446,0.220000,0.220000,-0.022743,-0.037410,-0.206368,-0.246368,0.311127,0.110000,-0.075961,1
1772476719,517441862,0.174681,-0.680371,3.062969,-1.461715,-0.465983,-1.243231,1,0.231465,-0.177885,0.311127,-0.214849,0.311127,-0.202635,0.221910,-0.202635,0.230668,-0.019196,0.309789,-0.028824,0.309768,-0.029052,0.220000,-0.029052,1,-1.697732,0.220000,0.220000,-0.021491,-0.036158,-0.194849,-0.234849,0.311127,0.110000,-0.071642,1
1772476719,567560957,0.164096,-0.678864,3.054260,-1.458917,-0.476302,-1.251940,1,0.234965,-0.167444,0.311127,-0.202635,0.311127,-0.178003,0.221605,-0.182635,0.234074,-0.020436,0.309768,-0.029052,0.309986,-0.026619,0.220000,-0.026619,1,-1.555579,0.220000,0.220000,-0.021718,-0.036385,-0.182635,-0.222635,0.311127,0.110000,-0.062933,1
1772476719,592626068,0.158263,-0.677207,3.050966,-1.458134,-0.482315,-1.255234,1,0.239120,-0.152554,0.311127,-0.178003,0.311127,-0.168685,0.221245,-0.168685,0.238355,-0.019108,0.309986,-0.026619,0.310243,-0.023442,0.220000,-0.023442,1,-1.369898,0.220000,0.220000,-0.019286,-0.033952,-0.158003,-0.198003,0.311127,0.110000,-0.059639,1
