sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772480030,624308968,0.118603,-1.879284,2.478023,-1.445494,-0.485899,-1.299116,1,0.000000,-0.001623,0.000000,0.000000,0.007333,0.000495,0.007333,0.000495,0,0.067495,0.007333,0.000000,0.020000,-0.020000,0.220000
1772480030,674311690,0.119405,-1.879601,2.477963,-1.445951,-0.485168,-1.299176,1,0.000000,-0.001811,0.007333,0.000495,0.014667,0.001599,0.014667,0.001599,0,0.109029,0.014667,0.000000,0.020495,-0.019505,0.220000
1772480030,699289587,0.118300,-1.878603,2.478305,-1.445654,-0.486627,-1.298834,1,0.007013,-0.009742,0.014667,0.001599,0.022000,0.002643,0.022000,0.002643,0,0.120158,0.022000,0.007333,0.021599,-0.018401,0.220000
1772480030,724342728,0.117531,-1.879684,2.476458,-1.444393,-0.486213,-1.300681,1,0.022587,0.042496,0.022000,0.002643,0.029333,-0.001917,0.029333,-0.001917,0,-0.065342,0.029333,0.014667,0.022643,-0.017357,0.220000
1772480030,774363866,0.117741,-1.879149,2.475875,-1.444880,-0.486518,-1.301263,1,0.022064,0.006093,0.029333,-0.001917,0.036667,0.001330,0.036667,0.001330,0,0.036269,0.036667,0.022000,0.018083,-0.021917,0.220000
1772480030,799359932,0.117414,-1.878845,2.475491,-1.444798,-0.486958,-1.301648,1,0.037467,0.036190,0.036667,0.001330,0.044000,0.002183,0.044000,0.002183,0,0.049615,0.044000,0.029333,0.021330,-0.018670,0.220000
1772480030,824412994,0.116839,-1.877052,2.476306,-1.445398,-0.488742,-1.300833,1,0.045243,0.040372,0.044000,0.002183,0.051333,0.010754,0.051333,0.010754,0,0.209487,0.051333,0.036667,0.022183,-0.017817,0.220000
1772480030,874422655,0.115151,-1.876942,2.476494,-1.444106,-0.489832,-1.300644,1,0.044129,0.000000,0.051333,0.010754,0.058667,0.002851,0.058667,0.002851,0,0.048602,0.058667,0.044000,0.030754,-0.009246,0.220000
1772480030,899454024,0.115063,-1.876334,2.476026,-1.444396,-0.490374,-1.301112,1,0.060480,0.045484,0.058667,0.002851,0.066000,0.008397,0.066000,0.008397,0,0.127227,0.066000,0.051333,0.022851,-0.017149,0.220000
1772480030,924490977,0.113976,-1.875386,2.476429,-1.444084,-0.491782,-1.300710,1,0.067466,0.018814,0.066000,0.008397,0.073333,0.009722,0.073333,0.009722,0,0.132579,0.073333,0.058667,0.028397,-0.011603,0.220000
1772480030,974524791,0.111399,-1.873471,2.477464,-1.443147,-0.494853,-1.299674,1,0.066256,-0.003506,0.073333,0.009722,0.080667,0.008115,0.080667,0.008115,0,0.100598,0.080667,0.066000,0.029722,-0.010278,0.220000
1772480030,999456815,0.109223,-1.871716,2.476547,-1.442437,-0.497557,-1.300592,1,0.081820,0.034776,0.080667,0.008115,0.088000,0.008936,0.088000,0.008936,0,0.101550,0.088000,0.073333,0.028115,-0.011885,0.220000
1772480031,24539902,0.108816,-1.870939,2.476378,-1.442571,-0.498424,-1.300760,1,0.088028,0.012470,0.088000,0.008936,0.095333,0.012672,0.095333,0.012672,0,0.132922,0.095333,0.080667,0.028936,-0.011064,0.220000
1772480031,74458774,0.105694,-1.868319,2.476974,-1.441614,-0.502385,-1.300165,1,0.087911,-0.005421,0.095333,0.012672,0.102667,0.014402,0.102667,0.014402,0,0.140280,0.102667,0.088000,0.032672,-0.007328,0.220000
1772480031,99553488,0.103004,-1.867601,2.476733,-1.439876,-0.504560,-1.300405,1,0.104907,0.028684,0.102667,0.014402,0.110000,0.001636,0.110000,0.001636,0,0.014876,0.110000,0.095333,0.034402,-0.005598,0.220000
1772480031,124551711,0.100717,-1.864353,2.478157,-1.439963,-0.508531,-1.298982,1,0.109805,0.010278,0.110000,0.001636,0.117333,0.009557,0.117333,0.009557,0,0.081448,0.117333,0.102667,0.021636,-0.018364,0.220000
1772480031,174525394,0.096723,-1.861097,2.477867,-1.438681,-0.513523,-1.299272,1,0.109960,-0.004830,0.117333,0.009557,0.124667,0.011508,0.124667,0.011508,0,0.092308,0.124667,0.110000,0.029557,-0.010443,0.220000
1772480031,199607841,0.093650,-1.861340,2.476990,-1.436064,-0.515151,-1.300149,1,0.126823,0.037495,0.124667,0.011508,0.132000,-0.004868,0.132000,-0.004868,0,-0.036878,0.132000,0.117333,0.031508,-0.008492,0.220000
1772480031,224626733,0.090923,-1.858807,2.477119,-1.435374,-0.518809,-1.300019,1,0.132100,-0.019091,0.132000,-0.004868,0.139333,-0.002643,0.139333,-0.002643,0,-0.018972,0.139333,0.124667,0.015132,-0.024868,0.220000
1772480031,274621499,0.086210,-1.853352,2.478213,-1.434820,-0.525996,-1.298926,1,0.131881,0.000000,0.139333,-0.002643,0.146667,0.006020,0.146667,0.006020,0,0.041045,0.146667,0.132000,0.017357,-0.022643,0.220000
1772480031,299690258,0.084158,-1.851829,2.477710,-1.434072,-0.528440,-1.299429,1,0.148819,0.025644,0.146667,0.006020,0.154000,0.005171,0.154000,0.005171,0,0.033580,0.154000,0.139333,0.026020,-0.013980,0.220000
1772480031,324626839,0.079632,-1.849952,2.477674,-1.431544,-0.532637,-1.299464,1,0.146300,-0.002999,0.154000,0.005171,0.161333,-0.003126,0.161333,-0.003126,0,-0.019375,0.161333,0.146667,0.025171,-0.014829,0.220000
1772480031,374664326,0.074137,-1.845373,2.477514,-1.429840,-0.539584,-1.299625,1,0.146895,-0.007012,0.161333,-0.003126,0.168667,-0.001462,0.168667,-0.001462,0,-0.008667,0.168667,0.154000,0.016874,-0.023126,0.220000
1772480031,399703925,0.070910,-1.842850,2.477482,-1.428741,-0.543530,-1.299657,1,0.166650,0.027456,0.168667,-0.001462,0.176000,-0.001123,0.176000,-0.001123,0,-0.006381,0.176000,0.161333,0.018538,-0.021462,0.220000
1772480031,424698114,0.068748,-1.840914,2.477108,-1.428150,-0.546371,-1.300031,1,0.168941,-0.019278,0.176000,-0.001123,0.183333,0.000504,0.183333,0.000504,0,0.002751,0.183333,0.168667,0.018877,-0.021123,0.220000
1772480031,474704140,0.061003,-1.835695,2.477468,-1.425015,-0.555169,-1.299671,1,0.181071,0.030230,0.183333,0.000504,0.190667,-0.003418,0.190667,-0.003418,0,-0.017927,0.190667,0.176000,0.020504,-0.019496,0.220000
1772480031,499706442,0.057325,-1.833534,2.477671,-1.423339,-0.559091,-1.299468,1,0.188562,0.037121,0.190667,-0.003418,0.198000,-0.006338,0.198000,-0.006338,0,-0.032011,0.198000,0.183333,0.016582,-0.023418,0.220000
1772480031,524786383,0.053383,-1.831159,2.477193,-1.421575,-0.563342,-1.299945,1,0.189953,-0.058820,0.198000,-0.006338,0.205333,-0.008618,0.205333,-0.008618,0,-0.041970,0.205333,0.190667,0.013662,-0.026338,0.220000
1772480031,574735547,0.045766,-1.823894,2.477395,-1.419758,-0.573711,-1.299744,1,0.200700,-0.040342,0.205333,-0.008618,0.212667,-0.003418,0.212667,-0.003418,0,-0.016070,0.212667,0.198000,0.011382,-0.028618,0.220000
1772480031,599788171,0.043391,-1.819615,2.477779,-1.420387,-0.578564,-1.299360,1,0.206383,-0.054904,0.212667,-0.003418,0.220000,0.004874,0.220000,0.004874,0,0.022155,0.220000,0.205333,0.016582,-0.023418,0.220000
