sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
1772480724,142123620,-0.019249,-2.284278,2.257321,-1.414028,-0.409896,-1.342369,1,0.000000,0.000000,0.030085,0.320000,0.027216,0.300000,0.027216,0.300000,0.000000,0.000000,-0.028417,0.009877,-0.021084,0.017210,-0.021084,0.017210,0,13.382432,-0.021084,-0.035750,0.017210,0.002544,0.340000,0.300000,0.311127,0.110000,1.134036,1
1772480724,167141265,-0.019416,-2.284626,2.257512,-1.413725,-0.409658,-1.342178,1,0.000000,0.000000,0.027216,0.300000,0.024096,0.280000,0.024096,0.280000,0.000000,0.000000,-0.021084,0.017210,-0.013750,0.019788,-0.013750,0.019788,0,13.345151,-0.013750,-0.028417,0.024544,0.009877,0.320000,0.280000,0.311127,0.110000,1.133845,1
1772480724,217158626,-0.019217,-2.284377,2.257548,-1.414013,-0.409792,-1.342142,1,0.012006,0.044132,0.024096,0.280000,0.019521,0.260000,0.019521,0.260000,-0.008401,0.008578,-0.013750,0.019788,-0.006417,0.018436,-0.006417,0.018436,0,13.367476,-0.006417,-0.021084,0.027121,0.012454,0.300000,0.260000,0.311127,0.110000,1.133809,1
1772480724,242141918,-0.018788,-2.283523,2.257405,-1.414776,-0.410369,-1.342284,1,0.019766,0.022725,0.019521,0.260000,0.017184,0.240000,0.017184,0.240000,-0.013566,0.014376,-0.006417,0.018436,0.000916,0.017159,0.000916,0.017159,0,13.454223,0.000916,-0.013750,0.025769,0.011102,0.280000,0.240000,0.311127,0.110000,1.133951,1
1772480724,267111036,-0.018722,-2.285491,2.256715,-1.413964,-0.408575,-1.342975,1,0.019751,0.060786,0.017184,0.240000,0.017556,0.220000,0.017556,0.220000,-0.006779,0.018551,0.000916,0.017159,0.008250,0.015497,0.008250,0.015497,0,13.236229,0.008250,-0.006417,0.024492,0.009826,0.260000,0.220000,0.311127,0.110000,1.134642,1
1772480724,317150977,-0.019186,-2.285159,2.259121,-1.413695,-0.409078,-1.340569,1,0.017265,0.079439,0.017556,0.220000,0.022771,0.234382,0.022771,0.234382,0.001750,0.017176,0.008250,0.015497,0.015583,0.016604,0.015583,0.016604,0,13.257616,0.015583,0.000916,0.022830,0.008164,0.240000,0.200000,0.311127,0.110000,1.132236,1
1772480724,342194315,-0.019892,-2.286504,2.261879,-1.412467,-0.408184,-1.337810,1,0.017627,0.095449,0.022771,0.234382,0.024774,0.254382,0.024774,0.254382,0.008128,0.015641,0.015583,0.016604,0.017199,0.017832,0.017199,0.017832,0,13.086728,0.022916,0.008250,0.023937,0.009270,0.254382,0.214382,0.311127,0.110000,1.129477,1
1772480724,367330778,-0.020276,-2.286024,2.265477,-1.412335,-0.408784,-1.334213,1,0.023231,0.124329,0.024774,0.254382,0.026807,0.274382,0.026807,0.274382,0.015917,0.016922,0.017199,0.017832,0.018577,0.019327,0.018577,0.019327,0,13.108558,0.024532,0.009865,0.025165,0.010498,0.274382,0.234382,0.311127,0.110000,1.125880,1
1772480724,392269234,-0.020537,-2.286874,2.268834,-1.411725,-0.408137,-1.330855,1,0.025053,0.141140,0.026807,0.274382,0.028377,0.294382,0.028377,0.294382,0.017463,0.017964,0.018577,0.019327,0.019881,0.020249,0.019881,0.020249,0,12.973767,0.025910,0.011243,0.026661,0.011994,0.294382,0.254382,0.311127,0.110000,1.141133,1
1772480724,442283899,-0.021953,-2.285143,2.274767,-1.411220,-0.410316,-1.324923,1,0.026555,0.150156,0.028377,0.294382,0.030463,0.314382,0.030463,0.314382,0.018674,0.018881,0.019881,0.020249,0.021044,0.022026,0.021044,0.022026,0,13.146237,0.027214,0.012548,0.027582,0.012915,0.314382,0.274382,0.311127,0.110000,1.135201,1
1772480724,467352463,-0.021575,-2.285707,2.277285,-1.411310,-0.409642,-1.322405,1,0.028184,0.185130,0.030463,0.314382,0.032473,0.334382,0.032473,0.334382,0.019706,0.020149,0.021044,0.022026,0.022636,0.023284,0.022636,0.023284,0,13.036773,0.028377,0.013711,0.029360,0.014693,0.334382,0.294382,0.311127,0.110000,1.132682,1
1772480724,492323175,-0.023026,-2.286031,2.281054,-1.409866,-0.409994,-1.318636,1,0.030269,0.208843,0.032473,0.334382,0.034531,0.354382,0.034531,0.354382,0.020542,0.022232,0.022636,0.023284,0.024148,0.024682,0.024148,0.024682,0,12.996315,0.029969,0.015302,0.030617,0.015951,0.354382,0.314382,0.311127,0.110000,1.128914,1
