sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
1772480126,403886454,0.097963,-1.913137,2.470271,-1.393547,-0.406325,-1.322082,1,0.000000,-0.007435,0.000000,0.000000,0.311127,-0.000562,0.007509,-0.000562,0.000000,0.000000,0.000000,0.000000,0.311123,0.001616,0.007333,0.001616,1,0.094418,0.007333,-0.007333,0.007333,-0.007333,0.020000,-0.020000,0.311127,0.110000,-0.000199,1
1772480126,428883936,0.098197,-1.914268,2.469893,-1.393047,-0.405284,-1.322461,1,0.008264,-0.043540,0.311127,-0.000562,0.311127,0.000509,0.220000,0.000509,0.008133,0.001466,0.311123,0.001616,0.311127,-0.000360,0.220000,-0.000360,1,-0.021029,0.220000,0.220000,0.008949,-0.005718,0.019438,-0.020562,0.311127,0.110000,0.000180,1
1772480126,453889106,0.098524,-1.912619,2.470468,-1.394307,-0.406398,-1.321886,1,0.007176,0.001565,0.311127,0.000509,0.311127,-0.001116,0.220031,-0.001116,0.007057,0.001303,0.311127,-0.000360,0.311105,0.003689,0.220000,0.003689,1,0.215552,0.220000,0.220000,0.006973,-0.007693,0.020509,-0.019491,0.311127,0.110000,-0.000395,1
1772480126,503902173,0.097521,-1.912996,2.472201,-1.393280,-0.406705,-1.320153,1,0.023025,-0.039537,0.311127,-0.001116,0.311127,-0.006018,0.220001,-0.006018,0.022654,0.004119,0.311105,0.003689,0.311126,0.000549,0.220000,0.000549,1,0.032095,0.220000,0.220000,0.011022,-0.003645,0.018884,-0.021116,0.311127,0.110000,-0.002128,1
1772480126,528896970,0.097209,-1.912007,2.472748,-1.393631,-0.407681,-1.319605,1,0.030468,-0.058415,0.311127,-0.006018,0.311127,-0.007568,0.220009,-0.007568,0.030468,0.000000,0.311126,0.000549,0.311120,0.002018,0.220000,0.002018,1,0.117952,0.220000,0.220000,0.007883,-0.006784,0.013982,-0.026018,0.311127,0.110000,-0.002676,1
1772480126,554003925,0.097385,-1.913072,2.472834,-1.393125,-0.406727,-1.319519,1,0.029485,-0.009542,0.311127,-0.007568,0.311127,-0.007810,0.220000,-0.007810,0.029485,0.000000,0.311120,0.002018,0.311127,-0.000056,0.220000,-0.000056,1,-0.003299,0.220000,0.220000,0.009352,-0.005315,0.012432,-0.027568,0.311127,0.110000,-0.002761,1
1772480126,603968587,0.095548,-1.910185,2.472207,-1.393413,-0.410137,-1.320147,1,0.045036,-0.066070,0.311127,-0.007810,0.311127,-0.006036,0.220025,-0.006036,0.045036,0.000000,0.311127,-0.000056,0.311109,0.003299,0.220000,0.003299,1,0.192766,0.220000,0.220000,0.007277,-0.007390,0.012190,-0.027810,0.311127,0.110000,-0.002134,1
1772480126,628946322,0.094568,-1.911700,2.470755,-1.391715,-0.409525,-1.321599,1,0.052390,-0.046879,0.311127,-0.006036,0.311127,-0.001929,0.220004,-0.001929,0.052272,0.003527,0.311109,0.003299,0.311124,-0.001330,0.220000,-0.001330,1,-0.077736,0.220000,0.220000,0.010632,-0.004035,0.013964,-0.026036,0.311127,0.110000,-0.000682,1
1772480126,653981419,0.094761,-1.908573,2.470136,-1.393764,-0.411896,-1.322218,1,0.051402,-0.006239,0.311127,-0.001929,0.311127,-0.000179,0.220082,-0.000179,0.051328,0.002755,0.311124,-0.001330,0.311067,0.006128,0.220000,0.006003,1,0.358131,0.220000,0.220000,0.006003,-0.008664,0.018071,-0.021929,0.311127,0.110000,-0.000063,1
1772480126,703974181,0.091317,-1.909707,2.470468,-1.390336,-0.413080,-1.321886,1,0.067851,-0.038016,0.311127,-0.000179,0.311127,-0.001116,0.220003,-0.001116,0.067506,0.006829,0.311067,0.006128,0.311117,-0.002548,0.220000,-0.001205,1,-0.148877,0.220000,0.220000,0.013462,-0.001205,0.019821,-0.020179,0.311127,0.110000,-0.000395,1
