sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772473144,871776475,0.041708,-0.406927,3.125904,-1.372348,-0.429236,-1.359538,1,0.000000,0.000000,0.050000,-0.015069,0.042667,0.004931,0.042667,0.004931,0,7.787856,0.057333,0.042667,0.004931,-0.035069,0.220000
1772473144,896847501,0.041146,-0.406468,3.126302,-1.372669,-0.429887,-1.359139,1,0.000000,0.000000,0.042667,0.004931,0.035333,0.024931,0.035333,0.024931,0,7.800820,0.050000,0.035333,0.024931,-0.015069,0.220000
1772473144,946866146,0.040677,-0.407820,3.124923,-1.371247,-0.430040,-1.360518,1,0.000000,0.000000,0.035333,0.024931,0.028000,0.044931,0.028000,0.044931,0,7.807471,0.042667,0.028000,0.044931,0.004931,0.220000
1772473144,971851186,0.039287,-0.407643,3.123536,-1.371106,-0.431434,-1.361905,1,0.000000,0.000000,0.028000,0.044931,0.020667,0.064931,0.020667,0.064931,0,7.843501,0.035333,0.020667,0.064931,0.024931,0.220000
1772473144,996904118,0.040632,-0.407140,3.122000,-1.371899,-0.430237,-1.363442,1,0.000000,0.000000,0.020667,0.064931,0.013333,0.084931,0.013333,0.084931,0,7.826700,0.028000,0.013333,0.084931,0.044931,0.220000
1772473145,46907729,0.038871,-0.406398,3.122529,-1.372225,-0.432120,-1.362912,1,0.000000,0.000000,0.013333,0.084931,0.013341,0.104931,0.013341,0.104931,0,7.865052,0.020667,0.006000,0.104931,0.064931,0.220000
1772473145,71954734,0.039973,-0.406949,3.125705,-1.371937,-0.430921,-1.359736,1,0.000000,0.000000,0.013341,0.104931,0.015967,0.124931,0.015967,0.124931,0,7.824328,0.020675,0.006008,0.124931,0.084931,0.220000
1772473145,97007930,0.039386,-0.406989,3.128931,-1.371766,-0.431485,-1.356510,1,0.000000,0.000000,0.015967,0.124931,0.018531,0.144931,0.018531,0.144931,0,7.821113,0.023300,0.008634,0.144931,0.104931,0.220000
1772473145,147042591,0.038365,-0.406199,3.135155,-1.372306,-0.432657,-1.350287,1,0.000000,0.000000,0.018531,0.144931,0.021095,0.164931,0.021095,0.164931,0,7.818601,0.025864,0.011197,0.164931,0.124931,0.220000
1772473145,172113995,0.038646,-0.407776,3.136932,-1.370832,-0.432029,-1.348510,1,0.000000,0.000000,0.021095,0.164931,0.023729,0.184931,0.023729,0.184931,0,7.793568,0.028428,0.013761,0.184931,0.144931,0.220000
1772473145,197095723,0.037292,-0.406313,3.139046,-1.371953,-0.433677,-1.346396,1,0.000000,0.000000,0.023729,0.184931,0.026200,0.204931,0.026200,0.204931,0,7.821683,0.031062,0.016395,0.204931,0.164931,0.220000
1772473145,247191596,0.037117,-0.406903,-3.136631,-1.371339,-0.433715,-1.338888,1,0.000000,0.000000,0.026200,0.204931,0.028889,0.224931,0.028889,0.224931,0,7.786154,0.033534,0.018867,0.224931,0.184931,0.220000
1772473145,272215487,0.037374,-0.407058,-3.130696,-1.371246,-0.433430,-1.332953,1,0.000000,0.000000,0.028889,0.224931,0.031597,0.244931,0.031597,0.244931,0,7.751704,0.036222,0.021555,0.244931,0.204931,0.220000
1772473145,297240308,0.036304,-0.408717,-3.125237,-1.369389,-0.434099,-1.327493,1,0.000000,0.000000,0.031597,0.244931,0.034244,0.264931,0.034244,0.264931,0,7.736553,0.038930,0.024264,0.264931,0.224931,0.220000
1772473145,347364125,0.034858,-0.406193,-3.113497,-1.371523,-0.436076,-1.315753,1,0.000000,0.000000,0.034244,0.264931,0.036867,0.284931,0.036867,0.284931,0,7.728620,0.041577,0.026911,0.284931,0.244931,0.220000
1772473145,372357557,0.034016,-0.406916,-3.108388,-1.370629,-0.436733,-1.310645,1,0.000000,0.000000,0.036867,0.284931,0.039515,0.304931,0.039515,0.304931,0,7.716816,0.044200,0.029534,0.304931,0.264931,0.220000
1772473145,397384622,0.033581,-0.407368,-3.101898,-1.370091,-0.437055,-1.304155,1,0.000000,0.000000,0.039515,0.304931,0.042245,0.324931,0.042245,0.324931,0,7.691537,0.046849,0.032182,0.324931,0.284931,0.220000
1772473145,447456029,0.031791,-0.407681,-3.086894,-1.369383,-0.438729,-1.289150,1,0.000000,0.000000,0.042245,0.324931,0.045062,0.344931,0.045062,0.344931,0,7.654556,0.049579,0.034912,0.344931,0.304931,0.220000
1772473145,472492512,0.031012,-0.406707,-3.078683,-1.370156,-0.439707,-1.280939,1,0.000000,0.000000,0.045062,0.344931,0.047778,0.364931,0.047778,0.364931,0,7.637998,0.052396,0.037729,0.364931,0.324931,0.220000
1772473145,497516513,0.030175,-0.408108,-3.070891,-1.368603,-0.440207,-1.273147,1,0.000000,0.000000,0.047778,0.364931,0.050599,0.384931,0.050599,0.384931,0,7.607470,0.055112,0.040445,0.384931,0.344931,0.220000
