sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
1772473204,727389455,0.117373,-0.442731,3.118156,-1.399000,-0.384621,-1.339131,1,0.000000,0.000000,0.090590,0.359513,0.083603,0.339513,0.083603,0.339513,0.000000,0.000000,0.000266,-0.090590,0.007599,-0.083257,0.007599,-0.083257,0,7.738843,0.007599,-0.007067,-0.083257,-0.097923,0.379513,0.339513,0.311127,0.220000,1.262198,1
1772473204,752475319,0.117954,-0.442533,3.117731,-1.399338,-0.384108,-1.339556,1,0.000000,0.000000,0.083603,0.339513,0.077378,0.319513,0.077378,0.319513,0.000000,0.000000,0.007599,-0.083257,0.014933,-0.075923,0.014933,-0.075923,0,7.730049,0.014933,0.000266,-0.075923,-0.090590,0.359513,0.319513,0.311127,0.220000,1.262624,1
1772473204,777452350,0.117382,-0.443177,3.117625,-1.398571,-0.384499,-1.339661,1,0.000000,0.000000,0.077378,0.319513,0.072114,0.299513,0.072114,0.299513,0.000000,0.000000,0.014933,-0.075923,0.022266,-0.068590,0.022266,-0.068590,0,7.737905,0.022266,0.007599,-0.068590,-0.083257,0.339513,0.299513,0.311127,0.220000,1.262729,1
1772473204,827483749,0.117233,-0.441222,3.115183,-1.400425,-0.385136,-1.342103,1,0.000000,0.000000,0.072114,0.299513,0.065757,0.279513,0.065757,0.279513,0.000000,0.000000,0.022266,-0.068590,0.023909,-0.061257,0.023909,-0.061257,0,7.766898,0.029599,0.014933,-0.061257,-0.075923,0.319513,0.279513,0.311127,0.220000,1.265171,1
1772473204,852518878,0.118445,-0.439325,3.118830,-1.402566,-0.384443,-1.338457,1,0.000000,0.000000,0.065757,0.279513,0.058439,0.259513,0.058439,0.259513,0.000000,0.000000,0.023909,-0.061257,0.022525,-0.053923,0.022525,-0.053923,0,7.738025,0.031242,0.016575,-0.053923,-0.068590,0.299513,0.259513,0.311127,0.220000,1.261525,1
1772473204,877572123,0.118693,-0.438361,3.126213,-1.403562,-0.384447,-1.331074,1,0.000000,0.000000,0.058439,0.259513,0.051182,0.239513,0.051182,0.239513,0.000000,0.000000,0.022525,-0.053923,0.021189,-0.046590,0.021189,-0.046590,0,7.704465,0.029858,0.015192,-0.046590,-0.061257,0.279513,0.239513,0.311127,0.220000,1.254141,1
1772473204,927664534,0.117771,-0.434652,-3.139087,-1.406919,-0.386274,-1.313188,1,0.000000,0.000000,0.051182,0.239513,0.044095,0.219513,0.044095,0.219513,0.000000,0.000000,0.021189,-0.046590,0.020082,-0.039257,0.020082,-0.039257,0,7.665261,0.028522,0.013855,-0.039257,-0.053923,0.259513,0.219513,0.311127,0.220000,1.230022,1
1772473204,952684739,0.118189,-0.432471,-3.132015,-1.409134,-0.386420,-1.306116,1,0.000000,0.000000,0.044095,0.219513,0.036930,0.199513,0.036930,0.199513,0.000000,0.000000,0.020082,-0.039257,0.018568,-0.031923,0.018568,-0.031923,0,7.638246,0.027416,0.012749,-0.031923,-0.046590,0.239513,0.199513,0.311127,0.220000,1.222950,1
1772473204,977732180,0.116001,-0.432868,-3.128071,-1.408198,-0.388437,-1.302172,1,0.000000,0.000000,0.036930,0.199513,0.029714,0.179513,0.029714,0.179513,0.000000,0.000000,0.018568,-0.031923,0.016682,-0.024590,0.016682,-0.024590,0,7.662957,0.025901,0.011234,-0.024590,-0.039257,0.219513,0.179513,0.311127,0.220000,1.219006,1
1772473205,27815201,0.114766,-0.429715,-3.120096,-1.410938,-0.390427,-1.294197,1,0.000000,0.000000,0.029714,0.179513,0.022816,0.159513,0.022816,0.159513,0.000000,0.000000,0.016682,-0.024590,0.014925,-0.017257,0.014925,-0.017257,0,7.674365,0.024015,0.009348,-0.017257,-0.031923,0.199513,0.159513,0.311127,0.220000,1.211031,1
