sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772478887,760231603,0.183108,-1.775379,2.594838,-1.432563,-0.394432,-1.291030,1,0.000000,0.001134,0.000000,0.000000,0.007333,-0.000674,0.007333,-0.000674,0,-0.091936,0.007333,0.000000,0.020000,-0.020000,0.220000
1772478887,810402535,0.184798,-1.775481,2.595432,-1.433738,-0.393214,-1.290436,1,0.000000,0.000000,0.007333,-0.000674,0.014667,0.000412,0.014667,0.000412,0,0.028097,0.014667,0.000000,0.019326,-0.020674,0.220000
1772478887,835359578,0.183306,-1.776321,2.594284,-1.432070,-0.393606,-1.291584,1,0.006933,-0.006067,0.014667,0.000412,0.022000,-0.004354,0.022000,-0.004354,0,-0.197917,0.022000,0.007333,0.020412,-0.019588,0.220000
1772478887,860428787,0.184332,-1.776476,2.594392,-1.432720,-0.392797,-1.291476,1,0.023033,0.007312,0.022000,-0.004354,0.029333,-0.003919,0.029333,-0.003919,0,-0.133586,0.029333,0.014667,0.015646,-0.024354,0.220000
1772478887,910445552,0.184723,-1.775544,2.593642,-1.433639,-0.393218,-1.292226,1,0.022515,-0.010274,0.029333,-0.003919,0.036667,0.001657,0.036667,0.001657,0,0.045188,0.036667,0.022000,0.016081,-0.023919,0.220000
1772478887,935513956,0.181406,-1.774471,2.594256,-1.431926,-0.396254,-1.291613,1,0.029770,-0.001281,0.036667,0.001657,0.044000,-0.004371,0.044000,-0.004371,0,-0.099338,0.044000,0.029333,0.021657,-0.018343,0.220000
1772478887,960473933,0.181897,-1.773761,2.594503,-1.432768,-0.396443,-1.291365,1,0.045054,0.012658,0.044000,-0.004371,0.051333,0.001980,0.051333,0.001980,0,0.038567,0.051333,0.036667,0.015629,-0.024371,0.220000
1772478888,10585058,0.180387,-1.773020,2.593547,-1.432160,-0.398012,-1.292321,1,0.044507,0.000000,0.051333,0.001980,0.058667,0.001821,0.058667,0.001821,0,0.031038,0.058667,0.044000,0.021980,-0.018020,0.220000
1772478888,35661942,0.178990,-1.773327,2.593529,-1.430924,-0.398732,-1.292339,1,0.051578,0.003481,0.058667,0.001821,0.066000,-0.008719,0.066000,-0.008719,0,-0.132101,0.066000,0.051333,0.021821,-0.018179,0.220000
1772478888,60607315,0.176037,-1.771153,2.594478,-1.430225,-0.402332,-1.291390,1,0.067708,0.014577,0.066000,-0.008719,0.073333,-0.007031,0.073333,-0.007031,0,-0.095877,0.073333,0.058667,0.011281,-0.028719,0.220000
