sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
1772479126,531283884,0.166221,-1.840098,2.565224,-1.404615,-0.415788,-1.274274,1,0.000000,-0.002261,0.000000,0.000000,0.311127,0.000278,0.007340,0.000278,0.000000,0.000000,0.000000,0.000000,0.311127,-0.000314,0.007333,-0.000314,1,-0.006119,0.007333,-0.007333,0.007333,-0.007333,0.020000,-0.020000,0.311127,0.330000,0.000295,1
1772479126,556281650,0.166528,-1.840070,2.565338,-1.404868,-0.415612,-1.274160,1,0.000000,0.000000,0.311127,0.000278,0.311127,0.000170,0.220000,0.000170,0.000000,0.000000,0.311127,-0.000314,0.311127,-0.000170,0.220000,-0.000170,1,-0.003313,0.220000,0.220000,0.007019,-0.007647,0.020278,-0.019722,0.311127,0.330000,0.000181,1
1772479126,606280664,0.165455,-1.840575,2.564960,-1.403722,-0.415915,-1.274538,1,0.015669,0.010189,0.311127,0.000170,0.311127,0.000527,0.220002,0.000527,0.015669,0.000000,0.311127,-0.000170,0.311125,-0.001003,0.220000,-0.001003,1,-0.019529,0.220000,0.220000,0.007163,-0.007503,0.020170,-0.019830,0.311127,0.330000,0.000559,1
1772479126,631327403,0.165630,-1.838967,2.565103,-1.404888,-0.417034,-1.274395,1,0.021879,-0.008325,0.311127,0.000527,0.311127,0.000393,0.220000,0.000393,0.021855,-0.001022,0.311125,-0.001003,0.311127,0.000314,0.220000,0.000314,1,0.006110,0.220000,0.220000,0.006331,-0.008336,0.020527,-0.019473,0.311127,0.330000,0.000417,1
1772479126,656347956,0.165271,-1.838557,2.564622,-1.404877,-0.417579,-1.274876,1,0.021998,0.007623,0.311127,0.000393,0.311127,0.000846,0.220001,0.000846,0.021998,0.000000,0.311127,0.000314,0.311126,0.000604,0.220000,0.000604,1,0.011757,0.220000,0.220000,0.007647,-0.007020,0.020393,-0.019607,0.311127,0.330000,0.000897,1
1772479126,706393097,0.164652,-1.837460,2.564406,-1.405107,-0.418817,-1.275093,1,0.037672,0.018165,0.311127,0.000846,0.311127,0.001050,0.220003,0.001050,0.037672,0.000000,0.311126,0.000604,0.311125,0.001220,0.220000,0.001220,1,0.023757,0.220000,0.220000,0.007937,-0.006730,0.020846,-0.019154,0.311127,0.330000,0.001114,1
1772479126,731393965,0.163657,-1.836806,2.563961,-1.404766,-0.419958,-1.275537,1,0.044242,-0.009328,0.311127,0.001050,0.311127,0.001469,0.220004,0.001469,0.044242,0.000000,0.311125,0.001220,0.311124,0.001365,0.220000,0.001365,1,0.026584,0.220000,0.220000,0.008553,-0.006114,0.021050,-0.018950,0.311127,0.330000,0.001558,1
1772479126,756416462,0.163715,-1.837960,2.563287,-1.404068,-0.419037,-1.276211,1,0.044007,-0.022815,0.311127,0.001469,0.311127,0.002104,0.220001,0.002104,0.043982,0.001483,0.311124,0.001365,0.311126,0.000692,0.220000,0.000692,1,0.013472,0.220000,0.220000,0.008698,-0.005969,0.021469,-0.018531,0.311127,0.330000,0.002232,1
1772479126,806463913,0.160700,-1.834971,2.563761,-1.403679,-0.423264,-1.275738,1,0.060421,0.009224,0.311127,0.002104,0.311127,0.001658,0.220004,0.001658,0.060421,0.000000,0.311126,0.000692,0.311124,0.001359,0.220000,0.001359,1,0.026478,0.220000,0.220000,0.008025,-0.006642,0.022104,-0.017896,0.311127,0.330000,0.001759,1
1772479126,831509093,0.159740,-1.835014,2.563557,-1.402915,-0.423848,-1.275941,1,0.065889,0.004390,0.311127,0.001658,0.311127,0.001850,0.220002,0.001850,0.065869,0.001617,0.311124,0.001359,0.311126,0.000895,0.220000,0.000895,1,0.017430,0.220000,0.220000,0.008693,-0.005974,0.021658,-0.018342,0.311127,0.330000,0.001962,1
1772479126,856495834,0.159089,-1.834792,2.564222,-1.402560,-0.424436,-1.275276,1,0.074830,0.014153,0.311127,0.001850,0.311127,0.001223,0.220001,0.001223,0.074815,0.001484,0.311126,0.000895,0.311127,0.000530,0.220000,0.000530,1,0.010314,0.220000,0.220000,0.008228,-0.006439,0.021850,-0.018150,0.311127,0.330000,0.001297,1
1772479126,906507534,0.154960,-1.832621,2.564984,-1.400791,-0.428753,-1.274514,1,0.082128,-0.014767,0.311127,0.001223,0.311127,0.000504,0.220000,0.000504,0.082128,0.000000,0.311127,0.000530,0.311127,-0.000112,0.220000,-0.000112,1,-0.002178,0.220000,0.220000,0.007863,-0.006804,0.021223,-0.018777,0.311127,0.330000,0.000535,1
