sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768313256,99067202,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.008667,0.000519,0.008667,0.000519,0,,,,,,,,,,0.059859,0.008667,0.0,0.016667,-0.016667,0.26
1768313256,132269898,0.0,-0.0,-0.0,0.0,0.0,0.008667,0.000519,0.017333,0.001038,0.017333,0.001038,0,,,,,,,,,,0.059859,0.017333,0.0,0.017185,-0.016148,0.26
1768313256,165571937,4.5e-05,1e-06,5e-06,0.004463,0.0,0.017333,0.001038,0.026,0.001556,0.026,0.001556,0,,,,,,,,,,0.059853,0.026,0.008667,0.017704,-0.015629,0.26
1768313256,199826547,0.000479,6e-06,3.2e-05,0.016457,0.0,0.026,0.001556,0.034667,0.002074,0.034667,0.002074,0,,,,,,,,,,0.059839,0.034667,0.017333,0.018223,-0.01511,0.26
1768313256,232220524,0.000826,9e-06,5.3e-05,0.017324,0.0,0.034667,0.002074,0.043333,0.002593,0.043333,0.002593,0,,,,,,,,,,0.059831,0.043333,0.026,0.018741,-0.014592,0.26
1768313256,265855922,0.001573,1.9e-05,0.000105,0.022817,0.00186,0.043333,0.002593,0.052,0.003109,0.052,0.003109,0,,,,,,,,,,0.059798,0.052,0.034667,0.019259,-0.014074,0.26
1768313256,299065324,0.002177,2.6e-05,0.000146,0.030315,0.002067,0.052,0.003109,0.060667,0.003626,0.060667,0.003626,0,,,,,,,,,,0.059772,0.060667,0.043333,0.019776,-0.013557,0.26
1768313256,332412679,0.002874,3.4e-05,0.000194,0.03881,0.002584,0.060667,0.003626,0.069333,0.004142,0.069333,0.004142,0,,,,,,,,,,0.059741,0.069333,0.052,0.020293,-0.013041,0.26
1768313256,366044708,0.004762,5.6e-05,0.000316,0.055301,0.003613,0.069333,0.004142,0.078,0.004655,0.078,0.004655,0,,,,,,,,,,0.059678,0.078,0.060667,0.020809,-0.012525,0.26
1768313256,398931872,0.005888,6.9e-05,0.000388,0.056301,0.003613,0.078,0.004655,0.086667,0.006589,0.086667,0.006589,0,,,,,,,,,,0.07603,0.086667,0.069333,0.021322,-0.012012,0.26
1768313256,432298643,0.008517,9.7e-05,0.00055,0.069296,0.004128,0.086667,0.006589,0.095333,0.00725,0.095333,0.00725,0,,,,,,,,,,0.076048,0.095333,0.078,0.023256,-0.010077,0.26
1768313256,465658573,0.009948,0.000116,0.000654,0.073786,0.006184,0.095333,0.00725,0.104,0.007906,0.104,0.007906,0,,,,,,,,,,0.076022,0.104,0.086667,0.023917,-0.009417,0.26
1768313256,498915926,0.013337,0.000164,0.000925,0.091669,0.007224,0.104,0.007906,0.112667,0.008551,0.112667,0.008551,0,,,,,,,,,,0.075893,0.112667,0.095333,0.024573,-0.00876,0.26
