sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768319408,538975641,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.008667,0.0,0.008667,0.0,0,,,,,,,,,,0.0,0.008667,0.0,0.016667,-0.016667,0.26
1768319408,572387018,0.0,-0.0,-0.0,0.0,0.0,0.008667,0.0,0.017333,0.0,0.017333,0.0,0,,,,,,,,,,0.0,0.017333,0.0,0.016667,-0.016667,0.26
1768319408,605698216,0.0,-0.0,-0.0,0.0,0.0,0.017333,0.0,0.026,0.0,0.026,0.0,0,,,,,,,,,,0.0,0.026,0.008667,0.016667,-0.016667,0.26
1768319408,639000856,0.000104,-0.0,-0.0,0.0094,0.0,0.026,0.0,0.034667,0.0,0.034667,0.0,0,,,,,,,,,,0.0,0.034667,0.017333,0.016667,-0.016667,0.26
1768319408,672374431,0.00078,-0.0,-0.0,0.025,0.0,0.034667,0.0,0.043333,0.0,0.043333,0.0,0,,,,,,,,,,0.0,0.043333,0.026,0.016667,-0.016667,0.26
1768319408,705673087,0.0013,-0.0,-0.0,0.026,0.0,0.043333,0.0,0.052,0.0,0.052,0.0,0,,,,,,,,,,0.0,0.052,0.034667,0.016667,-0.016667,0.26
1768319408,739360714,0.002691,-0.0,-0.0,0.039,0.0,0.052,0.0,0.060667,0.0,0.060667,0.0,0,,,,,,,,,,0.0,0.060667,0.043333,0.016667,-0.016667,0.26
1768319408,772524071,0.003471,-0.0,-0.0,0.039,0.0,0.060667,0.0,0.069333,0.0,0.069333,0.0,0,,,,,,,,,,0.0,0.069333,0.052,0.016667,-0.016667,0.26
1768319408,805995001,0.00533,-0.0,-0.0,0.052,0.0,0.069333,0.0,0.078,0.0,0.078,0.0,0,,,,,,,,,,0.0,0.078,0.060667,0.016667,-0.016667,0.26
1768319408,839491285,0.006436,-0.0,-0.0,0.0585,0.0,0.078,0.0,0.086667,0.0,0.086667,0.0,0,,,,,,,,,,0.0,0.086667,0.069333,0.016667,-0.016667,0.26
1768319408,872584782,0.009165,-0.0,-0.0,0.0759,0.0,0.086667,0.0,0.095333,0.0,0.095333,0.0,0,,,,,,,,,,0.0,0.095333,0.078,0.016667,-0.016667,0.26
