sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1766915966,913186897,0.806632,2.722008,-1.030560,6.460840,-7.261036,0.932729,4.754858,-4.991761,-0.097831,0.000000,0.000000,0.083062,0.108839,0.500000,0.000000,0.099728,0.075505,1,25.200001,-0.000000,0.750000,1.276109,-0.038307,9.976638,0.028363,-0.012517,-0.005726,0.000000,0.099728,0.066395,0.142172,0.075505,0.500000
1766915966,946689392,0.806632,2.722008,-1.030560,6.460840,-7.261036,0.932729,4.754858,-4.991761,-0.097831,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0,25.200001,-0.000000,0.750000,1.034295,0.086191,9.976638,0.011984,-0.058190,0.002796,0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1766915966,979878475,0.806632,2.722008,-1.030560,6.460840,-7.261036,0.932729,4.754858,-4.991761,-0.097831,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0,25.200001,-0.000000,0.750000,0.814029,-0.002394,9.303868,0.005326,0.011718,-0.004261,0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1766915967,13493650,0.806666,2.721951,-1.030293,6.460840,-7.261036,0.932729,4.754924,-4.991768,-0.097564,0.006625,0.026713,0.500000,0.000000,0.500000,-0.000445,0.500000,-0.000445,0,25.200001,-0.000000,0.750000,1.139640,0.079009,9.928754,0.034222,-0.006392,-0.005459,-0.000890,0.500000,0.483333,0.033333,-0.033333,0.500000
1766915967,46607664,0.806768,2.721781,-1.030560,6.460840,-7.261036,0.932729,4.755121,-4.991787,-0.097831,0.009937,-0.013356,0.500000,-0.000445,0.500000,-0.000000,0.500000,-0.000000,0,25.200001,-0.000000,0.750000,0.871489,-0.411803,9.026140,-0.010653,-0.159790,0.005193,-0.000000,0.500000,0.483333,0.032888,-0.033779,0.500000
1766915967,79985648,0.807314,2.720872,-1.029491,6.460840,-7.261036,0.932729,4.756176,-4.991890,-0.096762,0.006625,-0.026715,0.500000,-0.000000,0.500000,-0.001784,0.500000,-0.001784,0,25.200001,-0.000000,0.750000,3.213019,-0.584185,9.840169,0.022104,0.086686,0.012251,-0.003567,0.500000,0.483333,0.033333,-0.033333,0.500000
1766915967,113281801,0.807894,2.719907,-1.029758,6.460840,-7.261036,0.932729,4.757297,-4.991999,-0.097030,0.033124,-0.026711,0.500000,-0.001784,0.500000,-0.001342,0.500000,-0.001342,0,25.200001,-0.000000,0.750000,2.949656,0.450110,10.108319,0.027830,0.060720,0.001465,-0.002683,0.500000,0.483333,0.031550,-0.035117,0.500000
1766915967,146224007,0.809395,2.717408,-1.029758,6.460840,-7.261036,0.932729,4.760199,-4.992281,-0.097030,0.062938,0.013356,0.500000,-0.001342,0.500000,-0.001347,0.500000,-0.001347,0,25.200001,-0.000000,0.750000,1.340753,0.011971,8.566454,0.004794,0.157925,-0.037817,-0.002695,0.500000,0.483333,0.031992,-0.034675,0.500000
1766915967,179866342,0.810658,2.715308,-1.029491,6.460840,-7.261036,0.932729,4.762638,-4.992518,-0.096762,0.066250,0.000000,0.500000,-0.001347,0.500000,-0.001799,0.500000,-0.001799,0,25.200001,-0.000000,0.750000,1.146823,0.009577,9.586383,0.012117,0.028496,-0.004394,-0.003599,0.500000,0.483333,0.031986,-0.034681,0.500000
1766915967,213063771,0.812331,2.712525,-1.029758,6.460840,-7.261036,0.932729,4.765869,-4.992832,-0.097030,0.092750,-0.053428,0.500000,-0.001799,0.500000,-0.001364,0.500000,-0.001364,0,25.200001,-0.000000,0.750000,1.812411,0.701501,10.680534,0.016778,0.062984,0.009854,-0.002729,0.500000,0.483333,0.031534,-0.035133,0.500000
1766915967,246556728,0.814378,2.709118,-1.029758,6.460840,-7.261036,0.932729,4.769826,-4.993217,-0.097030,0.112625,-0.026713,0.500000,-0.001364,0.500000,-0.001373,0.500000,-0.001373,0,25.200001,-0.000000,0.750000,1.561019,-0.155623,8.655039,0.002663,0.097072,-0.033023,-0.002746,0.500000,0.483333,0.031969,-0.034698,0.500000
1766915967,279490839,0.817345,2.704177,-1.030560,6.460840,-7.261036,0.932729,4.775562,-4.993777,-0.097831,0.139125,-0.026714,0.500000,-0.001373,0.500000,-0.000045,0.500000,-0.000045,0,25.200001,-0.000000,0.750000,1.934515,-0.181959,9.473856,-0.003462,0.029295,-0.013982,-0.000090,0.500000,0.483333,0.031960,-0.034706,0.500000
