sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1766929468,849247304,-1.674891,-0.26639,-0.032781,4.361735,-4.371449,0.034642,2.697075,-4.695689,0.001862,0.0,0.0,0.0,0.0,0.5,0.0,0.016667,0.0,1,25.200001,-0.0,0.67,1.024718,0.057461,9.126697,0.008522,0.022371,0.006258,0.0,0.016667,0.0,0.033333,-0.033333,0.5
1766929468,882363290,-1.674891,-0.26639,-0.032781,4.361735,-4.371449,0.034642,2.697075,-4.695689,0.001862,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,25.200001,-0.0,0.67,1.240196,0.153229,9.825804,0.027697,0.027297,-0.004128,0.0,0.5,0.483333,0.033333,-0.033333,0.5
1766929468,915333945,-1.674891,-0.26639,-0.032781,4.361735,-4.371449,0.034642,2.697075,-4.695689,0.001862,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,25.200001,-0.0,0.67,1.192312,0.134075,9.739612,0.000399,-0.04847,0.003728,0.0,0.5,0.483333,0.033333,-0.033333,0.5
1766929468,949046663,-1.674891,-0.26639,-0.032781,4.361735,-4.371449,0.034642,2.697075,-4.695689,0.001862,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,25.200001,-0.0,0.67,0.921768,0.21069,9.11712,0.005459,0.012517,-0.005459,0.0,0.5,0.483333,0.033333,-0.033333,0.5
1766929468,982317026,-1.674759,-0.266394,-0.032781,4.361735,-4.371449,0.034642,2.697208,-4.695689,0.001862,0.01325,0.0,0.5,0.0,0.5,-0.0,0.5,-0.0,0,25.200001,-0.0,0.67,2.104503,0.067038,8.535329,0.019042,0.006525,0.001198,-0.0,0.5,0.483333,0.033333,-0.033333,0.5
1766929469,15663931,-1.673964,-0.26642,-0.032781,4.361735,-4.371449,0.034642,2.698003,-4.695687,0.001862,0.01325,0.0,0.5,-0.0,0.5,-0.0,0.5,-0.0,0,25.200001,-0.0,0.67,4.527435,0.158017,8.544906,0.041013,-0.073237,0.052331,-0.0,0.5,0.483333,0.033333,-0.033333,0.5
1766929469,49061786,-1.672706,-0.266461,-0.033048,4.361735,-4.371449,0.034642,2.699261,-4.695685,0.001595,0.03975,0.0,0.5,-0.0,0.5,0.000445,0.5,0.000445,0,25.200001,-0.0,0.67,2.72939,0.577003,7.410054,0.079362,0.307462,-0.01012,0.000891,0.5,0.483333,0.033333,-0.033334,0.5
1766929469,82321753,-1.670323,-0.26654,-0.033048,4.361735,-4.371449,0.034642,2.701646,-4.695682,0.001595,0.062937,0.013357,0.5,0.000445,0.5,0.000448,0.5,0.000448,0,25.200001,-0.0,0.67,0.962469,-0.088585,7.520187,-0.035021,-0.134223,-0.023303,0.000896,0.5,0.483333,0.033779,-0.032888,0.5
1766929469,115313012,-1.667873,-0.266621,-0.033315,4.361735,-4.371449,0.034642,2.704098,-4.695678,0.001327,0.086125,-0.026713,0.5,0.000448,0.5,0.000895,0.5,0.000895,0,25.200001,-0.0,0.67,2.049437,-0.629675,9.021352,-0.013715,0.018509,0.002397,0.00179,0.5,0.483333,0.033781,-0.032885,0.5
1766929469,148752397,-1.664496,-0.266734,-0.033048,4.361735,-4.371449,0.034642,2.707476,-4.695673,0.001595,0.112626,0.026715,0.5,0.000895,0.5,0.000455,0.5,0.000455,0,25.200001,-0.0,0.67,1.510741,0.241814,9.131485,0.017311,-0.09654,0.002796,0.000909,0.5,0.483333,0.034229,-0.032438,0.5
