sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1766929743,617708878,7.078971,1.721015,2.818156,4.557629,-4.976312,0.402639,10.396119,-0.619048,-3.06239,0.0,0.0,0.0,0.0,0.016667,0.0,0.016667,0.0,0,25.200001,-0.0,0.67,1.319205,0.071826,9.782708,0.000666,-0.041013,-0.000799,0.0,0.016667,0.0,0.033333,-0.033333,0.5
1766929743,650849668,7.078971,1.721015,2.818156,4.557629,-4.976312,0.402639,10.396119,-0.619048,-3.06239,0.0,0.0,0.016667,0.0,0.033333,0.0,0.033333,0.0,0,25.200001,-0.0,0.67,0.816423,0.232238,9.32781,0.008922,0.020373,-0.005593,0.0,0.033333,0.0,0.033333,-0.033333,0.5
1766929743,684705124,7.078971,1.721015,2.818156,4.557629,-4.976312,0.402639,10.396119,-0.619048,-3.06239,0.0,0.0,0.033333,0.0,0.05,0.0,0.05,0.0,0,25.200001,-0.0,0.67,1.21386,-0.062249,9.928754,0.03582,0.022637,-0.005859,0.0,0.05,0.016667,0.033333,-0.033333,0.5
1766929743,718030894,7.078971,1.721015,2.818156,4.557629,-4.976312,0.402639,10.396119,-0.619048,-3.06239,0.0,0.0,0.05,0.0,0.066667,0.0,0.066667,0.0,0,25.200001,-0.0,0.67,1.204283,0.033519,9.684546,-0.001731,-0.051,0.003728,0.0,0.066667,0.033333,0.033333,-0.033333,0.5
1766929743,751294816,7.078971,1.721015,2.818156,4.557629,-4.976312,0.402639,10.396119,-0.619048,-3.06239,0.0,0.0,0.066667,0.0,0.083333,0.0,0.083333,0.0,0,25.200001,-0.0,0.67,0.912191,-0.110133,9.519346,0.004927,0.026765,0.003196,0.0,0.083333,0.05,0.033333,-0.033333,0.5
1766929743,784599079,7.078657,1.72112,2.818423,4.557629,-4.976312,0.402639,10.395789,-0.619074,-3.062123,0.019874,0.02671,0.083333,0.0,0.1,0.0,0.1,0.0,0,25.200001,-0.0,0.67,2.245761,-0.019154,9.64145,0.02024,-0.184557,0.024368,-0.000891,0.1,0.066667,0.033333,-0.033333,0.5
1766929743,817553214,7.077903,1.721373,2.818423,4.557629,-4.976312,0.402639,10.394997,-0.619137,-3.062123,0.019874,0.026709,0.1,0.0,0.116667,0.0,0.116667,0.0,0,25.200001,-0.0,0.67,3.239355,0.454898,10.697293,-0.037417,0.124769,0.023303,-0.000891,0.116667,0.083333,0.033333,-0.033333,0.5
1766929743,851582853,7.075893,1.722046,2.818423,4.557629,-4.976312,0.402639,10.392883,-0.619305,-3.062123,0.072273,0.0,0.116667,0.0,0.133333,0.0,0.133333,0.0,0,25.200001,-0.0,0.67,1.946486,0.361524,8.149862,-0.052731,0.239951,-0.002397,-0.000893,0.133333,0.1,0.033333,-0.033333,0.5
1766929743,884237771,7.074197,1.722614,2.818156,4.557629,-4.976312,0.402639,10.3911,-0.619447,-3.06239,0.0795,0.0,0.133333,0.0,0.15,0.0,0.15,0.0,0,25.200001,-0.0,0.67,1.417367,-0.301669,9.670181,-0.003329,0.323574,-0.010786,-5e-06,0.15,0.116667,0.033333,-0.033333,0.5
1766929743,917720312,7.072501,1.723183,2.818423,4.557629,-4.976312,0.402639,10.389317,-0.619589,-3.062123,0.086125,0.026713,0.15,0.0,0.166667,0.0,0.166667,0.0,0,25.200001,-0.0,0.67,1.149217,0.023942,8.875306,-0.022104,-0.278567,0.028762,-0.000896,0.166667,0.133333,0.033333,-0.033333,0.5
1766929743,950875035,7.069611,1.72415,2.818423,4.557629,-4.976312,0.402639,10.386279,-0.619831,-3.062123,0.099375,-0.026715,0.166667,0.0,0.183333,0.0,0.183333,0.0,0,25.200001,-0.058,0.67,2.851494,0.134075,11.133038,-0.086819,-0.056326,0.018908,-0.000903,0.183333,0.15,0.033333,-0.033333,0.5
1766929743,984698146,7.064397,1.725898,2.818156,4.557629,-4.976312,0.402639,10.37809,-0.620482,-3.062123,0.165625,0.026713,0.183333,0.0,0.2,0.0,0.2,0.0,0,25.200001,-0.058,0.67,1.49877,-0.196325,10.714052,0.054595,0.029694,-0.021705,-1.3e-05,0.2,0.166667,0.033333,-0.033333,0.5
1766929744,17536354,7.057173,1.728318,2.818423,4.557629,-4.976312,0.402639,10.373203,-0.620869,-3.062123,0.172249,0.053427,0.2,0.0,0.216667,0.0,0.216667,0.0,0,25.200001,-0.058,0.67,1.000776,0.110133,11.482591,0.003063,0.056858,-0.011851,-0.000906,0.216667,0.183333,0.033333,-0.033333,0.5
1766929744,51437746,7.050766,1.730466,2.817889,4.557629,-4.976312,0.402639,10.366466,-0.621404,-3.062658,0.175562,-0.013356,0.216667,0.0,0.233333,0.0,0.233333,0.0,0,25.200001,-0.058,0.67,0.727837,0.004788,8.693346,-0.026232,-0.034621,0.004927,0.000876,0.233333,0.2,0.033333,-0.033333,0.5
1766929744,84549101,7.046746,1.731814,2.818423,4.557629,-4.976312,0.402639,10.36224,-0.62174,-3.062123,0.212,0.0,0.233333,0.0,0.25,0.0,0.25,0.0,0,25.200001,-0.058,0.67,2.047042,0.553061,12.58153,-0.013848,0.057391,0.017577,-0.000908,0.25,0.216667,0.033333,-0.033333,0.5
1766929744,117864999,7.040842,1.733794,2.817889,4.557629,-4.976312,0.402639,10.356032,-0.622231,-3.062658,0.231876,0.026717,0.25,0.0,0.266667,0.0,0.266667,0.0,0,25.200001,-0.058,0.67,0.572214,0.189142,10.82658,-0.068976,0.092145,-0.019175,0.00088,0.266667,0.233333,0.033333,-0.033333,0.5
