sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1766929516,562414181,6.844575,1.619858,3.070333,4.59156,-4.752148,0.130925,11.16608,-2.252585,-3.081927,0.0,0.0,0.0,0.0,0.5,0.0,0.016667,0.0,1,25.200001,-0.0,0.67,1.338359,0.09098,9.854534,0.016512,-0.029428,-0.004527,0.0,0.016667,0.0,0.033333,-0.033333,0.5
1766929516,596233077,6.844575,1.619858,3.070333,4.59156,-4.752148,0.130925,11.16608,-2.252585,-3.081927,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,25.200001,-0.0,0.67,0.998382,0.107739,9.627085,0.004128,-0.042877,0.001731,0.0,0.5,0.483333,0.033333,-0.033333,0.5
1766929516,629477440,6.844575,1.619858,3.070333,4.59156,-4.752148,0.130925,11.16608,-2.252585,-3.081927,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,25.200001,-0.0,0.67,1.079785,0.19393,9.363723,0.011851,0.034887,-0.002264,0.0,0.5,0.483333,0.033333,-0.033333,0.5
1766929516,662560592,6.844575,1.619858,3.070333,4.59156,-4.752148,0.130925,11.16608,-2.252585,-3.081927,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,25.200001,-0.0,0.67,1.189918,0.016759,9.859322,0.024235,-0.03542,-0.001997,0.0,0.5,0.483333,0.033333,-0.033333,0.5
1766929516,696155943,6.844575,1.619858,3.070333,4.59156,-4.752148,0.130925,11.16608,-2.252585,-3.081927,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,25.200001,-0.0,0.67,0.112527,0.557849,7.972692,0.028496,0.037684,-0.016645,0.0,0.5,0.483333,0.033333,-0.033333,0.5
1766929516,729512684,6.843385,1.619942,3.070867,4.59156,-4.752148,0.130925,11.16489,-2.252656,-3.081393,0.059625,0.026715,0.5,0.0,0.5,-0.000891,0.5,-0.000891,0,25.200001,-0.0,0.67,3.033454,-0.007183,12.275072,0.002131,-0.438356,0.031159,-0.001782,0.5,0.483333,0.033333,-0.033333,0.5
1766929516,762838944,6.842592,1.619999,3.070333,4.59156,-4.752148,0.130925,11.164097,-2.252704,-3.081927,0.053001,-0.05343,0.5,-0.000891,0.5,-2e-06,0.5,-2e-06,0,25.200001,-0.0,0.67,2.195483,-0.251391,11.954249,-0.000666,-0.002663,0.003462,-3e-06,0.5,0.483333,0.032442,-0.034225,0.5
1766929516,796198720,6.840874,1.620121,3.070333,4.59156,-4.752148,0.130925,11.162377,-2.252807,-3.081927,0.072875,-0.026715,0.5,-2e-06,0.5,-2e-06,0.5,-2e-06,0,25.200001,-0.0,0.67,2.001553,-0.035913,8.652645,0.11385,-0.03289,-0.035953,-4e-06,0.5,0.483333,0.033332,-0.033335,0.5
1766929516,829123958,6.836975,1.620399,3.0706,4.59156,-4.752148,0.130925,11.158475,-2.25304,-3.08166,0.072874,0.026718,0.5,-2e-06,0.5,-0.000449,0.5,-0.000449,0,25.200001,-0.0,0.67,1.201889,-0.225055,8.341399,0.081493,0.103064,-0.029961,-0.000898,0.5,0.483333,0.033331,-0.033335,0.5
1766929516,862860124,6.832349,1.620729,3.0706,4.59156,-4.752148,0.130925,11.153846,-2.253317,-3.08166,0.152374,0.026715,0.5,-0.000449,0.5,-0.00045,0.5,-0.00045,0,25.200001,-0.0,0.67,2.521094,-0.067038,8.446743,0.113318,-0.0506,-0.003862,-0.000901,0.5,0.483333,0.032884,-0.033782,0.5
