sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1766929564,512164914,-0.121141,0.589767,-0.335714,4.517162,-5.10701,0.364521,4.193727,-4.599182,0.028807,-0.006625,0.026713,0.0,0.0,0.5,-0.000445,0.016667,-0.000445,1,25.200001,-0.0,0.67,1.357512,0.155623,9.749189,0.022504,0.021305,-0.004394,-0.00089,0.016667,0.0,0.033333,-0.033333,0.5
1766929564,545408624,-0.121141,0.589767,-0.335714,4.517162,-5.10701,0.364521,4.193727,-4.599182,0.028807,-0.006625,0.026713,0.5,-0.000445,0.5,-0.000445,0.5,-0.000445,0,25.200001,-0.0,0.67,1.321599,0.153229,9.703699,0.017976,-0.036219,-0.001598,-0.00089,0.5,0.483333,0.032888,-0.033779,0.5
1766929564,578817705,-0.121141,0.589767,-0.335714,4.517162,-5.10701,0.364521,4.193727,-4.599182,0.028807,-0.006625,0.026713,0.5,-0.000445,0.5,-0.000445,0.5,-0.000445,0,25.200001,-0.0,0.67,1.175553,0.112527,9.217676,0.009188,0.01771,0.004527,-0.00089,0.5,0.483333,0.032888,-0.033779,0.5
1766929564,612172963,-0.121079,0.589745,-0.335981,4.517162,-5.10701,0.364521,4.193794,-4.59918,0.02854,0.006625,-0.026713,0.5,-0.000445,0.5,0.0,0.5,0.0,0,25.200001,-0.0,0.67,1.201889,0.131681,9.710882,0.020906,0.026365,-0.009055,0.0,0.5,0.483333,0.032888,-0.033779,0.5
1766929564,645432791,-0.120954,0.589701,-0.335981,4.517162,-5.10701,0.364521,4.193926,-4.599176,0.02854,0.013249,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,25.200001,-0.0,0.67,0.799663,0.215478,8.516175,0.034488,0.042877,-0.012384,0.0,0.5,0.483333,0.033333,-0.033333,0.5
1766929564,678545039,-0.120141,0.589417,-0.336249,4.517162,-5.10701,0.364521,4.194787,-4.599152,0.028273,0.0,0.0,0.5,0.0,0.5,0.000445,0.5,0.000445,0,25.200001,-0.0,0.67,2.260126,0.205901,10.692505,0.022371,-0.437824,0.023036,0.000891,0.5,0.483333,0.033333,-0.033333,0.5
1766929564,712048078,-0.119328,0.589133,-0.335981,4.517162,-5.10701,0.364521,4.195648,-4.599127,0.02854,0.059626,0.026717,0.5,0.000445,0.5,1e-06,0.5,1e-06,0,25.200001,-0.0,0.67,3.256114,0.399832,7.491457,0.091213,0.2534,-0.017843,1e-06,0.5,0.483333,0.033779,-0.032888,0.5
1766929564,745450356,-0.117389,0.588456,-0.335714,4.525133,-5.103119,0.366007,4.197701,-4.599068,0.028807,0.062937,0.013357,0.5,1e-06,0.5,-0.000445,0.5,-0.000445,0,25.200001,-0.0,0.67,1.726219,0.746991,9.105149,0.076965,-0.182693,-0.039814,-0.00089,0.5,0.483333,0.033334,-0.033333,0.5
1766929564,778925759,-0.115387,0.587757,-0.335714,4.525133,-5.103119,0.366007,4.19982,-4.599008,0.028807,0.086126,0.02672,0.5,-0.000445,0.5,-0.000445,0.5,-0.000445,0,25.200001,-0.0,0.67,0.052672,-0.222661,9.392453,0.020906,0.038882,-0.029028,-0.00089,0.5,0.483333,0.032888,-0.033778,0.5
1766929564,811809169,-0.111635,0.586446,-0.336249,4.525133,-5.103119,0.366007,4.20525,-4.598854,0.028273,0.099375,0.02671,0.5,-0.000445,0.5,0.000448,0.5,0.000448,0,25.200001,-0.0,0.67,2.731784,0.047884,10.936713,-0.024368,-0.104396,0.029694,0.000896,0.5,0.483333,0.032888,-0.033778,0.5
