sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1766933942,863958694,-2.090180,0.620028,-0.016078,4.498776,-5.764299,0.061375,2.374501,-5.273643,0.045297,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.016667,0.000000,1,25.200001,-0.000000,0.570000,0.950498,-0.184354,9.291897,0.003196,0.017044,-0.009587,0.000000,0.016667,0.000000,0.033333,-0.033333,0.500000
1766933942,897083868,-2.090180,0.620028,-0.016078,4.498776,-5.764299,0.061375,2.374501,-5.273643,0.045297,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0,25.200001,-0.000000,0.570000,1.175553,0.148441,9.572018,0.040480,0.031825,-0.000133,0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1766933942,930641155,-2.090180,0.620028,-0.016078,4.498776,-5.764299,0.061375,2.374501,-5.273643,0.045297,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0,25.200001,-0.000000,0.570000,0.984017,0.160412,9.895235,0.013982,-0.035420,0.008522,0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1766933942,964085414,-2.090180,0.620028,-0.016078,4.498776,-5.764299,0.061375,2.374501,-5.273643,0.045297,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0,25.200001,-0.000000,0.570000,0.950498,0.134075,9.334992,0.000399,0.012916,0.002796,0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1766933942,997056965,-2.090180,0.620028,-0.016078,4.498776,-5.764299,0.061375,2.374501,-5.273643,0.045297,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0,25.200001,-0.000000,0.570000,0.586579,0.411803,9.770737,0.047671,0.058723,-0.015713,0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1766933943,30612310,-2.088789,0.620006,-0.015276,4.498776,-5.764299,0.061375,2.375891,-5.273579,0.046099,0.066251,0.000000,0.500000,0.000000,0.500000,-0.001338,0.500000,-0.001338,0,25.200001,-0.000000,0.570000,1.728614,0.469264,10.860099,-0.036219,-0.469782,0.034488,-0.002676,0.500000,0.483333,0.033333,-0.033333,0.500000
1766933943,63748128,-2.087729,0.619990,-0.015811,4.498776,-5.764299,0.061375,2.376950,-5.273531,0.045565,0.052999,-0.053424,0.500000,-0.001338,0.500000,-0.000449,0.500000,-0.000449,0,25.200001,-0.000000,0.570000,3.823540,0.430956,10.975020,-0.102798,0.031159,0.043010,-0.000899,0.500000,0.483333,0.031995,-0.034671,0.500000
1766933943,97145932,-2.086272,0.619967,-0.016345,4.498776,-5.764299,0.061375,2.378406,-5.273464,0.045030,0.059625,-0.080142,0.500000,-0.000449,0.500000,0.000440,0.500000,0.000440,0,25.200001,-0.000000,0.570000,1.027113,-0.093374,9.641450,0.012117,-0.025566,-0.035953,0.000880,0.500000,0.483333,0.032884,-0.033783,0.500000
1766933943,130723719,-2.083357,0.619920,-0.015811,4.498776,-5.764299,0.061375,2.381318,-5.273332,0.045565,0.089438,0.013357,0.500000,0.000440,0.500000,-0.000450,0.500000,-0.000450,0,25.200001,-0.000000,0.570000,1.644817,-0.967257,8.911219,0.025300,0.022637,-0.017843,-0.000901,0.500000,0.483333,0.033773,-0.032893,0.500000
1766933943,164109553,-2.080509,0.619876,-0.015543,4.498776,-5.764299,0.061375,2.384163,-5.273202,0.045832,0.086125,0.026712,0.500000,-0.000450,0.500000,-0.000899,0.500000,-0.000899,0,25.200001,-0.000000,0.570000,1.589750,-0.313640,10.242395,0.067911,-0.076033,0.003728,-0.001798,0.500000,0.483333,0.032883,-0.033784,0.500000
