sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
15,520000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007333,0.000000,0.007333,0.000000,0,-0.000000,0.007333,0.000000,0.020000,-0.020000,0.220000
15,560000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007333,0.000000,0.014667,0.000000,0.014667,0.000000,0,-0.000000,0.014667,0.000000,0.020000,-0.020000,0.220000
15,580000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014667,0.000000,0.022000,0.000000,0.022000,0.000000,0,-0.000000,0.022000,0.007333,0.020000,-0.020000,0.220000
15,620000000,0.000557,0.000000,0.000000,0.014667,0.000000,0.022000,0.000000,0.029333,0.000000,0.029333,0.000000,0,-0.000000,0.029333,0.014667,0.020000,-0.020000,0.220000
15,640000000,0.000968,0.000000,0.000000,0.020533,0.000000,0.029333,0.000000,0.036667,0.000000,0.036667,0.000000,0,-0.000000,0.036667,0.022000,0.020000,-0.020000,0.220000
15,680000000,0.001965,0.000000,0.000000,0.027867,0.000000,0.036667,0.000000,0.044000,0.000000,0.044000,0.000000,0,-0.000000,0.044000,0.029333,0.020000,-0.020000,0.220000
15,720000000,0.003476,0.000000,0.000000,0.038867,0.000000,0.044000,0.000000,0.051333,0.000000,0.051333,0.000000,0,-0.000000,0.051333,0.036667,0.020000,-0.020000,0.220000
15,740000000,0.004356,0.000000,0.000000,0.044000,0.000000,0.051333,0.000000,0.058667,0.000000,0.058667,0.000000,0,-0.000000,0.058667,0.044000,0.020000,-0.020000,0.220000
15,780000000,0.006380,0.000000,0.000000,0.057200,0.000000,0.058667,0.000000,0.066000,0.000000,0.066000,0.000000,0,-0.000000,0.066000,0.051333,0.020000,-0.020000,0.220000
15,800000000,0.007553,0.000000,0.000000,0.058667,0.000000,0.066000,0.000000,0.073333,0.000000,0.073333,0.000000,0,-0.000000,0.073333,0.058667,0.020000,-0.020000,0.220000
15,840000000,0.010120,0.000000,0.000000,0.066000,0.000000,0.073333,0.000000,0.080667,0.000000,0.080667,0.000000,0,-0.000000,0.080667,0.066000,0.020000,-0.020000,0.220000
15,880000000,0.013083,0.000000,0.000000,0.080667,0.000000,0.080667,0.000000,0.088000,0.000000,0.088000,0.000000,0,-0.000000,0.088000,0.073333,0.020000,-0.020000,0.220000
15,900000000,0.014696,0.000000,0.000000,0.080667,0.000000,0.088000,0.000000,0.095333,0.000000,0.095333,0.000000,0,-0.000000,0.095333,0.080667,0.020000,-0.020000,0.220000
15,940000000,0.018172,0.000000,0.000000,0.088000,0.000000,0.095333,0.000000,0.102667,0.000000,0.102667,0.000000,0,-0.000000,0.102667,0.088000,0.020000,-0.020000,0.220000
15,960000000,0.020108,0.000000,0.000000,0.096800,0.000000,0.102667,0.000000,0.110000,0.000000,0.110000,0.000000,0,-0.000000,0.110000,0.095333,0.020000,-0.020000,0.220000
16,0,0.024244,0.000000,0.000000,0.104133,0.000000,0.110000,0.000000,0.117333,0.000000,0.117333,0.000000,0,-0.000000,0.117333,0.102667,0.020000,-0.020000,0.220000
16,20000000,0.026444,0.000000,0.000000,0.110000,0.000000,0.117333,0.000000,0.124667,0.000000,0.124667,0.000000,0,-0.000000,0.124667,0.110000,0.020000,-0.020000,0.220000
16,60000000,0.031005,0.000000,0.000000,0.117333,0.000000,0.124667,0.000000,0.132000,0.000000,0.132000,0.000000,0,-0.000000,0.132000,0.117333,0.020000,-0.020000,0.220000
16,80000000,0.033352,0.000000,0.000000,0.117333,0.000000,0.132000,0.000000,0.139333,0.000000,0.139333,0.000000,0,-0.000000,0.139333,0.124667,0.020000,-0.020000,0.220000
16,120000000,0.038632,0.000000,0.000000,0.132000,0.000000,0.139333,0.000000,0.146667,0.000000,0.146667,0.000000,0,-0.000000,0.146667,0.132000,0.020000,-0.020000,0.220000
16,140000000,0.041404,0.000000,0.000000,0.138600,0.000000,0.146667,0.000000,0.154000,0.000000,0.154000,0.000000,0,-0.000000,0.154000,0.139333,0.020000,-0.020000,0.220000
16,180000000,0.047124,0.000000,0.000000,0.146667,0.000000,0.154000,0.000000,0.161333,0.000000,0.161333,0.000000,0,-0.000000,0.161333,0.146667,0.020000,-0.020000,0.220000
16,200000000,0.050204,0.000000,0.000000,0.154000,0.000000,0.161333,0.000000,0.168667,0.000000,0.168667,0.000000,0,-0.000000,0.168667,0.154000,0.020000,-0.020000,0.220000
16,240000000,0.056525,0.000000,0.000000,0.161333,0.000000,0.168667,0.000000,0.176000,0.000000,0.176000,0.000000,0,-0.000000,0.176000,0.161333,0.020000,-0.020000,0.220000
16,260000000,0.059752,0.000000,0.000000,0.161333,0.000000,0.176000,0.000000,0.183333,0.000000,0.183333,0.000000,0,-0.000000,0.183333,0.168667,0.020000,-0.020000,0.220000
16,300000000,0.066792,0.000000,0.000000,0.176000,0.000000,0.183333,0.000000,0.190667,0.000000,0.190667,0.000000,0,-0.000000,0.190667,0.176000,0.020000,-0.020000,0.220000
16,320000000,0.070400,0.000000,0.000000,0.180400,0.000000,0.190667,0.000000,0.198000,0.000000,0.198000,0.000000,0,-0.000000,0.198000,0.183333,0.020000,-0.020000,0.220000
16,360000000,0.077880,0.000000,0.000000,0.190667,0.000000,0.198000,0.000000,0.205333,0.000000,0.205333,0.000000,0,-0.000000,0.205333,0.190667,0.020000,-0.020000,0.220000
16,380000000,0.081840,0.000000,0.000000,0.198000,0.000000,0.205333,0.000000,0.212667,0.000000,0.212667,0.000000,0,-0.000000,0.212667,0.198000,0.020000,-0.020000,0.220000
16,420000000,0.089921,0.000000,0.000000,0.205333,0.000000,0.212667,0.000000,0.220000,0.000000,0.220000,0.000000,0,-0.000000,0.220000,0.205333,0.020000,-0.020000,0.220000
16,440000000,0.094028,0.000000,0.000000,0.205333,0.000000,0.220000,0.000000,0.220000,0.000000,0.220000,0.000000,0,-0.000000,0.220000,0.212667,0.020000,-0.020000,0.220000
16,480000000,0.102828,0.000000,0.000000,0.220000,0.000000,0.220000,0.000000,0.220000,0.000000,0.220000,0.000000,0,-0.000000,0.220000,0.212667,0.020000,-0.020000,0.220000
16,500000000,0.107228,0.000000,0.000000,0.220000,0.000000,0.220000,0.000000,0.220000,0.000000,0.220000,0.000000,0,-0.000000,0.220000,0.212667,0.020000,-0.020000,0.220000
16,540000000,0.116028,0.000000,0.000000,0.220000,0.000000,0.220000,0.000000,0.220000,0.000000,0.220000,0.000000,0,-0.000000,0.220000,0.212667,0.020000,-0.020000,0.220000
16,560000000,0.120428,0.000000,0.000000,0.220000,0.000000,0.220000,0.000000,0.220000,0.000000,0.220000,0.000000,0,-0.000000,0.220000,0.212667,0.020000,-0.020000,0.220000
