sec,nsec,x,y,yaw,map_x,map_y,map_yaw,map_pose_valid,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1772479505,946733876,0.153044,-1.861930,2.500600,-1.418520,-0.395665,-1.326658,1,0.000000,0.000000,0.000000,0.000000,0.007333,-0.000536,0.007333,-0.000536,0,-0.073136,0.007333,0.000000,0.020000,-0.020000,0.220000
1772479505,971792549,0.153505,-1.862825,2.499940,-1.418310,-0.394681,-1.327318,1,0.000000,0.000000,0.007333,-0.000536,0.014667,-0.001967,0.014667,-0.001967,0,-0.134127,0.014667,0.000000,0.019464,-0.020536,0.220000
1772479505,996849643,0.152237,-1.861710,2.500443,-1.418035,-0.396347,-1.326815,1,0.007191,0.000000,0.014667,-0.001967,0.022000,-0.002661,0.022000,-0.002661,0,-0.120939,0.022000,0.007333,0.018033,-0.021967,0.220000
1772479506,46903679,0.152994,-1.862287,2.499866,-1.418255,-0.395421,-1.327391,1,0.014613,-0.007282,0.022000,-0.002661,0.029333,-0.003290,0.029333,-0.003290,0,-0.112142,0.029333,0.014667,0.017339,-0.022661,0.220000
1772479506,71958428,0.153340,-1.861832,2.500056,-1.418811,-0.395554,-1.327201,1,0.022277,0.005037,0.029333,-0.003290,0.036667,-0.000774,0.036667,-0.000774,0,-0.021105,0.036667,0.022000,0.016710,-0.023290,0.220000
1772479506,96983889,0.152422,-1.862171,2.499911,-1.417886,-0.395873,-1.327346,1,0.029623,0.003588,0.036667,-0.000774,0.044000,-0.006780,0.044000,-0.006780,0,-0.154085,0.044000,0.029333,0.019226,-0.020774,0.220000
1772479506,147064847,0.151746,-1.861501,2.499874,-1.417787,-0.396819,-1.327384,1,0.037448,0.007851,0.044000,-0.006780,0.051333,-0.006752,0.051333,-0.006752,0,-0.131524,0.051333,0.036667,0.013220,-0.026780,0.220000
1772479506,172061381,0.150735,-1.859347,2.501007,-1.418368,-0.399127,-1.326251,1,0.044131,-0.008630,0.051333,-0.006752,0.058667,0.001937,0.058667,0.001937,0,0.033019,0.058667,0.044000,0.013248,-0.026752,0.220000
1772479506,197116485,0.150564,-1.860569,2.500616,-1.417463,-0.398289,-1.326641,1,0.051639,-0.007805,0.058667,0.001937,0.066000,-0.009144,0.066000,-0.009144,0,-0.138545,0.066000,0.051333,0.021937,-0.018063,0.220000
1772479506,247216911,0.147244,-1.858229,2.501000,-1.416375,-0.402203,-1.326258,1,0.058477,0.018894,0.066000,-0.009144,0.073333,-0.012025,0.073333,-0.012025,0,-0.163983,0.073333,0.058667,0.010856,-0.029144,0.220000
1772479506,272202816,0.146564,-1.856673,2.501178,-1.416833,-0.403837,-1.326080,1,0.066578,-0.011014,0.073333,-0.012025,0.080667,-0.002307,0.080667,-0.002307,0,-0.028600,0.080667,0.066000,0.007975,-0.032025,0.220000
1772479506,297248067,0.144496,-1.856337,2.500631,-1.415446,-0.405407,-1.326626,1,0.073403,-0.026347,0.080667,-0.002307,0.088000,-0.015691,0.088000,-0.015691,0,-0.178304,0.088000,0.073333,0.017693,-0.022307,0.220000
1772479506,347328118,0.141340,-1.854334,2.500119,-1.414271,-0.408956,-1.327139,1,0.080364,0.006157,0.088000,-0.015691,0.095333,-0.017177,0.095333,-0.017177,0,-0.180182,0.095333,0.080667,0.004309,-0.035691,0.220000
