sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
23,0,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.063263,0.325000,0.048702,0.300000,0.048702,0.300000,0.000000,0.000000,0.006050,-0.062973,0.030494,-0.037973,0.030494,-0.037973,0,7.372879,0.031050,-0.018950,-0.037973,-0.087973,0.350000,0.300000,0.311127,0.220000,1.216531,1
23,40000000,0.000325,-0.000359,-0.000536,0.024217,-0.026811,0.048702,0.300000,0.031013,0.275000,0.031013,0.275000,0.016273,-0.017935,0.030494,-0.037973,0.028169,-0.012973,0.028169,-0.012973,0,7.386493,0.055494,0.005494,-0.012973,-0.062973,0.325000,0.275000,0.311127,0.220000,1.217067,1
23,100000000,0.001802,-0.001378,0.000615,0.028166,0.022738,0.031013,0.275000,0.028405,0.250000,0.028405,0.250000,0.025200,-0.012581,0.028169,-0.012973,0.025733,0.012027,0.025733,0.012027,0,7.423587,0.053169,0.003169,0.012027,-0.037973,0.300000,0.250000,0.311127,0.220000,1.215916,1
23,140000000,0.002811,-0.001880,0.002377,0.028182,0.047812,0.028405,0.250000,0.045231,0.249626,0.045231,0.249626,0.025204,-0.012610,0.025733,0.012027,0.025978,0.037027,0.025978,0.037027,0,7.441917,0.050733,0.000733,0.037027,-0.012973,0.275000,0.225000,0.311127,0.220000,1.214154,1
23,180000000,0.003818,-0.001846,0.005588,0.026771,0.098386,0.045231,0.249626,0.049893,0.274626,0.049893,0.274626,0.025212,0.009003,0.025978,0.037027,0.028609,0.040876,0.028609,0.040876,0,7.447934,0.050978,0.000978,0.062027,0.012027,0.274626,0.224626,0.311127,0.220000,1.210943,1
23,220000000,0.004821,-0.000905,0.010074,0.042737,0.123761,0.049893,0.274626,0.054637,0.299626,0.054637,0.299626,0.025544,0.034264,0.028609,0.040876,0.031403,0.044712,0.031403,0.044712,0,7.439391,0.053609,0.003609,0.065876,0.015876,0.299626,0.249626,0.311127,0.220000,1.206457,1
23,280000000,0.006390,0.001391,0.018116,0.047925,0.137948,0.054637,0.299626,0.059135,0.324626,0.059135,0.324626,0.027138,0.039502,0.031403,0.044712,0.034222,0.048227,0.034222,0.048227,0,7.413989,0.056403,0.006403,0.069712,0.019712,0.324626,0.274626,0.311127,0.220000,1.207702,1
23,320000000,0.007507,0.003155,0.024225,0.053022,0.154587,0.059135,0.324626,0.064013,0.349626,0.064013,0.349626,0.029113,0.044315,0.034222,0.048227,0.037254,0.052056,0.037254,0.052056,0,7.392800,0.059222,0.009222,0.073227,0.023227,0.349626,0.299626,0.311127,0.220000,1.201593,1
23,360000000,0.008688,0.005096,0.030995,0.057720,0.173009,0.064013,0.349626,0.068979,0.374626,0.068979,0.374626,0.031278,0.048511,0.037254,0.052056,0.040406,0.055905,0.040406,0.055905,0,7.367918,0.062254,0.012254,0.077056,0.027056,0.374626,0.324626,0.311127,0.220000,1.194823,1
23,420000000,0.010576,0.008254,0.042405,0.062895,0.197595,0.068979,0.374626,0.074292,0.399626,0.074292,0.399626,0.034307,0.052714,0.040406,0.055905,0.044009,0.059854,0.044009,0.059854,0,7.324192,0.065406,0.015406,0.080905,0.030905,0.399626,0.349626,0.311127,0.220000,1.183413,1
23,460000000,0.011944,0.010569,0.051114,0.067235,0.217693,0.074292,0.399626,0.078950,0.424626,0.078950,0.424626,0.036883,0.056216,0.044009,0.059854,0.047174,0.063307,0.047174,0.063307,0,7.289620,0.069009,0.019009,0.084854,0.034854,0.424626,0.374626,0.311127,0.220000,1.183248,1
23,500000000,0.013393,0.013037,0.060558,0.072343,0.239549,0.078950,0.424626,0.084271,0.449626,0.084271,0.449626,0.040144,0.060182,0.047174,0.063307,0.050818,0.067224,0.050818,0.067224,0,7.251948,0.072174,0.022174,0.088307,0.038307,0.449626,0.399626,0.311127,0.220000,1.173803,1
23,540000000,0.014921,0.015662,0.070848,0.076816,0.261704,0.084271,0.449626,0.089743,0.474626,0.089743,0.474626,0.043001,0.063652,0.050818,0.067224,0.054665,0.071173,0.054665,0.071173,0,7.209791,0.075818,0.025818,0.092224,0.042224,0.474626,0.424626,0.311127,0.220000,1.163514,1
23,580000000,0.016547,0.018481,0.082092,0.081917,0.283456,0.089743,0.474626,0.095392,0.499626,0.095392,0.499626,0.046290,0.067584,0.054665,0.071173,0.058745,0.075158,0.058745,0.075158,0,7.162597,0.079665,0.029665,0.096173,0.046173,0.499626,0.449626,0.311127,0.220000,1.152270,1
23,640000000,0.019108,0.023000,0.100238,0.088661,0.310815,0.095392,0.499626,0.096322,0.500000,0.096322,0.500000,0.050789,0.072672,0.058745,0.075158,0.060362,0.075063,0.060362,0.075063,0,7.084468,0.083745,0.033745,0.100158,0.050158,0.500000,0.474626,0.311127,0.220000,1.141998,1
23,680000000,0.020910,0.026232,0.113284,0.092505,0.326077,0.096322,0.500000,0.097435,0.500000,0.097435,0.500000,0.053410,0.075528,0.060362,0.075063,0.061816,0.075316,0.061816,0.075316,0,7.027093,0.085362,0.035362,0.100063,0.050063,0.500000,0.475000,0.311127,0.220000,1.128952,1
23,720000000,0.022722,0.029491,0.127211,0.093247,0.349284,0.097435,0.500000,0.098652,0.500000,0.098652,0.500000,0.054835,0.075419,0.061816,0.075316,0.063415,0.075571,0.063415,0.075571,0,6.963884,0.086816,0.036816,0.100316,0.050316,0.500000,0.475000,0.311127,0.220000,1.115025,1
23,760000000,0.024534,0.032790,0.142027,0.094199,0.372689,0.098652,0.500000,0.099325,0.500000,0.099325,0.500000,0.056115,0.075660,0.063415,0.075571,0.064741,0.075326,0.064741,0.075326,0,6.894353,0.088415,0.038415,0.100571,0.050571,0.500000,0.475000,0.311127,0.220000,1.107481,1
23,820000000,0.027237,0.037814,0.165645,0.095384,0.402984,0.099325,0.500000,0.101489,0.500000,0.101489,0.500000,0.057874,0.075820,0.064741,0.075326,0.067612,0.075687,0.067612,0.075687,0,6.779724,0.089741,0.039741,0.100326,0.050326,0.500000,0.475000,0.311127,0.220000,1.083862,1
23,860000000,0.029034,0.041205,0.182513,0.096109,0.423878,0.101489,0.500000,0.103093,0.500000,0.103093,0.500000,0.059205,0.075708,0.067612,0.075687,0.069748,0.075917,0.069748,0.075917,0,6.694498,0.092612,0.042612,0.100687,0.050687,0.500000,0.475000,0.311127,0.220000,1.066995,1
23,900000000,0.030863,0.044657,0.200174,0.097739,0.441364,0.103093,0.500000,0.104161,0.500000,0.104161,0.500000,0.061442,0.076012,0.069748,0.075917,0.071587,0.075662,0.071587,0.075662,0,6.603638,0.094748,0.044748,0.100917,0.050917,0.500000,0.475000,0.311127,0.220000,1.056061,1
23,940000000,0.032700,0.048164,0.217750,0.098965,0.439340,0.104161,0.500000,0.105924,0.500000,0.105924,0.500000,0.063134,0.076211,0.071587,0.075662,0.073909,0.075876,0.073909,0.075876,0,6.512093,0.096587,0.046587,0.100662,0.050662,0.500000,0.475000,0.311127,0.220000,1.038484,1
23,980000000,0.034540,0.051707,0.235246,0.099793,0.437311,0.105924,0.500000,0.107739,0.500000,0.107739,0.500000,0.064747,0.075937,0.073909,0.075876,0.076287,0.076078,0.076287,0.076078,0,6.419444,0.098909,0.048909,0.100876,0.050876,0.500000,0.475000,0.311127,0.220000,1.020988,1
24,40000000,0.037328,0.057130,0.261303,0.102501,0.432833,0.107739,0.500000,0.109872,0.500000,0.109872,0.500000,0.068470,0.076278,0.076287,0.076078,0.079448,0.075893,0.079448,0.075893,0,6.279479,0.101287,0.051287,0.101078,0.051078,0.500000,0.475000,0.311127,0.220000,1.001165,1
24,80000000,0.039189,0.060812,0.278561,0.103457,0.430738,0.109872,0.500000,0.111799,0.500000,0.111799,0.500000,0.069977,0.076201,0.079448,0.075893,0.081934,0.076065,0.081934,0.076065,0,6.185187,0.104448,0.054448,0.100893,0.050893,0.500000,0.475000,0.311127,0.220000,0.983907,1
24,120000000,0.041086,0.064546,0.295690,0.104952,0.427736,0.111799,0.500000,0.114953,0.500000,0.114953,0.500000,0.072277,0.076099,0.081934,0.076065,0.085040,0.077346,0.085040,0.077346,0,6.018362,0.106934,0.056934,0.101065,0.051065,0.500000,0.475000,0.311127,0.223598,0.972565,1
24,160000000,0.042988,0.068338,0.312716,0.106020,0.425482,0.114953,0.500000,0.119628,0.500000,0.119628,0.500000,0.073767,0.076149,0.085040,0.077346,0.089103,0.079821,0.089103,0.079821,0,5.804523,0.110040,0.060040,0.102346,0.052346,0.500000,0.475000,0.311127,0.229906,0.960920,1
24,220000000,0.045887,0.074256,0.337975,0.112169,0.418502,0.119628,0.500000,0.127173,0.500000,0.127173,0.500000,0.079344,0.079287,0.089103,0.079821,0.095714,0.083736,0.095714,0.083736,0,5.504118,0.114103,0.064103,0.104821,0.054821,0.500000,0.475000,0.311127,0.239256,0.940672,1
