t,x,y,yaw,v,w,v_cmd,w_cmd,v_nav,w_nav,velocity_violation
23.678,1.2632813379730944e-07,4.808189855163084e-12,1.4878499302340737e-08,0.0,0.0,0.22,-2.9800709421539396e-08,0.025,-2.9800709421539396e-08,True
23.678,1.2632813379730944e-07,4.808189855163084e-12,1.4878499302340737e-08,0.0,0.0,0.22,-2.9800709421539396e-08,0.025,-2.9800709421539396e-08,True
23.7,0.0007358553423214667,-6.522814495783887e-08,-5.901314226423226e-07,0.02500000059714496,-4.438889776581245e-08,0.22,1.7684770239029063e-06,0.025,-2.9800709421539396e-08,False
23.734,0.0012717239015974228,-1.302584030194299e-07,-1.175399623903244e-06,0.02679342796761185,-2.9263410669666534e-05,0.22,1.7684770239029063e-06,0.05,1.7684770239029063e-06,False
23.768,0.0032717226159357186,-1.3255037650590027e-07,-1.1046427215066172e-06,0.04999997467300118,1.7681117014944903e-06,0.22,3.5349667150430946e-06,0.07500000000000001,3.5349667150430946e-06,False
23.8,0.004757581545845753,-2.0018068422145044e-07,-1.6267859561149522e-06,0.07429294650121394,-2.6107162276467477e-05,0.22,5.073396096968338e-06,0.07500000000000001,3.5349667150430946e-06,False
23.834,0.008043448486716178,-2.746149313107327e-07,-2.0911263765453594e-06,0.08929337195521618,-2.6751155624005207e-05,0.22,5.073396096968338e-06,0.1,5.073396096968338e-06,False
23.868,0.012129313780787153,-3.517818718252552e-07,-2.507304175692009e-06,0.10429328908129862,-2.5880723786286808e-05,0.22,6.678751853342377e-06,0.125,6.678751853342377e-06,False
23.9,0.014629313340314577,-3.5794011263389375e-07,-2.3737713519750975e-06,0.12499997797712073,6.6766411954688465e-06,0.22,8.001543442021191e-06,0.15,8.001543442021191e-06,False
23.934,0.020015090678725155,-4.4660890374536506e-07,-2.7681229370437805e-06,0.14428889113089488,-2.6392679997044866e-05,0.22,9.596326489765449e-06,0.15,8.001543442021191e-06,False
23.968,0.02620095524868699,-5.457520638257468e-07,-3.1815611148309295e-06,0.15929325210835638,-2.8667408180638176e-05,0.22,9.596326489765449e-06,0.175,9.596326489765449e-06,False
24.0,0.029700955070199632,-5.566703576298093e-07,-2.9899133756319788e-06,0.17499999107731204,9.582386883977279e-06,0.22,1.1324504638847313e-05,0.19999999999999998,1.1324504638847313e-05,False
24.034,0.03718682652196606,-6.791377583009508e-07,-3.464135377611659e-06,0.1992935961559987,-3.329679074681735e-05,0.22,1.310225036349603e-05,0.19999999999999998,1.1324504638847313e-05,False
24.068,0.045421413616666864,-8.124691504212284e-07,-3.938779343571256e-06,0.2117293803015456,-3.504170527079964e-05,0.22,1.310225036349603e-05,0.22,1.310225036349603e-05,False
24.1,0.04982141311285066,-8.293985341701251e-07,-3.6771439048313327e-06,0.2199999748124033,1.3081771843559409e-05,0.22,1.5263641771513285e-05,0.22,1.5263641771513285e-05,False
