t,x,y,yaw,v,w,v_cmd,w_cmd,v_nav,w_nav,velocity_violation
679.634,-2.5971237229611998e-11,-7.0804013127320354e-12,-3.6843811381296776e-11,0.0,0.0,0.061000000000000006,0.0,0.0,0.0,False
679.668,0.0005356013226466402,-2.3904216436863707e-08,-2.1071541974695908e-07,0.02499930701117096,7.806420752876075e-06,0.061000000000000006,0.0,0.025,0.0,False
679.702,0.0018711713483045935,-1.845028957466265e-08,-1.5451176951140044e-07,0.04177855533264503,-1.2385069669829107e-05,0.07200000000000001,0.0,0.05,0.0,False
679.734,0.0028711702369059516,5.289264728393979e-08,4.985543075300994e-07,0.049999944430800435,3.26533033501164e-05,0.083,0.0,0.07500000000000001,0.0,False
679.768,0.005506696747973034,1.3526830069167982e-07,1.2505395204730727e-06,0.0749992851477155,3.4496454426324874e-05,0.094,0.0,0.07500000000000001,0.0,False
679.8,0.008958602964322595,2.929834485253327e-07,2.662706562749179e-06,0.09399995117906151,4.838927463723941e-05,0.094,0.0,0.094,0.0,False
679.834,0.010838601794064144,4.275978301945701e-07,3.850128121857398e-06,0.09399994150940441,5.937107800946251e-05,0.105,0.0,0.105,0.0,False
679.868,0.014994579058440531,6.806682400467645e-07,6.021801862557809e-06,0.10499994152415566,6.415696489625589e-05,0.11599999999999999,0.0,0.105,0.0,False
679.9,0.017182535572311593,8.063063446542113e-07,7.0572553940751834e-06,0.10939782573506714,5.1772676915029514e-05,0.11599999999999999,0.0,0.11599999999999999,0.0,False
679.934,0.021822533225743564,1.1354512823989456e-06,9.757819328694325e-06,0.11599994150317197,6.677531061427544e-05,0.127,0.0,0.127,0.0,False
679.968,0.026902373149887016,1.3456048814508779e-06,1.1242270501622446e-05,0.12699317294900891,2.4159751185748313e-05,0.138,0.0,0.138,0.0,False
680.0,0.029574158638499368,1.371984123964418e-06,1.1247918561663848e-05,0.13358927444544985,2.8240299959625403e-07,0.138,0.0,0.138,0.0,False
680.034,0.03513772986129198,1.4279391724258557e-06,1.1257999336861873e-05,0.14018929292358812,2.4232776826838e-07,0.14900000000000002,0.0,0.14900000000000002,0.0,False
680.068,0.041097340219888874,1.4868302711647933e-06,1.1265040801554628e-05,0.14898929011970014,1.6040826167351696e-07,0.16000000000000003,0.0,0.16000000000000003,0.0,False
680.1,0.04425316299527529,1.5179055984762308e-06,1.1267812485690449e-05,0.1577911387868266,1.385842066103926e-07,0.16000000000000003,0.0,0.16000000000000003,0.0,False
680.134,0.05074072701599011,1.5815335095611993e-06,1.127047093645943e-05,0.1643890799257916,4.3629524645871776e-08,0.17100000000000004,0.0,0.17100000000000004,0.0,False
680.168,0.057646335121060946,1.6483541120266878e-06,1.127068344535956e-05,0.1742913555114763,-2.3711129414072385e-09,0.18200000000000005,0.0,0.18200000000000005,0.0,False
680.2,0.06492590524672107,1.719584942698299e-06,1.1267374612823003e-05,0.18198943651884064,-9.728597857860954e-08,0.19300000000000006,0.0,0.18200000000000005,0.0,False
680.234,0.06856570107901624,1.7545738473788192e-06,1.1264994455599722e-05,0.18198979163446832,-1.190078625923352e-07,0.19300000000000006,0.0,0.18200000000000005,0.0,False
680.268,0.07595534654415866,1.8274834388011622e-06,1.1259706056568226e-05,0.18749212781505176,-1.2462349208153256e-07,0.20400000000000007,0.0,0.19300000000000006,0.0,False
680.3,0.0798151512625451,1.864677133823763e-06,1.125606646116602e-05,0.19299023594025796,-1.8197977014189348e-07,0.21500000000000008,0.0,0.20400000000000007,0.0,False
680.334,0.08777676859450068,1.943094003903308e-06,1.1247496392672043e-05,0.20399039349521214,-2.1046940440472284e-07,0.21500000000000008,0.0,0.20400000000000007,0.0,False
680.368,0.09609043566338409,2.024627572775572e-06,1.1238095672083323e-05,0.21169259018871894,-2.24040275220716e-07,0.22,0.0,0.21500000000000008,0.0,False
680.4,0.10039025560616775,2.0667594900414962e-06,1.1232282653090458e-05,0.21499099716285075,-2.906509477540453e-07,0.22,0.0,0.22,0.0,False
680.434,0.10914990990995042,2.1538936112417344e-06,1.1227800623060585e-05,0.21999151923166133,4.1249588120240155e-08,0.22,0.0,0.22,0.0,False
680.468,0.11794980999367496,2.4108885201444402e-06,1.271991903730096e-05,0.21999994644540685,5.274809282695969e-05,0.22,0.0,0.22,0.0,False
680.502,0.12674980778630227,2.740185222993166e-06,1.4697433849816775e-05,0.21999994458092922,4.838501297399489e-05,0.22,0.0,0.22,0.0,False
680.536,0.13114973003732025,2.846506518058555e-06,1.5106751723441433e-05,0.21999611263063157,2.0465893374455035e-05,0.22,0.0,0.22,0.0,False
