t,x,y,yaw,v,w,v_cmd,w_cmd,v_nav,w_nav,velocity_violation
553.036,-1.9725351337968424e-15,2.5085870271897545e-16,2.348423675306786e-15,0.0,0.0,0.22,-6.977392757051987e-15,0.0,0.0,True
553.068,-1.9725351337968424e-15,2.5085870271897545e-16,2.348423675306786e-15,0.0,0.0,0.22,-6.977392757051987e-15,0.025,-6.977392757051987e-15,True
553.1,0.0004357225894608769,-8.236551954207639e-08,-7.451428154420238e-07,0.021786129476234078,-3.7257139695774655e-05,0.22,-6.977392757051987e-15,0.025,-6.977392757051987e-15,False
553.134,0.00167140189516231,-1.6131404748044108e-07,-1.4487469655799035e-06,0.036785330240813194,-3.5505627141163565e-05,0.22,4.363983895129637e-06,0.05,-6.977392757051987e-15,False
553.168,0.0037070306527070603,-2.4732594083935583e-07,-2.187007096900313e-06,0.05178384061686183,-3.720329613821072e-05,0.22,4.363983895129637e-06,0.07500000000000001,4.363983895129637e-06,False
553.2,0.0052069554712826606,-2.5081701980307507e-07,-2.0928916508457458e-06,0.07499624092915277,4.705772260749086e-06,0.22,6.622431588953268e-06,0.1,6.622431588953268e-06,False
553.234,0.008692499394443455,-3.5133384513643364e-07,-2.6857717718660636e-06,0.09928183133883284,-3.4327087528041034e-05,0.22,6.310200480512118e-06,0.1,6.622431588953268e-06,False
553.268,0.01297801836067954,-4.674962322671693e-07,-3.3325511733361873e-06,0.11428203386683466,-3.927523137825517e-05,0.22,1.091506411469644e-05,0.125,6.310200480512118e-06,False
553.3,0.01547787086980446,-4.773353661986771e-07,-3.200221058921994e-06,0.12499262545784964,6.61650574329542e-06,0.22,1.091506411469644e-05,0.15,1.091506411469644e-05,False
553.334,0.02106324792139231,-6.201648955272842e-07,-3.88911420325687e-06,0.14999325140233524,1.124505626393102e-05,0.22,1.372703785058861e-05,0.15,1.091506411469644e-05,False
553.368,0.027448689205468186,-7.811768352367619e-07,-4.564809691803035e-06,0.16928030321651105,-4.499197423513124e-05,0.22,1.6231226963633418e-05,0.175,1.372703785058861e-05,False
553.4,0.030948507473368587,-8.010734440064713e-07,-4.284661886108359e-06,0.1749909133994084,1.4007390269910047e-05,0.22,1.6231226963633418e-05,0.19999999999999998,1.6231226963633418e-05,False
553.434,0.03863391945847966,-9.950073724691695e-07,-4.996071621564083e-06,0.19999232676593645,1.6479155640070076e-05,0.22,1.9463194594411592e-05,0.19999999999999998,1.6231226963633418e-05,False
553.468,0.04702805389314325,-1.1947826092922826e-06,-5.590822295941542e-06,0.219716068362104,-4.622824771871592e-05,0.22,2.2043303658536147e-05,0.22,1.9463194594411592e-05,False
553.5,0.05142786410665005,-1.2240504005278262e-06,-5.196709136000017e-06,0.21999051068321102,1.9705657905433327e-05,0.22,2.2043303658536147e-05,0.22,2.2043303658536147e-05,False
553.534,0.06022750835703556,-1.2765435232071203e-06,-4.326603106527932e-06,0.21999130379508078,2.226256903270496e-05,0.22,2.0924837896002942e-05,0.22,2.2043303658536147e-05,False
553.568,0.06902718231623528,-1.3211032964081966e-06,-3.4641990852943306e-06,0.21999202580457702,2.109881602763153e-05,0.22,1.9586831938004803e-05,0.22,2.0924837896002942e-05,False
553.6,0.07342702982182986,-1.339660305460952e-06,-3.0430753734477065e-06,0.21999237528272983,2.1056185950385498e-05,0.22,1.9586831938004803e-05,0.22,1.9586831938004803e-05,False
553.634,0.0822267440866281,-1.3728261748095578e-06,-2.245990722797665e-06,0.21999301255717446,1.953758737016642e-05,0.22,1.760850774478588e-05,0.22,1.760850774478588e-05,False
553.668,0.09102648262896659,-1.3990405253465542e-06,-1.5289358040662225e-06,0.21999360653009098,1.725338183433678e-05,0.22,1.6351546954438775e-05,0.22,1.760850774478588e-05,False
553.7,0.09982624331897234,-1.4196773256147697e-06,-8.664514996887674e-07,0.21999415322044316,1.5943422049247147e-05,0.22,1.6351546954438775e-05,0.22,1.6351546954438775e-05,False
553.734,0.10422613154118049,-1.4274269434231763e-06,-5.461219005858945e-07,0.21999441111067902,1.6016480053338e-05,0.22,1.46390604067954e-05,0.22,1.46390604067954e-05,False
553.768,0.11302599301763631,-1.3838987486928104e-06,5.277991458103779e-07,0.2199984073198824,3.8501967125625924e-05,0.22,1.3516156666239825e-05,0.22,1.46390604067954e-05,False
553.8,0.12182599186454972,-1.2346155576844397e-06,2.388460624491812e-06,0.21999997133939994,4.540377780415383e-05,0.22,8.94630551713438e-06,0.22,1.3516156666239825e-05,False
553.834,0.1262259912847171,-1.1579025888209996e-06,3.2681486387094144e-06,0.21999997101939592,4.398440083264177e-05,0.22,8.94630551713438e-06,0.22,8.94630551713438e-06,False
553.868,0.1350259901112521,-1.0028490204944056e-06,4.784459095821533e-06,0.2199999706155637,3.6815859516536875e-05,0.22,1.7270198441952906e-06,0.22,1.7270198441952904e-06,False
553.9,0.13942598951613466,-9.240949512679497e-07,5.437848782029271e-06,0.21999997026445853,3.2669484895109235e-05,0.22,-2.4748343982430604e-06,0.22,1.7270198441952904e-06,False
553.934,0.14822598833321973,-7.66951103657824e-07,6.477941222256613e-06,0.2199999706452452,2.482112435586714e-05,0.22,-2.4748343982430604e-06,0.22,-2.4748343982430604e-06,False
553.968,0.15702598718145527,-6.10185724670977e-07,7.290043526496334e-06,0.21999997155236625,1.9803970552345618e-05,0.22,-5.98359970497622e-06,0.22,-5.98359970497622e-06,False
554.0,0.16142598663119076,-5.326630892083391e-07,7.603933248626351e-06,0.21999997251571765,1.569448624394454e-05,0.22,-1.036547479166036e-05,0.22,-5.98359970497622e-06,False
554.034,0.1702259855766801,-3.7891811801616283e-07,8.11945257275783e-06,0.2199999740945877,1.1361815577259904e-05,0.22,-1.2794194993429045e-05,0.22,-1.036547479166036e-05,False
554.068,0.17902598458136285,-2.2869226604996486e-07,8.418361937940674e-06,0.21999997531516194,6.587186396345146e-06,0.22,-1.2794194993429045e-05,0.22,-1.2794194993429045e-05,False
