t,x,y,yaw,v,w,v_cmd,w_cmd,v_nav,w_nav,velocity_violation
638.57,-3.8028941128005065e-15,-2.2575828643563973e-16,-2.656148630702773e-16,0.0,0.0,0.22,2.5835662200291604e-15,0.0,0.0,True
638.6,-3.8028941128005065e-15,-2.2575828643563973e-16,-2.656148630702773e-16,0.0,0.0,0.22,2.5835662200291604e-15,0.025,2.5835662200291604e-15,True
638.634,0.0008355705575277345,-1.6443441518250206e-07,-1.4819803440312723e-06,0.024998200903991828,2.4403730702893256e-07,0.22,4.465444830525773e-06,0.05,4.465444830525773e-06,False
638.668,0.0024710963108903632,-3.3584417830005034e-07,-2.878630635344833e-06,0.049996911171767175,4.715227142071399e-06,0.22,8.810388928945914e-06,0.05,4.465444830525773e-06,False
638.7,0.0034710182105198773,-3.387435295848904e-07,-2.784668226070692e-06,0.04999609498188563,4.698120470436606e-06,0.22,8.810388928945914e-06,0.07500000000000001,8.810388928945914e-06,False
638.734,0.006406427758242387,-5.395518902286283e-07,-4.132405068706308e-06,0.07499409903857437,9.028288161516684e-06,0.22,1.3467183396995446e-05,0.1,1.3467183396995446e-05,False
638.768,0.01029170752207852,-7.787087632872215e-07,-5.548811212571594e-06,0.09999227186172421,1.3664729170415058e-05,0.22,1.8176789641463826e-05,0.1,1.3467183396995446e-05,False
638.8,0.012477179682690971,-1.0454751093240568e-06,-7.521987827496503e-06,0.10927360813157987,-9.865883123794106e-05,0.22,1.8176789641463826e-05,0.125,1.8176789641463826e-05,False
638.834,0.017476848897864935,-1.0875552172901065e-06,-6.788493971953758e-06,0.12499087272246032,1.833224541059053e-05,0.22,2.0105199714607524e-05,0.15,2.0105199714607524e-05,False
638.868,0.023462027987972835,-1.454175601420745e-06,-8.746038718889088e-06,0.149989560300381,2.0224924668355015e-05,0.22,2.051183091947347e-05,0.175,2.051183091947347e-05,False
638.9,0.026747511124659756,-1.8549671865109595e-06,-1.1621564710780351e-05,0.16427415706924994,-0.00014377630108697304,0.22,2.051183091947347e-05,0.175,2.051183091947347e-05,False
638.934,0.0338326955883929,-2.3789492083120503e-06,-1.4725197000056607e-05,0.17927072077123135,-0.00017577209714403352,0.22,2.0918510873720815e-05,0.19999999999999998,2.0918510873720815e-05,False
638.968,0.041832263465415256,-2.507090169325832e-06,-1.3886370127318048e-05,0.19998816729035074,2.0923028465347215e-05,0.22,2.245929181398742e-05,0.22,2.245929181398742e-05,False
639.0,0.04614646827523109,-3.0657492737314473e-06,-1.779508422390019e-05,0.21571024099332212,-0.00019543571543323424,0.22,2.245929181398742e-05,0.22,2.245929181398742e-05,False
639.034,0.05494599700787088,-3.2337460246882305e-06,-1.6883074605219796e-05,0.21998847521433101,2.319456022803479e-05,0.22,2.4511378960333006e-05,0.22,2.4511378960333006e-05,False
639.068,0.06374556442123624,-3.3932882377691662e-06,-1.590815519685025e-05,0.21998941603975392,2.4354374339452534e-05,0.22,2.3929435565351928e-05,0.22,2.3929435565351928e-05,False
639.102,0.07254516781354867,-3.5423608901442094e-06,-1.4959466287702916e-05,0.21999029737965467,2.3698464701737976e-05,0.22,2.331804304745864e-05,0.22,2.3929435565351928e-05,False
639.134,0.0769449819302987,-3.614456005799016e-06,-1.4493586376163064e-05,0.21999070589049982,2.329399553246958e-05,0.22,2.331804304745864e-05,0.22,2.331804304745864e-05,False
639.168,0.08574463385062296,-3.750334889177815e-06,-1.357696442716949e-05,0.21999148627081294,2.2813188138570695e-05,0.22,2.2405388409319705e-05,0.22,2.2405388409319705e-05,False
639.2,0.09014447080729762,-3.81579990041719e-06,-1.313538260625991e-05,0.2199918478773813,2.2079091266391515e-05,0.22,2.1808784468918493e-05,0.22,2.1808784468918493e-05,False
639.234,0.09894416569805285,-3.938391860907179e-06,-1.2262264395606519e-05,0.21999253902883842,2.1603624311694603e-05,0.22,2.1808784468918493e-05,0.22,2.1808784468918493e-05,False
639.268,0.10774388643531153,-4.051448504895988e-06,-1.1399087224331577e-05,0.21999317723758788,2.1388256854493193e-05,0.22,2.091128947828634e-05,0.22,2.091128947828634e-05,False
639.3,0.11214375587293987,-4.104432964995914e-06,-1.0975509631450318e-05,0.21999347191100452,2.117887962782561e-05,0.22,2.0304645625604876e-05,0.22,2.091128947828634e-05,False
639.334,0.12094351165293153,-4.204432322236244e-06,-1.0129246887823749e-05,0.21999403439983473,2.1154049889560156e-05,0.22,2.0304645625604876e-05,0.22,2.091128947828634e-05,False
639.368,0.12974328845857336,-4.296773566419977e-06,-9.2942516373642e-06,0.2199945453203031,2.0599067163118434e-05,0.22,1.936929331202996e-05,0.22,2.0304645625604876e-05,False
639.4,0.1341431843120389,-4.3394795055951256e-06,-8.88357745289196e-06,0.21999479269264252,2.0533709310655013e-05,0.22,1.8746708022669464e-05,0.22,1.936929331202996e-05,False
639.434,0.1429431118183062,-4.3264400766786325e-06,-7.259050159180323e-06,0.21999994626542088,5.158126512583294e-05,0.22,1.8746708022669464e-05,0.22,1.936929331202996e-05,False
639.468,0.15174310963560367,-4.253818993386506e-06,-5.283815322667048e-06,0.21999994506225243,4.8531589058598e-05,0.22,1.7091875073309583e-05,0.22,1.8746708022669464e-05,False
639.5,0.1561431085278469,-4.21537064727631e-06,-4.3386424140161395e-06,0.21999994460301156,4.725864570787053e-05,0.22,1.391903615342282e-05,0.22,1.7091875073309583e-05,False
639.534,0.16494310629154071,-4.133680590388642e-06,-2.580985417379312e-06,0.21999994398172212,4.3088249768175046e-05,0.22,1.391903615342282e-05,0.22,1.391903615342282e-05,False
639.568,0.17374310405235513,-4.04782016962673e-06,-1.0131635142525989e-06,0.21999994391244332,3.741758867192857e-05,0.22,1.1975719463545756e-05,0.22,1.391903615342282e-05,False
639.6,0.178143102932331,-4.004312492067734e-06,-2.916630851350839e-07,0.21999994399746092,3.607502172542354e-05,0.22,9.392377995188102e-06,0.22,1.1975719463545756e-05,False
639.634,0.18694310069742578,-3.914969188174547e-06,1.0143509446815654e-06,0.2199999441087023,3.203349621117013e-05,0.22,7.88331055926166e-06,0.22,9.392377995188102e-06,False
639.668,0.1957430984821917,-3.823023718474626e-06,2.1621832403620985e-06,0.2199999448699776,2.760782908950432e-05,0.22,7.88331055926166e-06,0.22,9.392377995188102e-06,False
639.7,0.2001430973818939,-3.775727859126278e-06,2.695174565143458e-06,0.21999994499092299,2.6649566109426814e-05,0.22,6.5265108377029665e-06,0.22,7.88331055926166e-06,False
639.734,0.2089430951662125,-3.6784638530071075e-06,3.6714182182592513e-06,0.21999994433234593,2.4145803934061405e-05,0.22,4.688730201074219e-06,0.22,6.5265108377029665e-06,False
639.768,0.21774309289690338,-3.578310909340712e-06,4.546716078027166e-06,0.21999994310804544,2.1318296994365937e-05,0.22,4.688730201074219e-06,0.22,4.688730201074219e-06,False
639.8,0.2221430917619243,-3.527889347357077e-06,4.937196517974538e-06,0.21999994326306335,1.9524021865890973e-05,0.22,3.5858117438409898e-06,0.22,4.688730201074219e-06,False
639.834,0.23094308951431688,-3.425944605864726e-06,5.644635737998494e-06,0.219999944174055,1.7261524121181537e-05,0.22,2.602794547504644e-06,0.22,3.5858117438409898e-06,False
639.868,0.23974308734660707,-3.3233785447253134e-06,6.264176735588483e-06,0.21999994632055597,1.5195314517768566e-05,0.22,2.602794547504644e-06,0.22,2.602794547504644e-06,False
639.9,0.24414308630723228,-3.273150369742819e-06,6.531492251831015e-06,0.2199999480473684,1.3365775775042721e-05,0.22,1.2889584765004834e-06,0.22,2.602794547504644e-06,False
639.934,0.2529430666966696,-3.1868958896275144e-06,6.889370963075511e-06,0.2199990700763194,5.290061944052127e-06,0.22,5.416752782472297e-07,0.22,1.2889584765004834e-06,False
639.968,0.2617430149329096,-3.1296266619425957e-06,6.926019323729241e-06,0.21999874017767804,7.733593293535179e-07,0.22,1.8681034453548385e-07,0.22,5.416752782472297e-07,False
640.0,0.2661429910919731,-3.1007753930390203e-06,6.931031204837277e-06,0.21999880796317067,2.505940566166487e-07,0.22,1.8681034453548385e-07,0.22,1.8681034453548385e-07,False
640.034,0.2749429531526664,-3.037132849524869e-06,6.987737927967835e-06,0.21999923158068996,2.453756370313087e-06,0.22,4.236477806662087e-08,0.22,1.8681034453548385e-07,False
640.068,0.28374295098362423,-2.944090495850255e-06,7.28006947194627e-06,0.21999994415561033,7.160224679836347e-06,0.22,-3.398436182588978e-07,0.22,4.236477806662087e-08,False
640.1,0.2881429498172328,-2.897730231445046e-06,7.4145028798520125e-06,0.21999994169747722,6.72167037585325e-06,0.22,-3.398436182588978e-07,0.22,-3.398436182588978e-07,False
640.134,0.2969429473812433,-2.8053480645509716e-06,7.65368706145523e-06,0.21999993857012434,5.639518807498689e-06,0.22,-1.0604129660543535e-06,0.22,-3.398436182588978e-07,False
640.168,0.3057429449324294,-2.713811384284001e-06,7.850210293246037e-06,0.21999993917230531,4.505539763499655e-06,0.22,-1.4884144442831827e-06,0.22,-1.0604129660543535e-06,False
640.2,0.310142943740362,-2.6683751605907875e-06,7.930317135169305e-06,0.21999994041456658,4.0053421024310865e-06,0.22,-1.4884144442831827e-06,0.22,-1.4884144442831827e-06,False
640.234,0.31894294145648955,-2.578380297093505e-06,8.062075686104248e-06,0.21999994378383608,2.981258950818244e-06,0.22,-2.0405707831182784e-06,0.22,-1.4884144442831827e-06,False
