t,x,y,yaw,v,w,v_cmd,w_cmd,v_nav,w_nav,velocity_violation
501.634,-2.021147319622052e-15,-1.966487519114967e-15,-1.4186251336197006e-14,0.0,0.0,0.061000000000000006,0.0,0.0,0.0,False
501.668,-2.021147319622052e-15,-1.966487519114967e-15,-1.4186251336197006e-14,0.0,0.0,0.061000000000000006,0.0,0.025,0.0,False
501.7,0.000985777436929798,3.1978890167472306e-08,2.9276715111587637e-07,0.024998362565758013,7.081644570750001e-06,0.07200000000000001,0.0,0.025,0.0,False
501.734,0.0017715504033425135,1.8361208130215243e-08,1.7269041822044882e-07,0.03928864832052238,-6.003836655089911e-06,0.083,0.0,0.05,0.0,False
501.768,0.003857142452051261,-2.096298766303778e-08,-1.73329189807382e-07,0.05428517670050539,-1.763718737446407e-05,0.083,0.0,0.07500000000000001,0.0,False
501.804,0.006891047990296942,-9.160417979347955e-08,-7.792739419044076e-07,0.07670192783470269,-3.061009187788066e-05,0.094,0.0,0.094,0.0,False
501.834,0.008770883250783582,-9.511109821109643e-08,-7.733834114111571e-07,0.09399176302446806,2.945265233089689e-07,0.105,0.0,0.094,0.0,False
501.868,0.012684509165762085,-1.0252698680940548e-07,-7.623241341497958e-07,0.10169140120825264,2.7057960524934366e-07,0.11599999999999999,0.0,0.105,0.0,False
501.9,0.014784290903266903,-1.0665041858387876e-07,-7.564622311719381e-07,0.10498908687539746,2.9309515647835127e-07,0.11599999999999999,0.0,0.11599999999999999,0.0,False
501.934,0.019335829541934222,-1.1590655058829142e-07,-7.442825250991368e-07,0.11598839737668587,3.244425089699021e-07,0.127,0.0,0.11599999999999999,0.0,False
501.968,0.024239492456782294,-5.903140289295995e-08,-1.2150793072794474e-07,0.126994795921692,3.079968121655341e-05,0.138,0.0,0.127,0.0,False
502.0,0.026779491232982996,1.1559365235167556e-07,1.4859533052661252e-06,0.12699993881671565,8.037306145070033e-05,0.138,0.0,0.138,0.0,False
502.034,0.03225546246741452,4.323898299032899e-07,4.320839137864034e-06,0.1379999389204672,8.332102936492447e-05,0.14900000000000002,0.0,0.14900000000000002,0.0,False
502.068,0.03808300543575998,4.847826189050418e-07,4.639604219629033e-06,0.1489873513333437,2.7341886116305503e-07,0.16000000000000003,0.0,0.14900000000000002,0.0,False
502.1,0.0410627593691577,4.933755262364053e-07,4.642847257916421e-06,0.14898769667188033,1.621519148120587e-07,0.16000000000000003,0.0,0.16000000000000003,0.0,False
502.134,0.04746230327434211,5.122302173578264e-07,4.6419457694261405e-06,0.1599875192917787,-5.422617398512242e-08,0.17100000000000004,0.0,0.17100000000000004,0.0,False
502.168,0.05427984586159207,5.316962288575533e-07,4.640574132153941e-06,0.17098745823102296,-4.6322326356651455e-08,0.18200000000000005,0.0,0.18200000000000005,0.0,False
502.2,0.05780959376139919,5.418476672869741e-07,4.639571469959225e-06,0.17648739499271127,-5.013311007648347e-08,0.18200000000000005,0.0,0.18200000000000005,0.0,False
502.234,0.06511109865299167,5.629337684071763e-07,4.6373865074413e-06,0.18308777915129065,-1.1330705540490982e-07,0.19300000000000006,0.0,0.19300000000000006,0.0,False
502.268,0.07283066155486989,5.850501300053111e-07,4.638078080295618e-06,0.19298803644049317,-3.368051462726562e-08,0.20400000000000007,0.0,0.20400000000000007,0.0,False
502.3,0.07684442009174673,5.978907007569812e-07,4.640218321325693e-06,0.20068792684681996,1.0701205130358993e-07,0.21500000000000008,0.0,0.20400000000000007,0.0,False
502.334,0.08507022902006532,7.977899233683979e-07,6.192104327307511e-06,0.20729873597438297,5.387142264362543e-05,0.21500000000000008,0.0,0.21500000000000008,0.0,False
502.368,0.09367022717281864,1.1851521742697335e-06,9.23022508865413e-06,0.21499996609385538,7.43734183572542e-05,0.22,0.0,0.22,0.0,False
502.4,0.09806009573300052,1.2832376495736771e-06,9.811903747639616e-06,0.21949342805591915,2.9083932889806263e-05,0.22,0.0,0.22,0.0,False
502.434,0.10686009553907347,1.671210766754627e-06,1.2555904712951998e-05,0.21999999637896983,6.716998157685339e-05,0.22,0.0,0.22,0.0,False
502.468,0.11566009538346983,2.058517804370786e-06,1.507996313126948e-05,0.21999999641809803,6.17611711106747e-05,0.22,0.0,0.22,0.0,False
502.5,0.1200600953142448,2.2522122164935823e-06,1.6265355080251986e-05,0.21999999669115752,5.926959829594125e-05,0.22,0.0,0.22,0.0,False
502.534,0.12886009521306038,2.6396095380319376e-06,1.8492658431155205e-05,0.21999999799774442,5.449333109197596e-05,0.22,0.0,0.22,0.0,False
502.568,0.13766009513936522,3.0264829260411856e-06,2.054075834087001e-05,0.21999999848880947,5.013312680546278e-05,0.22,0.0,0.22,0.0,False
502.6,0.14206009511222814,3.220441346353091e-06,2.1501042646530763e-05,0.21999999884749905,4.801421482625301e-05,0.22,0.0,0.22,0.0,False
