t,x,y,yaw,v,w,v_cmd,w_cmd,v_nav,w_nav,velocity_violation
455.068,0.00018565109696756595,-1.4633024110094686e-07,-1.3257415585302012e-06,0.009282554858198802,-6.62870769413404e-05,0.22,4.8614739947818195e-14,0.025,4.8614739947818195e-14,True
455.1,0.0006854756107902188,-1.4759819182487046e-07,-1.3238416474289315e-06,0.02499122569121663,9.49955558660065e-08,0.22,3.989482692784726e-06,0.05,3.989482692784726e-06,False
455.134,0.002170642159492042,-3.597675515183757e-07,-3.1048427408061216e-06,0.04926933377654475,-8.912595952370594e-05,0.22,3.989482692784726e-06,0.05,3.989482692784726e-06,False
455.168,0.004455489979366504,-6.285849362489544e-07,-5.163883861638561e-06,0.06426445497406641,-0.00010697707222284691,0.22,9.480292089203265e-06,0.07500000000000001,9.480292089203265e-06,False
455.2,0.005954839254713558,-6.421483695738358e-07,-4.974115318531425e-06,0.0749674637707832,9.488427199499938e-06,0.22,1.578593162475257e-05,0.1,1.578593162475257e-05,False
455.234,0.0096891388345022,-9.773162132282082e-07,-7.029773906459933e-06,0.09996640313130686,1.5675999343045532e-05,0.22,2.294422284870024e-05,0.1,1.578593162475257e-05,False
455.268,0.014223205273631516,-1.3502196503622744e-06,-9.040100035571901e-06,0.124959396915641,2.2998245619021418e-05,0.22,2.294422284870024e-05,0.125,2.294422284870024e-05,False
455.3,0.016722212593820014,-1.39068484439713e-06,-8.580894566775515e-06,0.12495036602720178,2.2960273504679662e-05,0.22,2.5427450526829197e-05,0.15,2.5427450526829197e-05,False
455.334,0.022555838406597306,-1.8037688525656936e-06,-1.0393911387623414e-05,0.14994334130365866,2.5486471422198065e-05,0.22,2.4075254880115927e-05,0.175,2.4075254880115927e-05,False
455.368,0.029189406200465267,-2.216953617988723e-06,-1.1980788316344211e-05,0.1749503066202606,2.4189002800767412e-05,0.22,2.4075254880115927e-05,0.175,2.4075254880115927e-05,False
455.4,0.03277387333279291,-2.5407863263923165e-06,-1.3786182420620415e-05,0.17922335683425877,-9.026970388958944e-05,0.22,2.303329918779886e-05,0.19999999999999998,2.303329918779886e-05,False
455.434,0.04077152252692276,-2.7176588921014426e-06,-1.285666709337977e-05,0.19993570402026986,2.3230287560238594e-05,0.22,2.190585994439484e-05,0.22,2.190585994439484e-05,False
455.468,0.04948357789876035,-3.1132148001295757e-06,-1.372950770213595e-05,0.2199345063378698,2.2156828016761665e-05,0.22,2.0813294908566658e-05,0.22,2.190585994439484e-05,False
455.5,0.05388232127608066,-3.2056552076798955e-06,-1.3294587266957337e-05,0.21993716892834847,2.174602169446871e-05,0.22,2.0813294908566658e-05,0.22,2.0813294908566658e-05,False
455.534,0.06267995497083277,-3.391395034516454e-06,-1.2451969653485106e-05,0.21994203486656144,2.1012866469050095e-05,0.22,2.0376426780656143e-05,0.22,2.0376426780656143e-05,False
455.568,0.07147815465748192,-3.272143900223526e-06,-9.05168528196462e-06,0.2199655899488758,0.0001492802720548525,0.22,1.9940423709230152e-05,0.22,1.9940423709230152e-05,False
455.6,0.08027814989383086,-1.8567551026374757e-06,5.328530344937038e-06,0.2199998832541045,0.00035243002685092506,0.22,1.9940423709230152e-05,0.22,1.9940423709230152e-05,False
455.634,0.08467814764168585,-1.1453739178343808e-06,1.2114230190882461e-05,0.2199998877161448,0.000339284997608047,0.22,-1.1086315179981067e-06,0.22,1.9940423709230152e-05,False
455.668,0.09347814336643968,2.8450592926700723e-07,2.48881001701061e-05,0.21999989563296776,0.0003120436389281167,0.22,-1.766086984227355e-05,0.22,-1.108631517998106e-06,False
455.7,0.09787814132791772,1.0022081189811175e-06,3.0517879604271465e-05,0.21999989907903278,0.00028148897115443106,0.22,-1.766086984227355e-05,0.22,-1.108631517998106e-06,False
455.734,0.10667813783356762,2.4389250500497645e-06,4.0879059171691784e-05,0.2199999254715525,0.0002476891168612383,0.22,-3.983075209006195e-05,0.22,-1.766086984227355e-05,False
455.768,0.11547813528216809,3.871555368204263e-06,4.984944306104633e-05,0.21999993935038925,0.00021603350717214198,0.22,-5.2702869789166884e-05,0.22,-3.983075209006195e-05,False
455.8,0.11987813407685746,4.5881798964713165e-06,5.3666978028224086e-05,0.21999994159630404,0.00019087675013906846,0.22,-5.2702869789166884e-05,0.22,-3.983075209006195e-05,False
455.834,0.12867813177536394,6.00792582626088e-06,6.0541160526688054e-05,0.219999945424422,0.00016177588406662835,0.22,-6.935187602330107e-05,0.22,-5.2702869789166884e-05,False
455.868,0.13747812959027256,7.416931459703679e-06,6.629995313140171e-05,0.21999994836127162,0.0001358855030275663,0.22,-7.884387357203474e-05,0.22,-6.935187602330107e-05,False
455.9,0.14627812753798763,8.805997179721259e-06,7.093542907846798e-05,0.21999995180147955,0.00011170772253876748,0.22,-8.713897938721246e-05,0.22,-7.884387357203474e-05,False
455.934,0.15067812655351126,9.492536651144875e-06,7.2860695944279e-05,0.21999995324792007,9.626334360746114e-05,0.22,-8.713897938721246e-05,0.22,-7.884387357203474e-05,False
455.968,0.15947812466556277,1.0847618154914703e-05,7.619856974875975e-05,0.2199999558932925,7.724858832602877e-05,0.22,-9.777158392637009e-05,0.22,-8.713897938721246e-05,False
456.0,0.1638781237578354,1.1515303351228759e-05,7.757045941950184e-05,0.21999995718298831,6.859448333784712e-05,0.22,-0.000103741628516651,0.22,-9.777158392637009e-05,False
456.034,0.17267777190269532,1.2564500129581958e-05,7.731103592962545e-05,0.21998245256094845,-7.238287698108081e-05,0.22,-0.000103741628516651,0.22,-9.777158392637009e-05,False
456.068,0.18147696677536204,1.3203792919550482e-05,7.325101770541706e-05,0.21998025250798117,-0.00010389308187086499,0.22,-0.00010463437370713613,0.22,-0.000103741628516651,False
456.1,0.18587658678848062,1.3512088989630018e-05,7.11730733342818e-05,0.2199810017675547,-0.00010389721865067258,0.22,-0.00010189381757885298,0.22,-0.00010463437370713613,False
456.134,0.19467586815082896,1.4099268433508576e-05,6.698494037031734e-05,0.21998237030597703,-0.00010479316472356004,0.22,-0.00010189381757885298,0.22,-0.00010189381757885298,False
456.168,0.20347520182449835,1.4653132646688521e-05,6.285374129820671e-05,0.21998365202850287,-0.00010204420348713938,0.22,-9.903923665458652e-05,0.22,-0.00010189381757885298,False
456.2,0.21227458347653616,1.5171547927858926e-05,5.8829408373422327e-05,0.2199848368332709,-9.9177519530258e-05,0.22,-9.47216255266316e-05,0.22,-9.903923665458652e-05,False
456.234,0.21667429120449533,1.5418102805781056e-05,5.684595269660701e-05,0.21998538710978882,-9.917278376292415e-05,0.22,-9.189552688905576e-05,0.22,-9.47216255266316e-05,False
456.268,0.22547373834953466,1.5886541545185597e-05,5.3043172100304175e-05,0.21998644199535375,-9.485287009169951e-05,0.22,-9.189552688905576e-05,0.22,-9.47216255266316e-05,False
456.3,0.22987347697119798,1.6108699884698874e-05,5.117439278811688e-05,0.21998693166091104,-9.343896607560964e-05,0.22,-8.915666795419288e-05,0.22,-9.189552688905576e-05,False
456.334,0.2386729824330211,1.652945297462441e-05,4.74989478471101e-05,0.21998787066935846,-9.174721000704267e-05,0.22,-8.507264797567827e-05,0.22,-8.915666795419288e-05,False
456.368,0.24747252309998516,1.69187424449145e-05,4.3927777702803836e-05,0.21998872733070987,-8.927911707701242e-05,0.22,-8.507264797567827e-05,0.22,-8.507264797567827e-05,False
456.4,0.2518723059728926,1.7102918379765444e-05,4.2199385149303266e-05,0.21998914404112294,-8.641962807587333e-05,0.22,-8.238565672993263e-05,0.22,-8.507264797567827e-05,False
456.434,0.2606720146203081,1.7538314993892363e-05,3.9622845604567306e-05,0.21999589863994468,-4.363019403541557e-05,0.22,-7.948487723926143e-05,0.22,-8.238565672993263e-05,False
