t,x,y,yaw,v,w,v_cmd,w_cmd,v_nav,w_nav,velocity_violation
112.368,-2.2965806588902496e-15,-6.590356494147616e-16,-4.212452204531894e-15,0.0,0.0,0.22,1.4416125802596132e-14,0.0,0.0,True
112.4,-2.2965806588902496e-15,-6.590356494147616e-16,-4.212452204531894e-15,0.0,0.0,0.22,1.4416125802596132e-14,0.025,1.4416125802596132e-14,False
112.434,0.0006857948866049363,-3.047941717294662e-07,-2.753712646482597e-06,0.024999994193028424,9.642250678454367e-08,0.22,1.4416125802596132e-14,0.05,1.4416125802596132e-14,False
112.468,0.0021715714958916647,-6.786211759795632e-07,-6.08508672843355e-06,0.04928891924191335,-0.00016666263174328066,0.22,8.278281225482257e-06,0.05,1.4416125802596132e-14,False
112.5,0.003171560408650701,-6.847315614965227e-07,-6.083635946366572e-06,0.049999445639810666,7.253910389026785e-08,0.22,1.839210389966423e-05,0.07500000000000001,8.278281225482257e-06,False
112.534,0.006107292602183732,-1.1019353044393786e-06,-9.309487470571303e-06,0.07499900866901471,8.347369284678052e-06,0.22,2.863656800500479e-05,0.1,1.839210389966423e-05,False
112.568,0.0098429972633603,-1.552571731947587e-06,-1.2359938704096958e-05,0.09999894835109044,1.838018057753743e-05,0.22,2.863656800500479e-05,0.1,1.839210389966423e-05,False
112.6,0.014378701121248692,-2.014010399917075e-06,-1.5005424802252195e-05,0.12499860942187273,2.877722025118601e-05,0.22,3.883416498008269e-05,0.125,2.863656800500479e-05,False
112.634,0.016878667534760375,-2.051625534414645e-06,-1.4430713224309272e-05,0.12499832070321434,2.8735578894156788e-05,0.22,3.984222752125453e-05,0.15,3.883416498008269e-05,False
112.668,0.022714265904694577,-2.5361827733058713e-06,-1.6440378363817675e-05,0.1499980570182686,3.895635245498852e-05,0.22,3.984222752125453e-05,0.15,3.883416498008269e-05,False
112.7,0.029349943238315475,-3.013897555350947e-06,-1.8107494901881606e-05,0.17499830771787328,4.0003226686735616e-05,0.22,3.651230344125925e-05,0.175,3.984222752125453e-05,False
112.734,0.03284990230628635,-3.0771216977566287e-06,-1.7307455433245467e-05,0.17499795345440558,4.00019736446211e-05,0.22,3.28109756804233e-05,0.19999999999999998,3.651230344125925e-05,False
112.768,0.04078556861476103,-3.559315481988215e-06,-1.8799363366506098e-05,0.19999783464179124,3.6701712602393854e-05,0.22,3.28109756804233e-05,0.22,3.28109756804233e-05,False
112.8,0.04510000778092471,-3.9144444710613915e-06,-2.0546574595254087e-05,0.21572195867858973,-8.736056251734681e-05,0.22,3.0467853025849018e-05,0.22,3.28109756804233e-05,False
112.834,0.053899923333476416,-4.0923120949588614e-06,-1.924384426891319e-05,0.21999795061565272,3.2107102043710256e-05,0.22,2.8988768174911967e-05,0.22,3.0467853025849018e-05,False
112.868,0.06269984811012769,-4.258789463308603e-06,-1.8023737588903908e-05,0.21999817433440513,3.0287387531302556e-05,0.22,2.7703114664282334e-05,0.22,2.8988768174911967e-05,False
112.9,0.07149978139790213,-4.414028986115428e-06,-1.6852582453168057e-05,0.2199983823747758,2.9288147018746713e-05,0.22,2.7703114664282334e-05,0.22,2.7703114664282334e-05,False
112.934,0.07589975096651173,-4.487867229406522e-06,-1.628955394996714e-05,0.21999847849155668,2.8151425190969803e-05,0.22,2.6884737878574714e-05,0.22,2.7703114664282334e-05,False
112.968,0.08469972131828538,-4.607918436105764e-06,-1.5001519807063011e-05,0.219999944570149,3.635041032623576e-05,0.22,2.6089769892631415e-05,0.22,2.6884737878574714e-05,False
113.0,0.0934997190887328,-4.699819953508125e-06,-1.3595984762092972e-05,0.21999994408567125,3.485367088273961e-05,0.22,2.6089769892631415e-05,0.22,2.6089769892631415e-05,False
113.034,0.09789971805359357,-4.742560091201763e-06,-1.2921694111281714e-05,0.21999994827130673,3.371453267675406e-05,0.22,2.427740259230562e-05,0.22,2.6089769892631415e-05,False
113.068,0.10669971685829456,-4.8218443779212064e-06,-1.1623599269424171e-05,0.2199999696653545,3.158207277920155e-05,0.22,2.312628341901241e-05,0.22,2.427740259230562e-05,False
113.1,0.11109971624512895,-4.858769633193397e-06,-1.101193803728272e-05,0.2199999693625621,3.058306070613526e-05,0.22,2.312628341901241e-05,0.22,2.312628341901241e-05,False
113.134,0.11989971504498095,-4.927568123932332e-06,-9.851983282703555e-06,0.21999997022988582,2.855008798263725e-05,0.22,2.1545870895142495e-05,0.22,2.312628341901241e-05,False
113.168,0.128699713896704,-4.990096872794115e-06,-8.772646240831939e-06,0.21999997170553,2.6144105547132312e-05,0.22,2.056721169445617e-05,0.22,2.1545870895142495e-05,False
113.2,0.1330997133400462,-5.019218642139551e-06,-8.258926681504165e-06,0.21999997217947267,2.5685977966816154e-05,0.22,2.056721169445617e-05,0.22,2.056721169445617e-05,False
113.234,0.1418997052813134,-5.080004342877416e-06,-7.345950941319219e-06,0.21999962414275895,2.125754203774477e-05,0.22,1.966624569234688e-05,0.22,1.966624569234688e-05,False
113.268,0.15069968936654513,-5.142713792883702e-06,-6.548414698454148e-06,0.21999962447397534,1.966720688528767e-05,0.22,1.856048081565553e-05,0.22,1.966624569234688e-05,False
113.3,0.15509968271542526,-5.171519481699575e-06,-6.1616956960022636e-06,0.21999966745313143,1.9335950263155155e-05,0.22,1.79151939015603e-05,0.22,1.856048081565553e-05,False
113.334,0.1638996718846852,-5.223876094304375e-06,-5.418896622686402e-06,0.21999974880236534,1.85729524204703e-05,0.22,1.79151939015603e-05,0.22,1.79151939015603e-05,False
113.368,0.17269966406862342,-5.269697479270421e-06,-4.700100822827315e-06,0.219999822983664,1.7941769669960195e-05,0.22,1.6985437848794847e-05,0.22,1.79151939015603e-05,False
113.4,0.17709966121145493,-5.290189815228524e-06,-4.350432670389839e-06,0.2199998571461946,1.7483407610541235e-05,0.22,1.6373609775048215e-05,0.22,1.6985437848794847e-05,False
113.436,0.1858996574326637,-5.326567539527865e-06,-3.6707064552596326e-06,0.21999992152491527,1.696410354412592e-05,0.22,1.6373609775048215e-05,0.22,1.6373609775048215e-05,False
