t,x,y,yaw,v,w,v_cmd,w_cmd,v_nav,w_nav,velocity_violation
59.468,-1.9730063941348735e-15,2.1720657902459647e-16,2.0919785086529466e-15,0.0,0.0,0.22,-6.158573952048547e-15,0.025,-6.158573952048547e-15,True
59.5,0.0004856896100488352,-2.5078203748602947e-07,-2.2694265251140464e-06,0.024284480531053507,-0.00011347132554684336,0.22,6.818689301726477e-06,0.025,-6.158573952048547e-15,False
59.534,0.0017713436130042874,-5.166437000880268e-07,-4.562608339602181e-06,0.03928400035977042,-0.00011485687778090004,0.22,6.818689301726477e-06,0.05,6.818689301726477e-06,False
59.568,0.0038569201075642967,-7.863463424106375e-07,-6.617263033040114e-06,0.05428177276826868,-0.00010974737025826187,0.22,1.3821976252372405e-05,0.07500000000000001,1.3821976252372405e-05,False
59.6,0.005356848839557601,-7.967123936949765e-07,-6.3361188998994984e-06,0.07499643660301417,1.4057206598749872e-05,0.22,1.9915075738051998e-05,0.1,1.9915075738051998e-05,False
59.634,0.008892356404568574,-1.0760679737850633e-06,-7.928540021217504e-06,0.0999952412928582,2.0159023250698738e-05,0.22,2.5639513106026966e-05,0.1,1.9915075738051998e-05,False
59.668,0.013227822125639839,-1.3548656046185734e-06,-9.222767403538933e-06,0.11677911798055393,-8.483234079648128e-05,0.22,2.5639513106026966e-05,0.125,2.5639513106026966e-05,False
59.7,0.015727681002442553,-1.379495848805952e-06,-8.705762643524015e-06,0.12499294385114842,2.5850238039026863e-05,0.22,2.503575173771898e-05,0.15,2.503575173771898e-05,False
59.734,0.021363015500557424,-1.6590147717128062e-06,-9.692418524757553e-06,0.14999355334701986,2.5270949244315943e-05,0.22,2.23275942353692e-05,0.175,2.23275942353692e-05,False
59.768,0.0279484168752663,-1.931059743064527e-06,-1.0535558074035314e-05,0.17499291708114245,2.2590505110997583e-05,0.22,2.23275942353692e-05,0.175,2.23275942353692e-05,False
59.8,0.031448244140903844,-1.970662435290694e-06,-1.0084335694537459e-05,0.17499136330224924,2.2561119195074752e-05,0.22,2.0181850260138154e-05,0.19999999999999998,2.0181850260138154e-05,False
59.834,0.03933360351740401,-2.243307271312824e-06,-1.0853375425350403e-05,0.19999078001384266,2.0425818547664676e-05,0.22,1.8108926697676342e-05,0.22,1.8108926697676342e-05,False
59.868,0.047887692795796084,-2.4887089521925355e-06,-1.1355887382747848e-05,0.21999257456509363,1.8328519324484205e-05,0.22,1.8108926697676342e-05,0.22,1.8108926697676342e-05,False
59.9,0.05228751302954057,-2.5436298552456862e-06,-1.098865726568521e-05,0.21999101171785487,1.8361505738084816e-05,0.22,1.701280849291878e-05,0.22,1.701280849291878e-05,False
59.934,0.06108717626532836,-2.646506318700015e-06,-1.0298433760065594e-05,0.21999176167106635,1.7248961547977615e-05,0.22,1.631405662258142e-05,0.22,1.631405662258142e-05,False
59.968,0.06988686748447938,-2.743411814628198e-06,-9.632934647423182e-06,0.21999245205917473,1.647439660246164e-05,0.22,1.631405662258142e-05,0.22,1.631405662258142e-05,False
60.0,0.0742867229142214,-2.7896121438183584e-06,-9.306512645989875e-06,0.2199927715089412,1.6321100027028024e-05,0.22,1.5868719608322195e-05,0.22,1.5868719608322195e-05,False
60.034,0.08308645210991913,-2.8776959461947497e-06,-8.671576190121923e-06,0.21999338159265744,1.585053190922281e-05,0.22,1.5432045465822643e-05,0.22,1.5432045465822643e-05,False
60.068,0.09188620411073617,-2.9600283534618217e-06,-8.052854018659915e-06,0.21999393581357687,1.544090615368532e-05,0.22,1.4780783955391705e-05,0.22,1.5432045465822643e-05,False
60.1,0.09628608820075127,-2.9981609069791953e-06,-7.742900274172735e-06,0.21999420451578508,1.5497687222421064e-05,0.22,1.4780783955391705e-05,0.22,1.5432045465822643e-05,False
60.134,0.10508603128337285,-2.9484586625286574e-06,-6.040109649662022e-06,0.2199999728393615,5.119453980739763e-05,0.22,1.3869342479622528e-05,0.22,1.4780783955391705e-05,False
60.168,0.11388603021072938,-2.852597111101498e-06,-4.111415076428708e-06,0.21999997328564605,4.747534454452307e-05,0.22,1.0594592361021473e-05,0.22,1.3869342479622528e-05,False
60.2,0.11828602968227216,-2.803491669771315e-06,-3.201498187989177e-06,0.2199999735682862,4.549584424751174e-05,0.22,1.0594592361021473e-05,0.22,1.3869342479622528e-05,False
60.234,0.1270860286214146,-2.7015438615077286e-06,-1.5123046712130404e-06,0.21999997348777808,4.07485490683257e-05,0.22,8.583770664614006e-06,0.22,1.0594592361021473e-05,False
60.268,0.1358860275640643,-2.5967378934988835e-06,-2.7613945066600127e-08,0.21999997347657518,3.6390217417192616e-05,0.22,6.777513726918939e-06,0.22,8.583770664614006e-06,False
60.3,0.14028602703328558,-2.5433828172675183e-06,6.407035891848224e-07,0.21999997346198025,3.341587664351664e-05,0.22,6.777513726918939e-06,0.22,8.583770664614006e-06,False
60.334,0.1490860259746043,-2.4351467396883583e-06,1.8854282228594867e-06,0.21999997344539263,2.993509511384218e-05,0.22,4.371731168224832e-06,0.22,6.777513726918939e-06,False
60.368,0.15788602491466466,-2.3254567184254053e-06,2.9863821681586256e-06,0.2199999735857469,2.6674152664440953e-05,0.22,2.957090976541816e-06,0.22,4.371731168224832e-06,False
60.4,0.1622860243829623,-2.269903652872774e-06,3.4669865547870627e-06,0.219999973423915,2.403021905905689e-05,0.22,2.957090976541816e-06,0.22,2.957090976541816e-06,False
60.434,0.17108602332280165,-2.1588030194926158e-06,4.35015546434711e-06,0.21999997359279,2.1017160278802294e-05,0.22,1.1028000536765364e-06,0.22,2.957090976541816e-06,False
60.468,0.17988602226017705,-2.0470155160578384e-06,5.1175912109758175e-06,0.21999997346109001,1.8333430773509463e-05,0.22,2.8307942918672065e-08,0.22,1.1028000536765364e-06,False
60.5,0.18428602173257239,-1.9913542385499043e-06,5.450906278088283e-06,0.2199999736345223,1.6665753577171927e-05,0.22,2.8307942918672065e-08,0.22,2.8307942918672048e-08,False
60.534,0.19308602066886243,-1.8798629931702078e-06,6.051168884889802e-06,0.21999997352159845,1.418363950733692e-05,0.22,-1.3686754067999719e-06,0.22,2.8307942918672048e-08,False
60.568,0.20188601961263064,-1.7691157318903376e-06,6.560301066177027e-06,0.21999997352913908,1.1919443032581967e-05,0.22,-2.175262902539115e-06,0.22,-1.3686754067999719e-06,False
60.6,0.20628601908262328,-1.714091677106018e-06,6.778460790414111e-06,0.2199999735180139,1.09079861587702e-05,0.22,-2.882797769186547e-06,0.22,-2.175262902539115e-06,False
60.634,0.21508601802542832,-1.604959543031185e-06,7.154844003905877e-06,0.21999997350647355,8.965458331289256e-06,0.22,-2.882797769186547e-06,0.22,-2.882797769186547e-06,False
60.668,0.22388601696625643,-1.4973862246904285e-06,7.4651214718632625e-06,0.2199999736043247,7.21915713874921e-06,0.22,-3.795907722133473e-06,0.22,-2.882797769186547e-06,False
60.7,0.23268601590065457,-1.3913331973638173e-06,7.709640412581272e-06,0.21999997336557892,5.512267620133571e-06,0.22,-4.317378178278685e-06,0.22,-3.795907722133473e-06,False
60.734,0.23708601536994317,-1.3391665597605892e-06,7.807238840701335e-06,0.2199999734846807,4.879921444711499e-06,0.22,-4.317378178278685e-06,0.22,-4.317378178278685e-06,False
60.768,0.24588601429892623,-1.23615618432458e-06,7.958702211397866e-06,0.21999997322144332,3.502755396844748e-06,0.22,-4.96285776808087e-06,0.22,-4.317378178278685e-06,False
60.8,0.25028601376580795,-1.1855851999598403e-06,8.017019105793873e-06,0.21999997336429575,2.9158447212296323e-06,0.22,-5.322507607036554e-06,0.22,-4.96285776808087e-06,False
60.834,0.2590860126908174,-1.0859708564218355e-06,8.091532806502034e-06,0.21999997312892697,1.648266212406213e-06,0.22,-5.322507607036554e-06,0.22,-5.322507607036554e-06,False
60.868,0.2678860116172955,-9.888500230499223e-07,8.125625391200151e-06,0.21999997309636474,6.84564621655781e-07,0.22,-5.623417610064593e-06,0.22,-5.623417610064593e-06,False
60.9,0.27228601107859773,-9.41216213779073e-07,8.128298365901526e-06,0.21999997308446892,1.336487379099971e-07,0.22,-5.878239419966234e-06,0.22,-5.623417610064593e-06,False
60.934,0.28108601000360245,-8.478501482708395e-07,8.110032153130912e-06,0.21999997305140523,-6.91514753792255e-07,0.22,-6.1831005198959805e-06,0.22,-5.878239419966234e-06,False
60.968,0.2898860089285205,-7.571135366234556e-07,8.06160884096787e-06,0.21999997322206782,-1.3846429225417012e-06,0.22,-6.1831005198959805e-06,0.22,-6.1831005198959805e-06,False
61.004,0.298686007849319,-6.689301780196226e-07,7.982792775732796e-06,0.21999997302895474,-2.088637418573569e-06,0.22,-6.3408968205601705e-06,0.22,-6.3408968205601705e-06,False
61.034,0.303086007312769,-6.259291530425308e-07,7.933608675502677e-06,0.21999997318960873,-2.4592050396066156e-06,0.22,-6.511043039044014e-06,0.22,-6.3408968205601705e-06,False
61.068,0.3118860062311501,-5.419013421216767e-07,7.819408705709178e-06,0.21999997295542065,-3.005598081529115e-06,0.22,-6.511043039044014e-06,0.22,-6.511043039044014e-06,False
61.1,0.3162860056920096,-5.010260176327896e-07,7.753406225708869e-06,0.21999997305888302,-3.3001239962970885e-06,0.22,-6.58781540506578e-06,0.22,-6.58781540506578e-06,False
61.134,0.3250860046041165,-4.2135956763175177e-07,7.607400215911232e-06,0.2199999727867418,-3.7826854759615003e-06,0.22,-6.635771195806616e-06,0.22,-6.58781540506578e-06,False
61.168,0.33388600351409875,-3.4469179980139673e-07,7.444189507103549e-06,0.21999997264417143,-4.1900271252615084e-06,0.22,-6.635771195806616e-06,0.22,-6.635771195806616e-06,False
61.2,0.3382860029656195,-3.0747025846018413e-07,7.356668174742369e-06,0.21999997258980306,-4.376066620181973e-06,0.22,-6.660799784008493e-06,0.22,-6.660799784008493e-06,False
61.234,0.34708600186886596,-2.3524236773454612e-07,7.1712419894862e-06,0.21999997248081202,-4.724692503899064e-06,0.22,-6.649786824294805e-06,0.22,-6.649786824294805e-06,False
61.268,0.35588600076801175,-1.659784724832216e-07,6.973839509487601e-06,0.21999997255252945,-5.0003218454719445e-06,0.22,-6.5966164844389525e-06,0.22,-6.649786824294805e-06,False
61.3,0.36028600021491064,-1.3239774773697764e-07,6.871091180635309e-06,0.21999997235655985,-5.137416403400152e-06,0.22,-6.5966164844389525e-06,0.22,-6.5966164844389525e-06,False
61.334,0.3690859991099649,-6.747232836848099e-08,6.660130417569597e-06,0.21999997245163017,-5.327842300673069e-06,0.22,-6.540401893769944e-06,0.22,-6.540401893769944e-06,False
61.368,0.37788599799693223,-5.335441818122774e-09,6.442171690605342e-06,0.21999997209538907,-5.492952537267115e-06,0.22,-6.470118560445101e-06,0.22,-6.540401893769944e-06,False
61.4,0.3822859974456851,2.4644814199183775e-08,6.330682632218478e-06,0.21999997244720815,-5.574452943690744e-06,0.22,-6.470118560445101e-06,0.22,-6.470118560445101e-06,False
61.434,0.39108599633448743,8.257984456783913e-08,6.103791858858852e-06,0.2199999722114944,-5.718930662368393e-06,0.22,-6.34083241787394e-06,0.22,-6.34083241787394e-06,False
61.468,0.39988599522327267,1.3771184679356058e-07,5.874441574048367e-06,0.2199999721173659,-5.774148537085466e-06,0.22,-6.241003413678605e-06,0.22,-6.241003413678605e-06,False
61.5,0.40868599411849293,1.900457893169063e-07,5.641805320150604e-06,0.21999997273096708,-5.848233630700861e-06,0.22,-6.132025475888194e-06,0.22,-6.241003413678605e-06,False
61.534,0.4130859936897852,2.1526585975282203e-07,5.5245776155984315e-06,0.21999997857164705,-5.8613851994238075e-06,0.22,-6.132025475888194e-06,0.22,-6.132025475888194e-06,False
61.568,0.4218859931379156,2.6390883736358524e-07,5.290669920504727e-06,0.21999998726249687,-5.854732787469175e-06,0.22,-5.952910392416438e-06,0.22,-5.952910392416438e-06,False
61.6,0.42628599288089,2.8748898816879807e-07,5.177170825317726e-06,0.21999998715488395,-5.674954772771912e-06,0.22,-5.830555267960153e-06,0.22,-5.952910392416438e-06,False
61.634,0.4350859923667057,3.3313794785982446e-07,4.951706747300081e-06,0.2199999871766558,-5.5992634528934104e-06,0.22,-5.830555267960153e-06,0.22,-5.830555267960153e-06,False
61.668,0.44388599184995764,3.76905069919013e-07,4.730561734970256e-06,0.21999998708376967,-5.509121603353151e-06,0.22,-5.648167243772991e-06,0.22,-5.648167243772991e-06,False
61.7,0.44828599159304416,3.980660790725642e-07,4.623352593547378e-06,0.21999998715926922,-5.360457056013956e-06,0.22,-5.528048603305462e-06,0.22,-5.528048603305462e-06,False
61.734,0.4570859910771322,4.39067306622691e-07,4.4110806169387725e-06,0.2199999871166586,-5.25678718332756e-06,0.22,-5.528048603305462e-06,0.22,-5.528048603305462e-06,False
61.768,0.465885990564881,4.78276378029175e-07,4.203699860905264e-06,0.21999998717879282,-5.140367953515579e-06,0.22,-5.408961234494013e-06,0.22,-5.408961234494013e-06,False
61.8,0.4702859903092008,4.972307361105638e-07,4.101709836711478e-06,0.2199999872199217,-5.099501176886179e-06,0.22,-5.231780061118404e-06,0.22,-5.231780061118404e-06,False
61.834,0.47908598980185024,5.338491174729036e-07,3.902550711093742e-06,0.21999998730340775,-4.916716145331179e-06,0.22,-5.231780061118404e-06,0.22,-5.231780061118404e-06,False
61.868,0.4878859892970245,5.687273836496355e-07,3.707838305827965e-06,0.21999998742967977,-4.81679989228212e-06,0.22,-5.115844525204191e-06,0.22,-5.115844525204191e-06,False
61.9,0.4966859887913915,6.01923647362833e-07,3.5172416196302174e-06,0.21999998735853352,-4.722636282039616e-06,0.22,-4.942471847119548e-06,0.22,-4.942471847119548e-06,False
61.934,0.5010859885395148,6.178840211440888e-07,3.4244763206865656e-06,0.21999998740893273,-4.63826501650999e-06,0.22,-4.828758543696713e-06,0.22,-4.942471847119548e-06,False
61.968,0.509885988030847,6.486055902077957e-07,3.2388289139541415e-06,0.21999998726712072,-4.6421860577794405e-06,0.22,-4.828758543696713e-06,0.22,-4.942471847119548e-06,False
62.0,0.5142859877768163,6.633399588324916e-07,3.1459422546238084e-06,0.2199999873008179,-4.644333007064461e-06,0.22,-4.712932886192075e-06,0.22,-4.828758543696713e-06,False
62.034,0.5230859872637983,6.916221361187468e-07,2.96461227169437e-06,0.21999998716126407,-4.534165798375511e-06,0.22,-4.53648111938856e-06,0.22,-4.712932886192075e-06,False
62.068,0.5318859867503062,7.183072618095982e-07,2.7868398148146152e-06,0.21999998711952315,-4.42194982852584e-06,0.22,-4.53648111938856e-06,0.22,-4.712932886192075e-06,False
62.1,0.5362859864924601,7.310641784453423e-07,2.6990721281421353e-06,0.21999998710944083,-4.388384367004505e-06,0.22,-4.419356673295754e-06,0.22,-4.53648111938856e-06,False
62.134,0.5450859859782291,7.554386834094397e-07,2.529077342593062e-06,0.21999998711166685,-4.2506081765480985e-06,0.22,-4.245983790623965e-06,0.22,-4.419356673295754e-06,False
62.168,0.5538859854581671,7.77279898827468e-07,2.355668224957897e-06,0.21999998694257047,-4.4357197026556605e-06,0.22,-4.245983790623965e-06,0.22,-4.245983790623965e-06,False
62.2,0.5626859849303575,7.965090629775445e-07,2.1806644250056465e-06,0.21999998681201052,-4.34899884993456e-06,0.22,-4.1222137991217016e-06,0.22,-4.245983790623965e-06,False
62.234,0.5670859846685201,8.055446147621179e-07,2.0944274498218512e-06,0.21999998690909525,-4.311848744720237e-06,0.1,0.4545370649128815,0.22,-4.1222137991217016e-06,True
62.268,0.5758859842518356,8.224829403356512e-07,1.925118297651523e-06,0.2199999923126536,-4.241104134550255e-06,0.1,0.45425936447874976,0.195,0.02499587778620088,False
62.302,0.583771214674728,6.06703170762328e-07,0.0009240582179115404,0.19500000508791884,0.024888092593755573,0.1,0.45425936447874976,0.195,0.02499587778620088,False
62.334,0.5874559183648398,1.2993730887452317e-06,0.0016434026806221344,0.1842350765001532,0.035967223448096775,0.22,-0.0010442821351534187,0.17,0.049995877786200876,True
62.368,0.5944411579620976,1.7030939506440813e-05,0.0034265891437096057,0.1792629326095981,0.03946701835957356,0.22,-0.004263562197313595,0.195,0.024995877786200875,False
62.4,0.5983411330582291,3.0022271578085495e-05,0.003916616197041483,0.19499982552601175,0.02450135252729524,0.22,-0.004263562197313595,0.22,-4.122213799126473e-06,False
62.434,0.6066264444974555,6.265213753402399e-05,0.00439142637734685,0.21926909564703415,-0.000578534218620419,0.22,-0.005096219685792813,0.22,-4.122213799126473e-06,False
62.468,0.6154263598468038,9.78767646151706e-05,0.004269534147558117,0.2199996465468817,-0.005320880734416278,0.1,0.4519987890494158,0.22,-0.005096219685792813,True
62.5,0.6240069681596078,0.0001301887714875569,0.004283211744828538,0.20903372150806393,0.006464179887188948,0.1,0.451044680472007,0.195,0.019903780314207187,False
62.534,0.6279069312380996,0.00014612869809714284,0.0046692667245506,0.1949997667203654,0.019302748660265934,0.1,0.451044680472007,0.17,0.04490378031420719,False
62.568,0.6350368118885699,0.00017912996355069568,0.00613109715950848,0.16999966376142991,0.04423473837960046,0.1,0.5361831669173625,0.17,0.04490378031420719,True
62.6,0.6383174583248028,0.00019785945673565878,0.0071594533157053174,0.16403491966879574,0.05141780784470029,0.22,-0.01041086221102204,0.14500000000000002,0.06990378031420719,True
62.634,0.6441172603354781,0.00024237182801213232,0.009919707198820914,0.14499917167527304,0.06892533565405756,0.22,-0.01631843334770415,0.17,0.044903780314207185,False
62.668,0.6508540259697674,0.00030995727531679993,0.0117211794799616,0.16999853963775796,0.0434902154665906,0.22,-0.01631843334770415,0.195,0.019903780314207184,False
