sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768112990,712407035,2.609665,2.617127,-1.500049,2.965642,-2.855933,1.473113,0.617386,-0.002159,-0.027721,0.000000,0.000000,0.000000,0.000000,0.027667,0.001496,0.027667,0.001496,0,25.200001,-0.000000,0.910000,1.043872,0.201113,9.555259,0.022237,-0.007457,0.005593,0.054063,0.027667,0.000000,0.033333,-0.033333,0.830000
1768112990,755245902,2.609665,2.617127,-1.500049,2.963406,-2.847078,1.472674,0.616203,0.007631,-0.028125,0.000000,0.000000,0.027667,0.001496,0.055333,0.002582,0.055333,0.002582,0,25.200001,-0.000000,0.910000,1.266533,0.021548,9.504981,0.019308,0.005859,-0.002530,0.046671,0.055333,0.000000,0.034829,-0.031838,0.830000
1768112990,766518902,2.609665,2.617127,-1.500049,2.963406,-2.847078,1.472674,0.616203,0.007631,-0.028125,0.000000,0.000000,0.055333,0.002582,0.083000,-0.001824,0.083000,-0.001824,0,25.200001,-0.000000,0.910000,1.180341,0.023942,9.536105,0.017976,-0.005193,-0.000266,-0.021982,0.083000,0.027667,0.035916,-0.030751,0.830000
1768112990,801692213,2.609665,2.617127,-1.500049,2.963406,-2.847078,1.472674,0.616203,0.007631,-0.028125,0.000000,0.000000,0.083000,-0.001824,0.110667,-0.002433,0.110667,-0.002433,0,25.200001,-0.000000,0.910000,1.204283,0.146046,9.655815,0.018109,-0.016112,0.004394,-0.021982,0.110667,0.055333,0.031509,-0.035158,0.830000
1768112990,835374839,2.609665,2.617127,-1.500049,2.963406,-2.847078,1.472674,0.616203,0.007631,-0.028125,0.000000,0.000000,0.110667,-0.002433,0.138333,-0.003041,0.138333,-0.003041,0,25.200001,-0.000000,0.910000,1.115698,0.011971,9.718065,0.013982,-0.013049,-0.005726,-0.021982,0.138333,0.083000,0.030901,-0.035766,0.830000
1768112990,868401807,2.609665,2.617127,-1.500049,2.961932,-2.855441,1.473105,0.613477,-0.001767,-0.027675,0.000000,0.000000,0.138333,-0.003041,0.166000,0.000000,0.166000,0.000000,0,25.200001,-0.000000,0.910000,1.599327,0.047884,8.291120,0.014514,-0.156194,0.008655,-0.000278,0.166000,0.110667,0.030293,-0.036374,0.830000
1768112990,922249914,2.609716,2.616400,-1.500316,2.961516,-2.854781,1.473372,0.613477,-0.001767,-0.027675,0.024091,0.000000,0.166000,0.000000,0.193667,0.010142,0.193667,0.010142,0,25.200001,-0.000000,0.910000,2.650381,0.354342,9.639056,0.053530,0.297076,-0.003595,0.052370,0.193667,0.138333,0.033333,-0.033333,0.830000
1768112990,943557956,2.609847,2.614549,-1.500316,2.968625,-2.847993,1.472762,0.625198,0.006944,-0.028573,0.066250,0.000000,0.193667,0.010142,0.221333,0.005730,0.221333,0.005730,0,25.200001,-0.000000,0.910000,2.566584,0.148441,9.222465,0.027031,-0.174703,-0.009321,0.025889,0.221333,0.166000,0.043476,-0.023191,0.830000
1768112990,958550778,2.609949,2.613095,-1.500316,2.967747,-2.847397,1.472998,0.625198,0.006944,-0.028573,0.066248,0.000000,0.221333,0.005730,0.249000,-0.004858,0.249000,-0.004858,0,25.200001,-0.000000,0.910000,2.633622,-0.138864,9.648633,0.018243,0.163651,-0.025034,-0.019510,0.249000,0.193667,0.039064,-0.027603,0.830000
1768112991,1869646,2.610233,2.609064,-1.500584,2.964310,-2.847222,1.473029,0.625198,0.006944,-0.028573,0.122563,0.013356,0.249000,-0.004858,0.276667,-0.005323,0.276667,-0.005323,0,25.200001,-0.000000,0.910000,1.142034,0.378284,9.612720,0.016245,-0.155529,0.005326,-0.019239,0.276667,0.221333,0.028475,-0.038191,0.830000
1768112991,24998807,2.610511,2.605099,-1.500584,2.960351,-2.846306,1.473361,0.625198,0.006944,-0.028573,0.159001,0.000000,0.276667,-0.005323,0.304333,-0.006023,0.304333,-0.006023,0,25.200001,-0.000000,0.910000,2.856283,-0.371101,10.137050,0.001065,-0.138351,0.007856,-0.019791,0.304333,0.249000,0.028010,-0.038656,0.830000
1768112991,78508567,2.610877,2.599878,-1.500851,2.957004,-2.850242,1.474043,0.625751,0.000842,-0.027624,0.165626,0.026712,0.304333,-0.006023,0.332000,0.009096,0.332000,0.009096,0,25.200001,-0.000000,0.910000,2.420538,0.313640,10.575189,-0.014914,-0.097871,-0.033023,0.027399,0.332000,0.276667,0.027310,-0.039356,0.830000
