sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768112242,3601582,0.188553,0.790274,-0.106329,0.464556,-0.831989,0.079074,0.589513,-0.029440,-0.027305,0.000000,0.000000,0.000000,0.000000,0.830000,-0.005204,0.027667,-0.005204,1,25.200001,-0.328000,0.920000,1.118092,0.306458,9.684546,0.018509,-0.002397,-0.003862,-0.006270,0.027667,0.000000,0.033333,-0.033333,0.830000
1768112242,36963197,0.188553,0.790274,-0.106329,0.464556,-0.831989,0.079074,0.589513,-0.029440,-0.027305,0.000000,0.000000,0.830000,-0.005204,0.830000,-0.005204,0.830000,-0.005204,0,25.200001,-0.328000,0.920000,1.151611,0.019154,9.629479,0.019042,-0.015713,-0.003995,-0.006270,0.830000,0.802333,0.028129,-0.038537,0.830000
1768112242,70358453,0.188553,0.790274,-0.106329,0.464556,-0.831989,0.079074,0.589513,-0.029440,-0.027305,0.000000,0.000000,0.830000,-0.005204,0.830000,-0.005204,0.830000,-0.005204,0,25.200001,-0.328000,0.920000,1.290475,0.117316,9.634267,0.022371,-0.012384,-0.003329,-0.006270,0.830000,0.802333,0.028129,-0.038537,0.830000
1768112242,93625103,0.188553,0.790274,-0.106329,0.464675,-0.831999,0.079197,0.589536,-0.029433,-0.027182,0.000000,0.000000,0.830000,-0.005204,0.830000,-0.005387,0.830000,-0.005387,0,25.200001,-0.328000,0.920000,1.201889,0.280122,9.794679,0.008522,-0.002264,0.000932,-0.006490,0.830000,0.802333,0.028129,-0.038537,0.830000
1768112242,137028856,0.188553,0.790274,-0.106329,0.464675,-0.831999,0.079197,0.589536,-0.029433,-0.027182,0.000000,0.000000,0.830000,-0.005387,0.830000,-0.005387,0.830000,-0.005387,0,25.200001,-0.328000,0.920000,0.684742,0.093374,9.514557,0.014381,0.006924,-0.004261,-0.006490,0.830000,0.802333,0.027946,-0.038720,0.830000
1768112242,171333546,0.188553,0.790274,-0.106329,0.464575,-0.831996,0.079197,0.589536,-0.029433,-0.027182,0.000000,0.000000,0.830000,-0.005387,0.830000,-0.005387,0.830000,-0.005387,0,25.200001,-0.301000,0.920000,1.951274,0.131681,8.034941,0.008256,-0.201335,0.006258,-0.006490,0.830000,0.802333,0.027946,-0.038720,0.830000
1768112242,193551066,0.189607,0.790161,-0.106863,0.464385,-0.831916,0.079729,0.589878,-0.029312,-0.027185,0.030113,0.024278,0.830000,-0.005387,0.830000,-0.005538,0.830000,-0.005538,0,25.200001,-0.301000,0.920000,4.086902,0.653617,10.773907,-0.008522,-0.374973,0.027164,-0.006672,0.830000,0.802333,0.027946,-0.038720,0.830000
1768112242,227760082,0.191780,0.789928,-0.107130,0.462097,-0.831897,0.080129,0.589878,-0.029312,-0.027185,0.086125,-0.026712,0.830000,-0.005538,0.830000,-0.005390,0.830000,-0.005390,0,25.200001,-0.301000,0.920000,3.560178,0.237026,9.085995,-0.001198,-0.116247,-0.008922,-0.006494,0.830000,0.802333,0.027796,-0.038871,0.830000
1768112242,280711648,0.194283,0.789658,-0.107665,0.459412,-0.831896,0.080797,0.589878,-0.029312,-0.027185,0.086125,-0.026712,0.830000,-0.005390,0.830000,-0.005331,0.830000,-0.005331,0,25.200001,-0.301000,0.920000,1.843535,0.083797,7.584831,-0.005992,-0.100002,-0.013715,-0.006423,0.830000,0.802333,0.027943,-0.038724,0.830000
1768112242,304125267,0.199421,0.789103,-0.107665,0.462889,-0.829882,0.081325,0.597514,-0.027365,-0.026559,0.145752,0.000000,0.830000,-0.005331,0.830000,-0.007753,0.830000,-0.007753,0,25.200001,-0.301000,0.920000,1.860295,0.500388,9.900024,-0.021172,-0.057791,-0.007989,-0.009341,0.830000,0.802333,0.028003,-0.038664,0.830000
1768112242,336977580,0.206271,0.788360,-0.108199,0.454501,-0.829685,0.081556,0.597514,-0.027365,-0.026559,0.198749,0.000000,0.830000,-0.007753,0.830000,-0.009232,0.830000,-0.009232,0,25.200001,-0.301000,0.920000,1.946486,0.090980,10.012551,0.006658,-0.069509,-0.002530,-0.011123,0.830000,0.802333,0.025580,-0.041086,0.830000
1768112242,380427828,0.212725,0.787658,-0.108733,0.450294,-0.829652,0.082191,0.597514,-0.027365,-0.026559,0.258375,-0.026712,0.830000,-0.009232,0.830000,-0.009003,0.830000,-0.009003,0,25.200001,-0.301000,0.920000,3.881001,0.459687,10.833763,-0.027963,0.014781,-0.003862,-0.010847,0.830000,0.802333,0.024101,-0.042565,0.830000
