sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768112841,316828146,0.886908,2.399136,-0.476457,0.873276,-2.539241,0.456277,0.611597,0.004854,-0.020470,0.000000,0.000000,0.000000,0.000000,0.830000,0.003654,0.027667,0.003654,1,25.200001,-0.000000,0.910000,1.094150,0.131681,9.617508,0.028895,-0.013715,-0.003196,0.004403,0.027667,0.000000,0.033333,-0.033333,0.830000
1768112841,341135971,0.886908,2.399136,-0.476457,0.873276,-2.539241,0.456277,0.611597,0.004854,-0.020470,0.000000,0.000000,0.830000,0.003654,0.830000,0.003654,0.830000,0.003654,0,25.200001,-0.000000,0.910000,1.034295,0.098162,9.588778,0.018642,-0.001198,-0.005992,0.004403,0.830000,0.802333,0.036987,-0.029679,0.830000
1768112841,383912079,0.886908,2.399136,-0.476457,0.873455,-2.535161,0.456587,0.610902,0.008814,-0.020216,0.000000,0.000000,0.830000,0.003654,0.830000,-0.021417,0.830000,-0.021417,0,25.200001,-0.000000,0.910000,1.108515,0.241814,9.607931,0.026898,-0.008922,-0.003329,-0.025804,0.830000,0.802333,0.036987,-0.029679,0.830000
1768112841,416833937,0.886908,2.399136,-0.476457,0.873455,-2.535161,0.456587,0.610902,0.008814,-0.020216,0.000000,0.000000,0.830000,-0.021417,0.830000,-0.024547,0.830000,-0.024547,0,25.200001,-0.000000,0.910000,1.019930,0.217872,9.536105,0.018775,-0.010786,0.002397,-0.029574,0.830000,0.802333,0.011916,-0.054751,0.830000
1768112841,460956150,0.886908,2.399136,-0.476457,0.873455,-2.535161,0.456587,0.610902,0.008814,-0.020216,0.000000,0.000000,0.830000,-0.024547,0.830000,-0.024547,0.830000,-0.024547,0,25.200001,-0.000000,0.910000,0.957681,0.105345,8.623914,0.016778,-0.013848,-0.002264,-0.029574,0.830000,0.802333,0.008787,-0.057880,0.830000
1768112841,493648723,0.887320,2.398923,-0.476724,0.874182,-2.537820,0.456401,0.613971,0.006215,-0.020477,0.023187,-0.013356,0.830000,-0.024547,0.830000,-0.006347,0.830000,-0.006347,0,25.200001,-0.000000,0.910000,3.672705,0.395043,10.125079,0.007723,-0.184557,0.008123,-0.007647,0.830000,0.802333,0.008787,-0.057880,0.830000
1768112841,537130128,0.888556,2.398285,-0.476457,0.873226,-2.537725,0.456642,0.613971,0.006215,-0.020477,0.066252,0.053424,0.830000,-0.006347,0.830000,-0.006671,0.830000,-0.006671,0,25.200001,-0.000000,0.910000,3.823540,0.316035,10.867281,-0.004394,0.028895,-0.032224,-0.008037,0.830000,0.802333,0.026987,-0.039680,0.830000
1768112841,548515467,0.890557,2.397251,-0.476991,0.872960,-2.537599,0.457034,0.613971,0.006215,-0.020477,0.086125,-0.026712,0.830000,-0.006671,0.830000,-0.006399,0.830000,-0.006399,0,25.200001,-0.000000,0.910000,3.143587,0.385466,10.060435,0.059655,0.222374,-0.056858,-0.007710,0.830000,0.802333,0.026663,-0.040004,0.830000
1768112841,573362491,0.893264,2.395851,-0.477525,0.875818,-2.535937,0.457725,0.619988,0.007598,-0.020786,0.112625,-0.026705,0.830000,-0.006399,0.830000,-0.017157,0.830000,-0.017157,0,25.200001,-0.000000,0.910000,2.863465,0.296881,8.817845,0.021838,0.006658,-0.032091,-0.020671,0.830000,0.802333,0.026934,-0.039732,0.830000
1768112841,616859425,0.898206,2.393292,-0.478060,0.872652,-2.535843,0.457819,0.619988,0.007598,-0.020786,0.152373,-0.026712,0.830000,-0.017157,0.830000,-0.017039,0.830000,-0.017039,0,25.200001,-0.000000,0.910000,-0.414197,0.203507,8.564059,-0.007723,0.087352,-0.024102,-0.020529,0.830000,0.802333,0.016177,-0.050490,0.830000
