sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768115616,232331548,2.723534,0.906197,-2.347143,4.750097,-1.839078,2.336113,2.211470,-0.503395,-0.010819,0.000000,0.000000,0.000000,0.000000,0.027667,0.000813,0.027667,0.000813,0,25.200001,-0.289000,0.860000,0.988805,0.304064,9.447520,0.010519,-0.007723,-0.000533,0.029372,0.027667,0.000000,0.033333,-0.033333,0.830000
1768115616,255332876,2.723534,0.906197,-2.347143,4.750097,-1.839078,2.336113,2.211470,-0.503395,-0.010819,0.000000,0.000000,0.027667,0.000813,0.055333,0.000716,0.055333,0.000716,0,25.200001,-0.289000,0.860000,1.323994,-0.062249,9.576807,0.030493,-0.007856,-0.000666,0.012936,0.055333,0.000000,0.034146,-0.032521,0.830000
1768115616,289145819,2.723534,0.906197,-2.347143,4.750097,-1.839078,2.336113,2.211470,-0.503395,-0.010819,0.000000,0.000000,0.055333,0.000716,0.083000,0.001074,0.083000,0.001074,0,25.200001,-0.290000,0.860000,1.321599,0.114922,9.586383,0.021305,-0.008522,-0.002264,0.012936,0.083000,0.027667,0.034049,-0.032618,0.830000
1768115616,342454222,2.723534,0.906197,-2.347143,4.743694,-1.841957,2.335264,2.205858,-0.503905,-0.011754,0.000000,0.000000,0.083000,0.001074,0.110667,0.001589,0.110667,0.001589,0,25.200001,-0.290000,0.860000,0.792481,0.069432,8.868123,0.023036,0.059255,-0.008922,0.014354,0.110667,0.055333,0.034407,-0.032260,0.830000
1768115616,373828582,2.723534,0.906197,-2.347143,4.743786,-1.841560,2.335420,2.205858,-0.503905,-0.011754,0.000000,0.000000,0.110667,0.001589,0.138333,0.003023,0.138333,0.003023,0,25.200001,-0.290000,0.860000,1.941698,-0.033519,9.052476,-0.000133,-0.217314,0.015180,0.021850,0.138333,0.083000,0.034922,-0.031745,0.830000
1768115616,415350400,2.722652,0.905299,-2.346876,4.741940,-1.841937,2.335264,2.205858,-0.503905,-0.011754,0.046375,0.026712,0.138333,0.003023,0.166000,0.003621,0.166000,0.003621,0,25.200001,-0.290000,0.860000,3.952827,0.457293,10.915165,0.029961,0.039548,0.016378,0.021815,0.166000,0.110667,0.036356,-0.030311,0.830000
1768115616,426583576,2.721584,0.904212,-2.347143,4.740863,-1.841599,2.335391,2.205858,-0.503905,-0.011754,0.066252,0.000000,0.166000,0.003621,0.193667,0.004216,0.193667,0.004216,0,25.200001,-0.290000,0.860000,1.908179,0.418985,10.524910,0.059921,0.214651,-0.034887,0.021770,0.193667,0.138333,0.036955,-0.029712,0.830000
1768115616,446027630,2.721259,0.903881,-2.347410,4.746118,-1.840992,2.335829,2.211755,-0.504706,-0.011345,0.046375,-0.026712,0.193667,0.004216,0.221333,0.005291,0.221333,0.005291,0,25.200001,-0.290000,0.860000,1.381454,0.217872,9.358934,0.009987,0.202800,-0.035420,0.023904,0.221333,0.166000,0.037550,-0.029117,0.830000
1768115616,498839922,2.719866,0.902463,-2.347410,4.740901,-1.842294,2.335295,2.211755,-0.504706,-0.011345,0.053001,0.000000,0.221333,0.005291,0.249000,0.006371,0.249000,0.006371,0,25.200001,-0.290000,0.860000,2.786851,-0.526724,10.388441,-0.011718,0.077232,0.045940,0.025588,0.249000,0.193667,0.038624,-0.028043,0.830000
1768115616,532178102,2.715224,0.897736,-2.346876,4.739308,-1.837216,2.336855,2.212498,-0.503709,-0.009881,0.119249,0.000000,0.249000,0.006371,0.276667,0.005272,0.276667,0.005272,0,25.200001,-0.290000,0.860000,3.485958,0.064643,9.739612,-0.012517,-0.256729,0.036885,0.019054,0.276667,0.221333,0.039705,-0.026962,0.830000
1768115616,575888361,2.713043,0.895514,-2.347143,4.734287,-1.836198,2.337236,2.212498,-0.503709,-0.009881,0.145752,0.000000,0.276667,0.005272,0.304333,0.003808,0.304333,0.003808,0,25.200001,-0.313000,0.860000,1.422156,-0.289698,9.454702,0.050201,0.133291,-0.059921,0.012511,0.304333,0.249000,0.038605,-0.028062,0.830000
1768115616,587258846,2.709468,0.891875,-2.347410,4.731620,-1.836172,2.337236,2.212498,-0.503709,-0.009881,0.185501,0.000000,0.304333,0.003808,0.332000,0.004200,0.332000,0.004200,0,25.200001,-0.313000,0.860000,1.340753,-0.009577,9.255984,0.048203,0.022371,-0.028629,0.012651,0.332000,0.276667,0.037141,-0.029526,0.830000
1768115616,622223422,2.703850,0.886156,-2.347143,4.741004,-1.829802,2.337923,2.230223,-0.499118,-0.009177,0.212000,0.000000,0.332000,0.004200,0.359667,-0.000535,0.359667,-0.000535,0,25.200001,-0.313000,0.860000,1.984793,0.387861,10.371682,0.029428,-0.090947,0.009587,-0.001487,0.359667,0.304333,0.037533,-0.029133,0.830000
1768115616,655513081,2.698882,0.881100,-2.347410,4.735839,-1.829587,2.337989,2.230223,-0.499118,-0.009177,0.238500,0.000000,0.359667,-0.000535,0.387333,-0.011364,0.387333,-0.011364,0,25.200001,-0.313000,0.860000,1.683124,0.414197,8.772355,-0.000666,-0.010786,-0.002929,-0.029338,0.387333,0.332000,0.032798,-0.033868,0.830000
1768115616,688649292,2.693169,0.875289,-2.347677,4.726704,-1.828492,2.338390,2.230223,-0.499118,-0.009177,0.298126,0.026712,0.387333,-0.011364,0.415000,-0.012106,0.415000,-0.012106,0,25.200001,-0.313000,0.860000,3.177106,-0.002394,9.933543,0.065114,0.225437,-0.024901,-0.029171,0.415000,0.359667,0.021970,-0.044697,0.830000
1768115616,742311811,2.684713,0.866694,-2.348212,4.736878,-1.824769,2.338761,2.254261,-0.496537,-0.008936,0.318000,0.000000,0.415000,-0.012106,0.442667,-0.012447,0.442667,-0.012447,0,25.200001,-0.313000,0.860000,2.583344,0.205901,10.177751,-0.037417,-0.002929,0.004394,-0.028118,0.442667,0.387333,0.021227,-0.045439,0.830000
1768115616,763390506,2.675232,0.857062,-2.348212,4.725795,-1.823337,2.339295,2.254261,-0.496537,-0.008936,0.351125,0.026712,0.442667,-0.012447,0.470333,-0.018507,0.470333,-0.018507,0,25.200001,-0.313000,0.860000,0.883460,0.359130,9.959879,0.013582,0.036352,-0.003196,-0.039348,0.470333,0.415000,0.020886,-0.045780,0.830000
1768115616,789194310,2.669979,0.851729,-2.348479,4.717851,-1.822275,2.339695,2.254261,-0.496537,-0.008936,0.390874,0.026718,0.470333,-0.018507,0.498000,-0.016106,0.498000,-0.016106,0,25.200001,-0.638000,0.860000,2.643199,0.464475,10.251972,0.041279,-0.061785,-0.021039,-0.032342,0.498000,0.442667,0.014827,-0.051840,0.830000
1768115616,822568318,2.661981,0.843613,-2.349547,4.709775,-1.820713,2.340297,2.254261,-0.496537,-0.008936,0.390874,-0.080142,0.498000,-0.016106,0.525667,-0.016615,0.525667,-0.016615,0,25.200001,-0.638000,0.860000,2.585738,0.148441,8.303091,0.002264,-0.078031,-0.006125,-0.031608,0.525667,0.470333,0.017227,-0.049439,0.830000
1768115616,845412190,2.650209,0.831681,-2.349815,4.716777,-1.820586,2.340566,2.279158,-0.497090,-0.008843,0.410749,-0.053433,0.525667,-0.016615,0.553333,-0.015097,0.553333,-0.015097,0,25.200001,-0.638000,0.860000,1.781286,-0.186748,11.130644,0.004794,-0.042344,-0.010519,-0.027283,0.553333,0.498000,0.016718,-0.049948,0.830000
1768115616,898926471,2.640993,0.822346,-2.350349,4.702348,-1.818067,2.341545,2.279158,-0.497090,-0.008843,0.450499,-0.053424,0.553333,-0.015097,0.581000,-0.012882,0.581000,-0.012882,0,25.200001,-0.638000,0.860000,2.908955,-0.203507,9.143456,-0.053929,-0.014781,-0.014514,-0.022173,0.581000,0.525667,0.018237,-0.048430,0.830000
