sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768114747,924828366,3.028471,1.017563,-2.281166,4.843030,-2.163582,2.269568,2.117178,-0.499888,-0.011490,0.000000,0.000000,0.000000,0.000000,0.830000,0.000294,0.027667,0.000294,1,25.200001,-0.292000,0.880000,1.333570,-0.198719,9.519346,0.028496,0.000266,-0.001065,0.000354,0.027667,0.000000,0.033333,-0.033333,0.830000
1768114747,978535948,3.028471,1.017563,-2.281166,4.843030,-2.163582,2.269568,2.117178,-0.499888,-0.011490,0.000000,0.000000,0.830000,0.000294,0.830000,0.000021,0.830000,0.000021,0,25.200001,-0.290000,0.880000,1.098939,0.090980,9.610325,0.024901,-0.013982,0.004527,0.000026,0.830000,0.802333,0.033627,-0.033040,0.830000
1768114748,1333242,3.028471,1.017563,-2.281166,4.843030,-2.163582,2.269568,2.117178,-0.499888,-0.011490,0.000000,0.000000,0.830000,0.000021,0.830000,0.000021,0.830000,0.000021,0,25.200001,-0.290000,0.880000,1.177947,0.122104,9.636662,0.015713,-0.009188,-0.007057,0.000026,0.830000,0.802333,0.033355,-0.033312,0.830000
1768114748,54748544,3.028471,1.017563,-2.281166,4.843636,-2.164759,2.269332,2.118173,-0.500406,-0.011733,0.000000,0.000000,0.830000,0.000021,0.830000,0.000945,0.830000,0.000945,0,25.200001,-0.290000,0.880000,0.617704,0.248997,8.995016,0.025167,0.056725,-0.011585,0.001138,0.830000,0.802333,0.033355,-0.033312,0.830000
1768114748,66514590,3.028471,1.017563,-2.281166,4.843572,-2.164758,2.269332,2.118173,-0.500406,-0.011733,0.000000,0.000000,0.830000,0.000945,0.830000,0.000945,0.830000,0.000945,0,25.200001,-0.290000,0.880000,0.775721,0.026336,8.322245,0.019574,-0.111720,-0.003862,0.001138,0.830000,0.802333,0.034278,-0.032389,0.830000
1768114748,111679729,3.028039,1.017061,-2.281166,4.842802,-2.163283,2.269866,2.118173,-0.500406,-0.011733,0.026499,0.000000,0.830000,0.000945,0.830000,0.000783,0.830000,0.000783,0,25.200001,-0.290000,0.880000,4.740519,0.035913,10.151415,-0.003995,0.013316,0.021971,0.000944,0.830000,0.802333,0.034278,-0.032389,0.830000
1768114748,134866884,3.026397,1.015153,-2.281700,4.843852,-2.161729,2.269937,2.121111,-0.499229,-0.011542,0.092750,0.000000,0.830000,0.000783,0.830000,-0.000471,0.830000,-0.000471,0,25.200001,-0.290000,0.880000,4.819528,-0.059855,9.816227,-0.030760,-0.011318,0.011185,-0.000568,0.830000,0.802333,0.034117,-0.032550,0.830000
1768114748,168238806,3.025143,1.013697,-2.281433,4.841417,-2.161710,2.269934,2.121111,-0.499229,-0.011542,0.092750,0.000000,0.830000,-0.000471,0.830000,-0.000990,0.830000,-0.000990,0,25.200001,-0.290000,0.880000,0.440533,-0.057461,7.960721,0.040347,0.130495,-0.044475,-0.001193,0.830000,0.802333,0.032862,-0.033804,0.830000
1768114748,191471898,3.023025,1.011237,-2.281700,4.839027,-2.161500,2.270001,2.121111,-0.499229,-0.011542,0.119250,0.000000,0.830000,-0.000990,0.830000,-0.000882,0.830000,-0.000882,0,25.200001,-0.290000,0.880000,1.795651,-0.119710,10.156203,0.022504,-0.212653,-0.023702,-0.001063,0.830000,0.802333,0.032343,-0.034323,0.830000
1768114748,224755812,3.019177,1.006769,-2.281967,4.832631,-2.160696,2.270268,2.121111,-0.499229,-0.011542,0.155688,-0.013357,0.830000,-0.000882,0.830000,-0.000763,0.830000,-0.000763,0,25.200001,-0.403000,0.880000,0.909797,-0.090980,8.494627,0.035287,0.234624,0.005992,-0.000920,0.830000,0.802333,0.032451,-0.034215,0.830000
