sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768114271,228319396,-3.501333,-2.360711,1.126145,4.195967,-2.137353,-1.129743,0.567960,0.022224,-0.004021,0.000000,0.000000,0.000000,0.000000,0.027667,0.000791,0.027667,0.000791,0,25.200001,-0.288000,0.890000,1.295263,0.354342,9.639056,0.010653,0.004261,-0.001864,0.028596,0.027667,0.000000,0.033333,-0.033333,0.830000
1768114271,262034589,-3.501333,-2.360711,1.126145,4.196462,-2.136412,-1.129483,0.567960,0.022224,-0.004021,0.000000,0.000000,0.027667,0.000791,0.055333,0.001568,0.055333,0.001568,0,25.200001,-0.284000,0.890000,1.264138,0.280122,9.686940,0.013582,-0.013582,-0.000399,0.028342,0.055333,0.000000,0.034124,-0.032542,0.830000
1768114271,295116406,-3.501304,-2.360651,1.125878,4.196372,-2.136583,-1.129531,0.567960,0.022224,-0.004021,0.000000,0.000000,0.055333,0.001568,0.083000,0.002389,0.083000,0.002389,0,25.200001,-0.284000,0.890000,1.132457,0.160412,9.722853,0.019175,-0.014781,-0.000399,0.028786,0.083000,0.027667,0.034902,-0.031765,0.830000
1768114271,318840790,-3.501333,-2.360711,1.126145,4.204599,-2.130872,-1.127195,0.571646,0.019223,-0.001378,0.000000,0.000000,0.083000,0.002389,0.110667,0.004505,0.110667,0.004505,0,25.200001,-0.284000,0.890000,0.955286,0.481235,9.679757,0.016378,-0.010786,0.002663,0.040709,0.110667,0.055333,0.035723,-0.030944,0.830000
1768114271,371781064,-3.501333,-2.360711,1.126145,4.204544,-2.130872,-1.127195,0.571646,0.019223,-0.001378,0.000000,0.000000,0.110667,0.004505,0.138333,0.005631,0.138333,0.005631,0,25.200001,-0.284000,0.890000,0.833182,-0.004788,8.695740,0.023569,-0.033689,-0.004794,0.040709,0.138333,0.083000,0.037838,-0.028828,0.830000
1768114271,395349976,-3.501219,-2.360472,1.126145,4.204208,-2.130871,-1.127195,0.571646,0.019223,-0.001378,0.024091,0.000000,0.138333,0.005631,0.166000,0.006758,0.166000,0.006758,0,25.200001,-0.284000,0.890000,3.224990,0.122104,9.835380,-0.004394,-0.164717,0.024901,0.040709,0.166000,0.110667,0.038965,-0.027702,0.830000
1768114271,418206527,-3.500820,-2.359634,1.126145,4.192295,-2.144421,-1.131016,0.568488,0.019723,-0.005538,0.039749,0.000000,0.166000,0.006758,0.193667,0.010670,0.193667,0.010670,0,25.200001,-0.284000,0.890000,3.567360,0.514753,10.338163,0.024235,-0.084555,0.016112,0.055094,0.193667,0.138333,0.040091,-0.026576,0.830000
1768114271,452470961,-3.500079,-2.358080,1.126145,4.190151,-2.145137,-1.131216,0.568488,0.019723,-0.005538,0.066250,0.000000,0.193667,0.010670,0.221333,0.012141,0.221333,0.012141,0,25.200001,-0.284000,0.890000,2.758120,-0.023942,8.492233,0.022903,0.193745,-0.034887,0.054852,0.221333,0.166000,0.044003,-0.022663,0.830000
1768114271,485005241,-3.498624,-2.355030,1.125344,4.187456,-2.143131,-1.130668,0.568488,0.019723,-0.005538,0.112625,-0.026715,0.221333,0.012141,0.249000,0.013918,0.249000,0.013918,0,25.200001,-0.284000,0.890000,1.963245,0.052672,10.448296,0.034222,0.032357,-0.034355,0.055895,0.249000,0.193667,0.045474,-0.021193,0.830000
1768114271,528377872,-3.496542,-2.350665,1.125611,4.200607,-2.131475,-1.127208,0.579337,0.018670,-0.001875,0.139125,-0.026713,0.249000,0.013918,0.276667,0.013124,0.276667,0.013124,0,25.200001,-0.289000,0.890000,2.655170,-0.004788,8.690952,-0.006258,-0.256462,0.002397,0.047435,0.276667,0.221333,0.047251,-0.019416,0.830000
1768114271,561690529,-3.494373,-2.346121,1.125611,4.193660,-2.130545,-1.126956,0.579337,0.018670,-0.001875,0.172250,0.053427,0.276667,0.013124,0.304333,0.014016,0.304333,0.014016,0,25.200001,-0.289000,0.890000,1.798045,0.517148,10.072406,0.023170,-0.068976,-0.018642,0.046054,0.304333,0.249000,0.046457,-0.020210,0.830000
1768114271,615429862,-3.490720,-2.338468,1.125611,4.196118,-2.132443,-1.128088,0.594823,0.020938,-0.003290,0.238500,0.053427,0.304333,0.014016,0.332000,0.015506,0.332000,0.015506,0,25.200001,-0.289000,0.890000,-0.658405,0.208296,9.117120,0.064715,0.332496,-0.046073,0.046705,0.332000,0.276667,0.047349,-0.019317,0.830000
1768114271,636991118,-3.487807,-2.332371,1.124542,4.188589,-2.129990,-1.127415,0.594823,0.020938,-0.003290,0.231875,-0.080142,0.332000,0.015506,0.359667,0.012810,0.359667,0.012810,0,25.200001,-0.289000,0.890000,0.385466,-0.251391,9.318233,0.009188,-0.288420,-0.007590,0.035615,0.359667,0.304333,0.048839,-0.017827,0.830000
1768114271,661752965,-3.484407,-2.325258,1.124275,4.184156,-2.131963,-1.127967,0.594823,0.020938,-0.003290,0.258375,-0.080141,0.359667,0.012810,0.387333,0.013719,0.387333,0.013719,0,25.200001,-0.289000,0.890000,1.529895,-0.701501,9.708488,0.031292,0.174038,-0.000266,0.035419,0.387333,0.332000,0.046143,-0.020524,0.830000
1768114271,695058288,-3.479489,-2.314979,1.124810,4.175286,-2.130848,-1.127666,0.594823,0.020938,-0.003290,0.311375,0.080142,0.387333,0.013719,0.415000,0.012623,0.415000,0.012623,0,25.200001,-0.289000,0.890000,2.092532,0.196325,11.252748,0.038483,-0.201202,0.009321,0.030417,0.415000,0.359667,0.047052,-0.019614,0.830000
1768114271,729110387,-3.475484,-2.306613,1.124275,4.182387,-2.129338,-1.127398,0.611751,0.021247,-0.003612,0.324625,0.026713,0.415000,0.012623,0.442667,0.012507,0.442667,0.012507,0,25.200001,-0.289000,0.890000,1.824382,0.624887,9.885659,0.013316,0.061918,-0.003862,0.028253,0.442667,0.387333,0.045956,-0.020710,0.830000
