sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768113226,460884695,3.876283,2.044090,-1.943505,3.918608,-2.891333,1.936447,0.625260,-0.001087,-0.007587,0.000000,0.000000,0.000000,0.000000,0.830000,-0.000651,0.027667,-0.000651,1,25.200001,-0.000000,0.910000,1.256956,-0.035913,9.516952,0.016778,0.002397,0.002796,-0.000784,0.027667,0.000000,0.033333,-0.033333,0.830000
1768113226,493833183,3.876283,2.044090,-1.943505,3.918608,-2.891333,1.936447,0.625260,-0.001087,-0.007587,0.000000,0.000000,0.830000,-0.000651,0.830000,-0.000752,0.830000,-0.000752,0,25.200001,-0.000000,0.910000,1.120486,0.136469,9.698911,0.017311,-0.013982,0.001332,-0.000906,0.830000,0.802333,0.032682,-0.033984,0.830000
1768113226,537350132,3.876283,2.044090,-1.943505,3.918608,-2.891333,1.936447,0.625260,-0.001087,-0.007587,0.000000,0.000000,0.830000,-0.000752,0.830000,-0.000752,0.830000,-0.000752,0,25.200001,-0.000000,0.910000,1.249773,0.122104,9.490615,0.024634,-0.002264,0.000266,-0.000906,0.830000,0.802333,0.032582,-0.034085,0.830000
1768113226,560452660,3.876283,2.044090,-1.943505,3.916728,-2.892110,1.936902,0.621803,-0.003541,-0.007046,0.000000,0.000000,0.830000,-0.000752,0.830000,-0.000752,0.830000,-0.000752,0,25.200001,-0.000000,0.910000,1.197101,-0.131681,9.461885,0.026498,-0.002530,-0.006258,-0.000906,0.830000,0.802333,0.032582,-0.034085,0.830000
1768113226,624463559,3.876283,2.044090,-1.943505,3.916717,-2.892110,1.936902,0.621803,-0.003541,-0.007046,0.000000,0.000000,0.830000,-0.000752,0.830000,0.001621,0.830000,0.001621,0,25.200001,-0.000000,0.910000,1.941698,-0.045490,8.226477,0.000666,-0.200270,0.014914,0.001954,0.830000,0.802333,0.032582,-0.034085,0.830000
1768113226,656752440,3.875993,2.043350,-1.943505,3.914791,-2.891388,1.937040,0.621621,-0.003310,-0.007162,0.039749,0.000000,0.830000,0.001621,0.830000,0.001580,0.830000,0.001580,0,25.200001,-0.000000,0.910000,4.256891,0.181959,10.534487,-0.003728,-0.052198,0.026232,0.001903,0.830000,0.802333,0.034955,-0.031712,0.830000
1768113226,699979240,3.875486,2.042054,-1.943772,3.913006,-2.891315,1.937059,0.621621,-0.003310,-0.007162,0.039750,0.000000,0.830000,0.001580,0.830000,0.001495,0.830000,0.001495,0,25.200001,-0.000000,0.910000,2.980781,0.318429,10.235212,0.023702,0.073370,-0.031425,0.001801,0.830000,0.802333,0.034913,-0.031754,0.830000
1768113226,711056738,3.874593,2.039771,-1.944039,3.911939,-2.890483,1.937307,0.621621,-0.003310,-0.007162,0.072875,-0.026715,0.830000,0.001495,0.830000,0.001640,0.830000,0.001640,0,25.200001,-0.000000,0.910000,2.698265,-0.019154,8.734048,0.039814,0.282295,-0.028496,0.001976,0.830000,0.802333,0.034828,-0.031839,0.830000
1768113226,732135414,3.873482,2.036933,-1.944039,3.908761,-2.890968,1.937154,0.621621,-0.003310,-0.007162,0.132500,0.000000,0.830000,0.001640,0.830000,0.001585,0.830000,0.001585,0,25.200001,-0.000000,0.910000,2.013524,0.294487,7.764396,-0.011185,-0.061253,-0.010786,0.001910,0.830000,0.802333,0.034973,-0.031693,0.830000
1768113226,771019263,3.872492,2.034404,-1.943772,3.913141,-2.888101,1.937381,0.630916,-0.000999,-0.006944,0.132500,0.000000,0.830000,0.001585,0.830000,-0.001980,0.830000,-0.001980,0,25.200001,-0.000000,0.910000,1.561019,0.129287,9.703699,0.037018,-0.049002,-0.002530,-0.002385,0.830000,0.802333,0.034918,-0.031748,0.830000
