sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1767001520,675774905,5.117826,9.625900,-1.346236,8.027597,-7.215731,1.324269,-0.058327,0.096445,-0.021967,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,0.016667,0.000000,0,25.200001,-0.000000,0.920000,0.545878,0.304064,9.133879,0.011851,0.003728,-0.000266,0.000000,0.016667,0.000000,0.033333,-0.033333,0.500000
1767001520,708875781,5.117826,9.625900,-1.346236,8.027597,-7.215731,1.324269,-0.058327,0.096445,-0.021967,0.000000,0.000000,0.016667,0.000000,0.033333,0.000000,0.033333,0.000000,0,25.200001,-0.000000,0.920000,1.632846,0.244209,9.892841,0.041013,-0.018642,-0.003196,0.000000,0.033333,0.000000,0.033333,-0.033333,0.500000
1767001520,742215240,5.117826,9.625900,-1.346236,8.027597,-7.215731,1.324269,-0.058327,0.096445,-0.021967,0.000000,0.000000,0.033333,0.000000,0.050000,0.000000,0.050000,0.000000,0,25.200001,-0.000000,0.920000,0.967257,0.162806,9.440337,0.014514,-0.027164,0.000000,0.000000,0.050000,0.016667,0.033333,-0.033333,0.500000
1767001520,775908246,5.117826,9.625900,-1.346236,8.027597,-7.215731,1.324269,-0.058327,0.096445,-0.021967,0.000000,0.000000,0.050000,0.000000,0.066667,0.000000,0.066667,0.000000,0,25.200001,-0.000000,0.920000,0.998382,0.055067,9.390059,0.009854,0.008123,0.000266,0.000000,0.066667,0.033333,0.033333,-0.033333,0.500000
1767001520,809304551,5.117826,9.625900,-1.346236,8.027597,-7.215731,1.324269,-0.058327,0.096445,-0.021967,0.000000,0.000000,0.066667,0.000000,0.083333,0.000000,0.083333,0.000000,0,25.200001,-0.000000,0.920000,1.106121,-0.007183,8.978256,0.050201,0.091346,-0.003862,0.000000,0.083333,0.050000,0.033333,-0.033333,0.500000
1767001520,842717546,5.118018,9.625060,-1.345969,8.027597,-7.215731,1.324269,-0.057466,0.096427,-0.021700,0.019876,-0.026715,0.083333,0.000000,0.100000,-0.000179,0.100000,-0.000179,0,25.200001,-0.000000,0.920000,2.396596,0.023942,10.500968,-0.015713,-0.299339,0.020107,-0.001787,0.100000,0.066667,0.033333,-0.033333,0.500000
1767001520,875595258,5.118255,9.624027,-1.345969,8.027597,-7.215731,1.324269,-0.056406,0.096404,-0.021700,0.053000,0.000000,0.100000,-0.000179,0.116667,-0.000209,0.116667,-0.000209,0,25.200001,-0.000000,0.920000,2.494758,-0.009577,9.162610,0.007457,0.055926,0.007324,-0.001794,0.116667,0.083333,0.033155,-0.033512,0.500000
1767001520,908918407,5.118712,9.622025,-1.346236,8.027597,-7.215731,1.324269,-0.054353,0.096359,-0.021967,0.058888,0.000000,0.116667,-0.000209,0.133333,0.000000,0.133333,0.000000,0,25.200001,-0.000000,0.920000,2.521094,-0.033519,9.689334,0.077099,-0.094942,-0.030094,-0.000024,0.133333,0.100000,0.033124,-0.033543,0.500000
1767001520,942568493,5.119200,9.619894,-1.345969,8.027597,-7.215731,1.324269,-0.052167,0.096312,-0.021700,0.092750,0.000000,0.133333,0.000000,0.150000,-0.000272,0.150000,-0.000272,0,25.200001,-0.000000,0.920000,0.584185,0.270545,8.779537,0.033955,-0.075634,-0.008522,-0.001813,0.150000,0.116667,0.033333,-0.033333,0.500000
1767001520,975537925,5.119791,9.617310,-1.345969,8.027597,-7.215731,1.324269,-0.049518,0.096254,-0.021700,0.092750,0.000000,0.150000,-0.000272,0.166667,-0.000306,0.166667,-0.000306,0,25.200001,-0.000000,0.920000,1.711854,0.090980,9.837775,-0.008389,-0.098803,0.021305,-0.001834,0.166667,0.133333,0.033061,-0.033605,0.500000
1767001521,9373675,5.120839,9.612725,-1.346236,8.027597,-7.215731,1.324269,-0.044815,0.096152,-0.021967,0.145751,0.000000,0.166667,-0.000306,0.183333,0.000000,0.183333,0.000000,0,25.200001,-0.000000,0.920000,1.654393,-0.067038,10.603919,0.027963,-0.100002,0.003063,-0.000066,0.183333,0.150000,0.033028,-0.033639,0.500000
1767001521,42605355,5.121782,9.608591,-1.346236,8.027597,-7.215731,1.324269,-0.040576,0.096058,-0.021967,0.165624,0.026718,0.183333,0.000000,0.200000,0.000000,0.200000,0.000000,0,25.200001,-0.000000,0.920000,1.915361,-0.332794,10.350134,-0.006924,0.049668,-0.000533,-0.000058,0.200000,0.166667,0.033333,-0.033333,0.500000
1767001521,75571621,5.123109,9.602778,-1.346770,8.027597,-7.215731,1.324269,-0.034615,0.095926,-0.022501,0.172249,-0.053427,0.200000,0.000000,0.216667,0.000767,0.216667,0.000767,0,25.200001,-0.000000,0.920000,0.770933,0.397437,8.712500,0.014381,-0.066712,0.001731,0.003538,0.216667,0.183333,0.033333,-0.033333,0.500000
1767001521,108863512,5.124652,9.595995,-1.346503,8.027597,-7.215731,1.324269,-0.027661,0.095767,-0.022234,0.205376,0.080148,0.216667,0.000767,0.233333,0.000439,0.233333,0.000439,0,25.200001,-0.134000,0.920000,1.223437,0.100556,9.859322,0.021172,-0.107991,0.000799,0.001879,0.233333,0.200000,0.034100,-0.032567,0.500000
1767001521,142424022,5.125947,9.590311,-1.347037,8.027597,-7.215731,1.324269,-0.021832,0.095635,-0.022769,0.212000,0.000000,0.233333,0.000439,0.250000,0.001381,0.250000,0.001381,0,25.200001,-0.134000,0.920000,1.932121,-0.110133,10.678139,-0.045141,-0.028762,0.030360,0.005524,0.250000,0.216667,0.033772,-0.032895,0.500000
1767001521,175802884,5.127358,9.584109,-1.347038,8.027597,-7.215731,1.324269,-0.015474,0.095491,-0.022769,0.225251,0.000000,0.250000,0.001381,0.266667,0.001427,0.266667,0.001427,0,25.200001,-0.134000,0.920000,1.754950,0.196325,8.602367,0.102265,0.024368,-0.022903,0.005350,0.266667,0.233333,0.034714,-0.031952,0.500000
1767001521,208879435,5.129340,9.575388,-1.347305,8.063669,-7.178902,1.329328,-0.006532,0.095285,-0.023036,0.231875,0.000000,0.266667,0.001427,0.283333,0.001987,0.283333,0.001987,0,25.200001,-0.134000,0.920000,2.501941,0.215478,8.997410,0.096939,-0.058989,-0.023835,0.007012,0.283333,0.250000,0.034760,-0.031907,0.500000
1767001521,242248179,5.130984,9.568152,-1.347305,8.063669,-7.178902,1.329328,0.000886,0.095113,-0.023036,0.218627,0.026718,0.283333,0.001987,0.300000,0.002299,0.300000,0.002299,0,25.200001,-0.134000,0.920000,1.817199,0.418985,8.585607,0.050467,-0.070973,0.002264,0.007662,0.300000,0.266667,0.035320,-0.031347,0.500000
1767001521,275621311,5.132817,9.560076,-1.347572,8.063669,-7.178902,1.329328,0.009165,0.094919,-0.023303,0.265001,0.000000,0.300000,0.002299,0.316667,0.002479,0.316667,0.002479,0,25.200001,-0.134000,0.920000,1.426944,0.600945,9.921572,-0.017710,-0.076166,-0.003196,0.007830,0.316667,0.283333,0.035632,-0.031035,0.500000
1767001521,309303737,5.134075,9.554520,-1.348106,8.063669,-7.178902,1.329328,0.014861,0.094783,-0.023837,0.324624,0.026709,0.316667,0.002479,0.333333,0.002918,0.333333,0.002918,0,25.200001,-0.134000,0.920000,2.111686,-0.011971,10.266337,0.046073,-0.022104,-0.023436,0.008753,0.333333,0.300000,0.035813,-0.030854,0.500000
1767001521,342608742,5.136750,9.542695,-1.348373,8.063669,-7.178902,1.329328,0.026981,0.094492,-0.024104,0.311375,0.026712,0.333333,0.002918,0.350000,0.003725,0.350000,0.003725,0,25.200001,-0.134000,0.920000,1.486799,0.186748,8.753201,0.035820,-0.048070,-0.023303,0.010643,0.350000,0.316667,0.036251,-0.030416,0.500000
1767001521,375887489,5.138822,9.533518,-1.348907,8.063669,-7.178902,1.329328,0.036385,0.094262,-0.024639,0.324624,-0.026715,0.350000,0.003725,0.366667,0.004674,0.366667,0.004674,0,25.200001,-0.561000,0.920000,1.086968,0.641646,9.868899,-0.037417,-0.004661,-0.000133,0.012747,0.366667,0.333333,0.037058,-0.029608,0.500000
1767001521,408881787,5.140981,9.523954,-1.348907,8.079852,-7.157980,1.331723,0.046188,0.094022,-0.024639,0.351125,-0.026712,0.366667,0.004674,0.383333,0.004571,0.383333,0.004571,0,25.200001,-0.561000,0.920000,1.905785,0.287304,9.952696,0.030360,-0.066845,-0.015846,0.011925,0.383333,0.350000,0.038007,-0.028660,0.500000
1767001521,442375102,5.144066,9.510252,-1.349442,8.079852,-7.157980,1.331723,0.060228,0.093670,-0.025173,0.371000,0.000000,0.383333,0.004571,0.400000,0.005444,0.400000,0.005444,0,25.200001,-0.561000,0.920000,2.202666,-0.014365,8.935161,0.037284,-0.049002,-0.017444,0.013610,0.400000,0.366667,0.037904,-0.028762,0.500000
1767001521,475712989,5.146449,9.499651,-1.349976,8.079852,-7.157980,1.331723,0.074666,0.093301,-0.025707,0.377624,-0.026718,0.400000,0.005444,0.416667,0.006517,0.416667,0.006517,0,25.200001,-0.561000,0.920000,1.108515,0.565032,10.225635,-0.015979,0.067245,0.017710,0.015641,0.416667,0.383333,0.038777,-0.027889,0.500000
1767001521,508892451,5.149725,9.485042,-1.350510,8.079852,-7.157980,1.331723,0.086057,0.093005,-0.026241,0.377624,-0.026718,0.416667,0.006517,0.433333,0.007837,0.433333,0.007837,0,25.200001,-0.561000,0.920000,0.117316,0.296881,10.129867,0.021039,-0.110654,-0.001198,0.018085,0.433333,0.400000,0.039850,-0.026816,0.500000
1767001521,542534642,5.153275,9.469203,-1.350243,8.027334,-7.218155,1.324112,0.102283,0.092582,-0.025974,0.424000,0.000000,0.433333,0.007837,0.450000,0.006929,0.450000,0.006929,0,25.200001,-0.561000,0.920000,1.635240,0.189142,10.086772,-0.032890,-0.296410,0.023702,0.015398,0.450000,0.416667,0.041170,-0.025497,0.500000
1767001521,575586918,5.156074,9.456727,-1.349976,8.027334,-7.218155,1.324112,0.115065,0.092252,-0.025707,0.443874,0.026712,0.450000,0.006929,0.466667,0.006545,0.466667,0.006545,0,25.200001,-0.561000,0.920000,2.106897,0.016759,9.258378,0.044608,-0.058057,0.024368,0.014024,0.466667,0.433333,0.040262,-0.026404,0.500000
1767001521,609276558,5.158877,9.444239,-1.349659,8.027334,-7.218155,1.324112,0.127859,0.091923,-0.025390,0.430625,0.026715,0.466667,0.006545,0.483333,0.006638,0.483333,0.006638,0,25.200001,-0.690000,0.920000,1.103727,0.251391,10.702081,0.061519,0.050733,-0.018642,0.013733,0.483333,0.450000,0.039878,-0.026789,0.500000
1767001521,642595349,5.161857,9.430989,-1.349392,8.027334,-7.218155,1.324112,0.141436,0.091580,-0.025123,0.483625,0.026712,0.483333,0.006638,0.500000,0.005701,0.500000,0.005701,0,25.200001,-0.690000,0.920000,-0.538695,0.349553,10.412383,0.039148,-0.100667,-0.005459,0.011402,0.500000,0.466667,0.039971,-0.026696,0.500000
1767001521,675895475,5.166003,9.412569,-1.349659,8.013738,-7.209305,1.324608,0.160311,0.091105,-0.025390,0.470376,-0.026712,0.500000,0.005701,0.500000,0.006436,0.500000,0.006436,0,25.200001,-0.690000,0.920000,2.621651,-0.208296,7.477092,0.040746,-0.080161,0.025167,0.012872,0.500000,0.483333,0.039034,-0.027632,0.500000
1767001521,709342324,5.169291,9.397962,-1.349125,8.013738,-7.209305,1.324608,0.175279,0.090729,-0.024856,0.483625,0.026712,0.500000,0.006436,0.500000,0.005541,0.500000,0.005541,0,25.200001,-0.690000,0.920000,3.040636,0.474052,10.194511,0.107858,-0.025566,0.005326,0.011082,0.500000,0.483333,0.039770,-0.026897,0.500000
1767001521,742585314,5.172679,9.382902,-1.349392,8.013738,-7.209305,1.324608,0.190710,0.090339,-0.025123,0.523375,0.026713,0.500000,0.005541,0.500000,0.005804,0.500000,0.005804,0,25.200001,-0.690000,0.920000,1.589750,0.028730,9.184158,0.059921,0.102532,-0.042744,0.011609,0.500000,0.483333,0.038874,-0.027792,0.500000
1767001521,775906720,5.177306,9.362349,-1.348858,8.013738,-7.209305,1.324608,0.211771,0.089811,-0.024589,0.523375,0.026713,0.500000,0.005804,0.500000,0.005174,0.500000,0.005174,0,25.200001,-0.690000,0.920000,-0.390255,-0.196325,8.975862,-0.043410,0.004661,0.019841,0.010348,0.500000,0.483333,0.039138,-0.027529,0.500000
1767001521,809231361,5.179591,9.352202,-1.349659,7.985936,-7.220936,1.322432,0.222169,0.089550,-0.025390,0.523375,-0.026713,0.500000,0.005174,0.500000,0.006385,0.500000,0.006385,0,25.200001,-0.690000,0.920000,1.580173,-0.148441,10.697293,0.005593,-0.140748,0.029295,0.012769,0.500000,0.483333,0.038507,-0.028159,0.500000
1767001521,842575329,5.183054,9.336819,-1.349125,7.985936,-7.220936,1.322432,0.237932,0.089154,-0.024856,0.530001,0.000000,0.500000,0.006385,0.500000,0.005723,0.500000,0.005723,0,25.200001,-0.690000,0.920000,1.891419,0.442927,10.043676,-0.014514,0.064848,0.016911,0.011445,0.500000,0.483333,0.039718,-0.026949,0.500000
1767001521,875765181,5.188758,9.311551,-1.348324,7.985936,-7.220936,1.322432,0.268861,0.088398,-0.024055,0.510124,0.026711,0.500000,0.005723,0.500000,0.004712,0.500000,0.004712,0,25.200001,-0.803000,0.920000,0.201113,0.349553,9.026140,0.013049,0.004661,0.001598,0.009425,0.500000,0.483333,0.039056,-0.027611,0.500000
1767001521,908992862,5.193207,9.291909,-1.347789,8.027000,-7.175821,1.327508,0.283962,0.088040,-0.023520,0.490250,0.000000,0.500000,0.004712,0.500000,0.004141,0.500000,0.004141,0,25.200001,-0.803000,0.920000,0.837971,-0.608127,9.148245,0.012783,0.012117,0.022371,0.008281,0.500000,0.483333,0.038046,-0.028621,0.500000
1767001521,942628001,5.196592,9.276984,-1.347522,8.027000,-7.175821,1.327508,0.299262,0.087681,-0.023253,0.496875,0.026713,0.500000,0.004141,0.500000,0.003724,0.500000,0.003724,0,25.200001,-0.803000,0.920000,1.242591,-0.263362,8.805874,0.006392,-0.117712,0.026232,0.007449,0.500000,0.483333,0.037474,-0.029193,0.500000
1767001521,975865491,5.198850,9.267035,-1.347522,8.027000,-7.175821,1.327508,0.309461,0.087443,-0.023253,0.496875,0.026714,0.500000,0.003724,0.500000,0.003754,0.500000,0.003754,0,25.200001,-0.803000,0.920000,2.104503,-0.316035,10.539276,-0.019308,0.090414,0.026632,0.007509,0.500000,0.483333,0.037058,-0.029609,0.500000
1767001522,8898170,5.203339,9.247265,-1.347522,8.027000,-7.175821,1.327508,0.329728,0.086972,-0.023253,0.510125,0.026711,0.500000,0.003754,0.500000,0.003771,0.500000,0.003771,0,25.200001,-0.803000,0.920000,-0.387861,-0.129287,9.208100,0.082025,0.092279,-0.019042,0.007542,0.500000,0.483333,0.037088,-0.029579,0.500000
1767001522,42314062,5.206697,9.232470,-1.347789,7.997564,-7.225919,1.321486,0.344895,0.086617,-0.023520,0.516750,0.000000,0.500000,0.003771,0.500000,0.004196,0.500000,0.004196,0,25.200001,-0.803000,0.920000,0.071826,0.229843,8.559271,0.034621,-0.138085,0.030893,0.008393,0.500000,0.483333,0.037104,-0.029563,0.500000
1767001522,75649714,5.210011,9.217869,-1.347255,7.997564,-7.225919,1.321486,0.359864,0.086268,-0.022986,0.510125,0.026715,0.500000,0.004196,0.500000,0.003475,0.500000,0.003475,0,25.200001,-0.803000,0.920000,1.975216,0.579397,10.299856,0.020373,-0.056459,0.051932,0.006950,0.500000,0.483333,0.037530,-0.029137,0.500000
