sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1767001997,716581406,8.225283,10.417268,-1.645284,10.924873,-7.325231,1.643772,-0.064378,0.118632,-0.001512,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.016667,0.000000,1,25.200001,-0.284000,0.910000,0.857124,0.330400,9.662998,0.022104,0.035154,0.003995,0.000000,0.016667,0.000000,0.033333,-0.033333,0.500000
1767001997,750196831,8.225283,10.417268,-1.645284,10.924873,-7.325231,1.643772,-0.064378,0.118632,-0.001512,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0,25.200001,-0.284000,0.910000,1.185130,0.251391,10.074801,0.033290,-0.018908,-0.006392,0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1767001997,783499155,8.225283,10.417268,-1.645284,10.924873,-7.325231,1.643772,-0.064378,0.118632,-0.001512,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,0,25.200001,-0.284000,0.910000,1.031901,0.251391,9.102755,0.004927,-0.019974,-0.003196,0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1767001997,817003434,8.225283,10.417268,-1.645284,10.924873,-7.325231,1.643772,-0.064378,0.118632,-0.001512,0.000000,0.000000,0.500000,0.000000,0.500000,-0.000000,0.500000,-0.000000,0,25.200001,-0.284000,0.910000,1.273715,0.265756,9.612720,0.021971,0.020773,-0.001864,-0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1767001997,850346783,8.225283,10.417268,-1.645284,10.924873,-7.325231,1.643772,-0.064378,0.118632,-0.001512,0.000000,0.000000,0.500000,-0.000000,0.500000,0.000000,0.500000,0.000000,0,25.200001,-0.284000,0.910000,1.242591,-0.081403,10.283096,0.029028,-0.011452,-0.004527,0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1767001997,883321297,8.225194,10.416079,-1.645818,10.924873,-7.325231,1.643772,-0.063185,0.118630,-0.002047,0.092750,-0.053427,0.500000,0.000000,0.500000,0.000891,0.500000,0.000891,0,25.200001,-0.284000,0.910000,2.602497,-0.337582,8.614338,-0.048203,-0.459795,0.017976,0.001782,0.500000,0.483333,0.033333,-0.033333,0.500000
1767001997,916639630,8.225109,10.414955,-1.645551,10.924873,-7.325231,1.643772,-0.062059,0.118628,-0.001779,0.046375,-0.026712,0.500000,0.000891,0.500000,0.000447,0.500000,0.000447,0,25.200001,-0.284000,0.910000,4.352659,0.179565,9.437943,0.072837,0.315984,0.075367,0.000894,0.500000,0.483333,0.034224,-0.032442,0.500000
1767001997,949957122,8.224950,10.412841,-1.645551,10.924873,-7.325231,1.643772,-0.059939,0.118623,-0.001779,0.066250,0.053424,0.500000,0.000447,0.500000,0.000451,0.500000,0.000451,0,25.200001,-0.284000,0.910000,1.156399,0.256180,11.176133,0.019042,-0.173505,-0.015180,0.000901,0.500000,0.483333,0.033781,-0.032886,0.500000
1767001997,983339915,8.224776,10.410529,-1.645818,10.924873,-7.325231,1.643772,-0.057620,0.118618,-0.002047,0.086126,0.026715,0.500000,0.000451,0.500000,0.000900,0.500000,0.000900,0,25.200001,-0.284000,0.910000,1.211466,-0.150835,9.701305,0.016512,0.076433,-0.003728,0.001799,0.500000,0.483333,0.033784,-0.032883,0.500000
1767001998,16679347,8.224553,10.407556,-1.645017,10.924873,-7.325231,1.643772,-0.054639,0.118613,-0.001245,0.112625,0.080142,0.500000,0.000900,0.500000,-0.000433,0.500000,-0.000433,0,25.200001,-0.284000,0.910000,1.386243,-0.387861,9.153033,0.053929,-0.207327,0.008655,-0.000866,0.500000,0.483333,0.034233,-0.032434,0.500000
1767001998,49994865,8.224196,10.402800,-1.646085,10.924873,-7.325231,1.643772,-0.049869,0.118603,-0.002314,0.129188,-0.013356,0.500000,-0.000433,0.500000,0.001354,0.500000,0.001354,0,25.200001,-0.304000,0.910000,1.316811,0.577003,9.744401,0.012517,0.151134,-0.016378,0.002709,0.500000,0.483333,0.032901,-0.033766,0.500000
1767001998,83411241,8.224002,10.400223,-1.645818,10.924873,-7.325231,1.643772,-0.047285,0.118597,-0.002047,0.125875,0.026715,0.500000,0.001354,0.500000,0.000914,0.500000,0.000914,0,25.200001,-0.304000,0.910000,1.436521,-0.031125,10.041282,-0.037417,-0.066979,-0.010786,0.001829,0.500000,0.483333,0.034688,-0.031979,0.500000
1767001998,116956446,8.223670,10.395797,-1.645551,10.924873,-7.325231,1.643772,-0.042847,0.118588,-0.001779,0.132500,0.000000,0.500000,0.000914,0.500000,0.000475,0.500000,0.000475,0,25.200001,-0.304000,0.910000,1.003170,0.114922,9.212888,-0.016378,0.190283,0.014914,0.000951,0.500000,0.483333,0.034248,-0.032419,0.500000
1767001998,150311637,8.223302,10.390908,-1.645551,10.924873,-7.325231,1.643772,-0.037944,0.118578,-0.001779,0.159000,0.000000,0.500000,0.000475,0.500000,0.000483,0.500000,0.000483,0,25.200001,-0.304000,0.910000,2.513912,-0.227449,10.340557,0.051000,0.093610,0.004527,0.000965,0.500000,0.483333,0.033809,-0.032858,0.500000
1767001998,183348828,8.222776,10.383906,-1.646085,10.924873,-7.325231,1.643772,-0.030922,0.118564,-0.002314,0.165626,-0.026712,0.500000,0.000483,0.500000,0.001383,0.500000,0.001383,0,25.200001,-0.304000,0.910000,1.134852,0.263362,8.667010,0.018243,0.061519,-0.004927,0.002767,0.500000,0.483333,0.033816,-0.032851,0.500000
1767001998,216749054,8.222320,10.377828,-1.646085,10.924873,-7.325231,1.643772,-0.024827,0.118553,-0.002314,0.185500,-0.106850,0.500000,0.001383,0.500000,0.001388,0.500000,0.001388,0,25.200001,-0.304000,0.910000,2.487576,0.399832,11.348516,-0.015180,0.107192,0.008389,0.002776,0.500000,0.483333,0.034717,-0.031950,0.500000
1767001998,250334052,8.221821,10.371155,-1.645284,10.921226,-7.349800,1.642155,-0.018135,0.118541,-0.001512,0.212000,0.000000,0.500000,0.001388,0.500000,0.000057,0.500000,0.000057,0,25.200001,-0.304000,0.910000,2.324770,-0.153229,9.059659,0.074435,-0.076300,-0.018642,0.000114,0.500000,0.483333,0.034722,-0.031945,0.500000
1767001998,283522624,8.221106,10.361575,-1.645551,10.921226,-7.349800,1.642155,-0.008529,0.118527,-0.001779,0.248438,-0.040071,0.500000,0.000057,0.500000,0.000502,0.500000,0.000502,0,25.200001,-0.304000,0.910000,2.173935,0.165200,9.385271,0.056725,-0.022104,-0.027431,0.001004,0.500000,0.483333,0.033390,-0.033277,0.500000
1767001998,316632069,8.220325,10.351137,-1.645551,10.921226,-7.349800,1.642155,0.001938,0.118509,-0.001779,0.271625,0.026715,0.500000,0.000502,0.500000,0.000508,0.500000,0.000508,0,25.200001,-0.418000,0.910000,1.297657,0.306458,9.318233,0.027830,-0.114915,-0.013049,0.001016,0.500000,0.483333,0.033835,-0.032831,0.500000
1767001998,350284153,8.219685,10.342615,-1.645818,10.921226,-7.349800,1.642155,0.010485,0.118492,-0.002047,0.284874,0.026713,0.500000,0.000508,0.500000,0.000965,0.500000,0.000965,0,25.200001,-0.418000,0.910000,2.319981,0.347159,10.065224,0.033023,0.030893,-0.009321,0.001930,0.500000,0.483333,0.033841,-0.032825,0.500000
1767001998,383609199,8.218791,10.330790,-1.646085,10.921226,-7.349800,1.642155,0.022343,0.118462,-0.002314,0.304750,0.026713,0.500000,0.000965,0.500000,0.001443,0.500000,0.001443,0,25.200001,-0.418000,0.910000,1.290475,0.730232,9.564836,-0.002264,-0.232627,-0.014514,0.002885,0.500000,0.483333,0.034298,-0.032368,0.500000
1767001998,416964050,8.218055,10.321079,-1.646352,10.921226,-7.349800,1.642155,0.032082,0.118437,-0.002581,0.337875,-0.026715,0.500000,0.001443,0.500000,0.001918,0.500000,0.001918,0,25.200001,-0.418000,0.910000,1.472434,0.208296,10.292673,0.023303,-0.065514,-0.010653,0.003836,0.500000,0.483333,0.034776,-0.031891,0.500000
1767001998,450003194,8.217301,10.311170,-1.646887,10.932267,-7.346257,1.642316,0.042019,0.118407,-0.003115,0.351125,-0.026713,0.500000,0.001918,0.500000,0.002848,0.500000,0.002848,0,25.200001,-0.418000,0.910000,2.770091,0.378284,9.856928,0.022504,-0.099070,-0.003595,0.005695,0.500000,0.483333,0.035251,-0.031416,0.500000
1767001998,483770532,8.216504,10.300733,-1.646887,10.932267,-7.346257,1.642316,0.052487,0.118373,-0.003115,0.357750,0.053427,0.500000,0.002848,0.500000,0.002900,0.500000,0.002900,0,25.200001,-0.418000,0.910000,0.466869,0.162806,9.521740,-0.011585,-0.021305,-0.010519,0.005799,0.500000,0.483333,0.036181,-0.030486,0.500000
