sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1767002768,720582921,13.527861,10.533627,-2.161228,16.092061,-5.713544,2.133041,-0.031547,0.116514,-0.028187,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.016667,-0.000000,1,25.200001,-0.285000,0.900000,0.988805,-0.162806,9.215282,0.017444,0.008123,0.005193,-0.000000,0.016667,0.000000,0.033333,-0.033333,0.500000
1767002768,754326687,13.527861,10.533627,-2.161228,16.092061,-5.713544,2.133041,-0.031547,0.116514,-0.028187,0.000000,0.000000,0.500000,-0.000000,0.500000,-0.000000,0.500000,-0.000000,0,25.200001,-0.285000,0.900000,1.505953,0.105345,9.890447,0.033023,-0.011452,-0.006658,-0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1767002768,787538888,13.527861,10.533627,-2.161228,16.092061,-5.713544,2.133041,-0.031547,0.116514,-0.028187,0.000000,0.000000,0.500000,-0.000000,0.500000,-0.000000,0.500000,-0.000000,0,25.200001,-0.285000,0.900000,1.180341,0.150835,9.440337,-0.002397,-0.037817,0.005060,-0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1767002768,820530777,13.527861,10.533627,-2.161228,16.092061,-5.713544,2.133041,-0.031547,0.116514,-0.028187,0.000000,0.000000,0.500000,-0.000000,0.500000,-0.000000,0.500000,-0.000000,0,25.200001,-0.285000,0.900000,0.778116,0.225055,9.279926,0.015579,0.010653,0.005992,-0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1767002768,854503801,13.527861,10.533627,-2.161228,16.092061,-5.713544,2.133041,-0.031282,0.116507,-0.028187,0.000000,0.000000,0.500000,-0.000000,0.500000,-0.000000,0.500000,-0.000000,0,25.200001,-0.285000,0.900000,0.921768,-0.248997,7.343016,0.040746,0.152865,-0.007590,-0.000000,0.500000,0.483333,0.033333,-0.033333,0.500000
1767002768,887248588,13.526829,10.532085,-2.160159,16.092061,-5.713544,2.133041,-0.029693,0.116463,-0.027118,0.046375,0.026713,0.500000,-0.000000,0.500000,-0.003576,0.500000,-0.003576,0,25.200001,-0.285000,0.900000,4.659116,0.426168,11.966220,-0.007989,-0.251536,0.071506,-0.007151,0.500000,0.483333,0.033333,-0.033333,0.500000
1767002768,920536020,13.526018,10.530874,-2.160693,16.092061,-5.713544,2.133041,-0.028236,0.116423,-0.027652,0.053001,0.000000,0.500000,-0.003576,0.500000,-0.001806,0.500000,-0.001806,0,25.200001,-0.285000,0.900000,2.059013,0.086191,7.905654,0.013715,0.030360,-0.004794,-0.003612,0.500000,0.483333,0.029758,-0.036909,0.500000
1767002768,954193805,13.524876,10.529167,-2.160426,16.092061,-5.713544,2.133041,-0.026183,0.116366,-0.027385,0.092750,0.053426,0.500000,-0.001806,0.500000,-0.002706,0.500000,-0.002706,0,25.200001,-0.285000,0.900000,1.561019,0.454898,11.382035,0.048336,-0.054595,-0.022104,-0.005412,0.500000,0.483333,0.031527,-0.035139,0.500000
1767002768,987529667,13.522887,10.526194,-2.160426,16.092061,-5.713544,2.133041,-0.022606,0.116268,-0.027385,0.106000,0.000000,0.500000,-0.002706,0.500000,-0.002738,0.500000,-0.002738,0,25.200001,-0.298000,0.900000,0.778116,-0.265756,7.666234,0.018775,0.113184,-0.020639,-0.005476,0.500000,0.483333,0.030627,-0.036040,0.500000
1767002769,20859878,13.521670,10.524377,-2.160693,16.092061,-5.713544,2.133041,-0.020421,0.116208,-0.027652,0.105999,0.000000,0.500000,-0.002738,0.500000,-0.001862,0.500000,-0.001862,0,25.200001,-0.298000,0.900000,1.204283,0.198719,10.546458,-0.022770,0.058723,0.000799,-0.003725,0.500000,0.483333,0.030595,-0.036071,0.500000
