sec,nsec,odom_base_x,odom_base_y,odom_base_yaw,map_odom_x,map_odom_y,map_odom_yaw,map_base_x,map_base_y,map_base_yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1767004956,811379753,18.196643,5.384116,2.755185,14.990545,11.701268,-2.772475,-0.037938,0.114584,-0.017290,0.000000,0.000000,0.000000,0.000000,0.016667,0.000000,0.016667,0.000000,0,25.200001,-0.282000,0.870000,0.945710,0.086191,9.253589,-0.000000,-0.041412,0.007324,0.000000,0.016667,0.000000,0.033333,-0.033333,0.500000
1767004956,844669076,18.196643,5.384116,2.755185,14.990545,11.701268,-2.772475,-0.037938,0.114584,-0.017290,0.000000,0.000000,0.016667,0.000000,0.033333,0.000000,0.033333,0.000000,0,25.200001,-0.282000,0.870000,1.309628,0.203507,9.552865,0.012650,0.022637,0.000000,0.000000,0.033333,0.000000,0.033333,-0.033333,0.500000
1767004956,878046202,18.196643,5.384116,2.755185,14.990545,11.701268,-2.772475,-0.037938,0.114584,-0.017290,0.000000,0.000000,0.033333,0.000000,0.050000,0.000000,0.050000,0.000000,0,25.200001,-0.282000,0.870000,1.477222,0.088585,9.943119,0.029827,0.008522,-0.005326,0.000000,0.050000,0.016667,0.033333,-0.033333,0.500000
1767004956,911332469,18.196643,5.384116,2.755185,14.990545,11.701268,-2.772475,-0.037938,0.114584,-0.017290,0.000000,0.000000,0.050000,0.000000,0.066667,0.000000,0.066667,0.000000,0,25.200001,-0.282000,0.870000,1.247379,0.251391,9.358934,0.003995,-0.038350,-0.002264,0.000000,0.066667,0.033333,0.033333,-0.033333,0.500000
1767004956,944842331,18.196643,5.384116,2.755185,14.990545,11.701268,-2.772475,-0.037673,0.114579,-0.017290,0.000000,0.000000,0.066667,0.000000,0.083333,0.000000,0.083333,0.000000,0,25.200001,-0.282000,0.870000,0.964863,-0.256180,8.528146,0.036752,0.100268,0.001465,0.000000,0.083333,0.050000,0.033333,-0.033333,0.500000
1767004956,977682739,18.195232,5.384691,2.754918,14.990545,11.701268,-2.772475,-0.036414,0.114557,-0.017558,0.026499,0.000000,0.083333,0.000000,0.100000,0.000179,0.100000,0.000179,0,25.200001,-0.282000,0.870000,3.665523,0.095768,10.216058,0.070973,0.053663,0.042744,0.001788,0.100000,0.066667,0.033333,-0.033333,0.500000
1767004957,11321251,18.193391,5.385441,2.754918,14.990545,11.701268,-2.772475,-0.034427,0.114522,-0.017558,0.072875,0.026715,0.100000,0.000179,0.116667,0.000210,0.116667,0.000210,0,25.200001,-0.282000,0.870000,2.722207,0.699107,8.025364,0.063516,0.071639,-0.023036,0.001804,0.116667,0.083333,0.033512,-0.033155,0.500000
1767004957,44641181,18.192348,5.385865,2.754651,14.990545,11.701268,-2.772475,-0.033301,0.114502,-0.017825,0.046374,-0.026721,0.116667,0.000210,0.133333,0.000479,0.133333,0.000479,0,25.200001,-0.282000,0.870000,1.470040,0.447716,8.530541,0.043942,0.105461,-0.034088,0.003593,0.133333,0.100000,0.033544,-0.033123,0.500000
1767004957,78014109,18.190017,5.386815,2.754651,14.990545,11.701268,-2.772475,-0.030784,0.114458,-0.017825,0.086125,-0.026712,0.133333,0.000479,0.150000,0.000542,0.150000,0.000542,0,25.200001,-0.282000,0.870000,1.252167,-0.395043,10.852916,0.014514,0.009321,0.010653,0.003613,0.150000,0.116667,0.033812,-0.032854,0.500000
1767004957,111152872,18.187072,5.388015,2.754651,14.990545,11.701268,-2.772475,-0.027605,0.114401,-0.017825,0.119251,0.000000,0.150000,0.000542,0.166667,0.000608,0.166667,0.000608,0,25.200001,-0.282000,0.870000,1.110910,-0.083797,9.275137,0.009188,-0.153132,-0.001598,0.003651,0.166667,0.133333,0.033875,-0.032791,0.500000
1767004957,144411779,18.182348,5.389941,2.754384,14.990545,11.701268,-2.772475,-0.022504,0.114309,-0.018092,0.145750,0.000000,0.166667,0.000608,0.183333,0.001011,0.183333,0.001011,0,25.200001,-0.282000,0.870000,1.982399,0.239420,9.423578,0.060587,-0.132492,-0.007324,0.005516,0.183333,0.150000,0.033942,-0.032725,0.500000
1767004957,178057143,18.178238,5.391617,2.754651,14.990545,11.701268,-2.772475,-0.018066,0.114229,-0.017825,0.165626,0.026712,0.183333,0.001011,0.200000,0.000762,0.200000,0.000762,0,25.200001,-0.282000,0.870000,1.237802,1.321599,10.290279,0.045940,0.007191,-0.000133,0.003810,0.200000,0.166667,0.034345,-0.032322,0.500000
1767004957,211178364,18.174005,5.393343,2.754384,14.990545,11.701268,-2.772475,-0.013496,0.114147,-0.018092,0.178875,0.026712,0.200000,0.000762,0.216667,0.001228,0.216667,0.001228,0,25.200001,-0.282000,0.870000,0.349553,0.869095,9.622296,0.010386,-0.138484,0.002929,0.005670,0.216667,0.183333,0.034095,-0.032571,0.500000
1767004957,244341692,18.167686,5.395919,2.754651,14.990545,11.701268,-2.772475,-0.006673,0.114024,-0.017825,0.178876,0.026718,0.216667,0.001228,0.233333,0.000931,0.233333,0.000931,0,25.200001,-0.295000,0.870000,2.262521,0.169988,9.423578,0.005326,-0.177367,0.022770,0.003990,0.233333,0.200000,0.034562,-0.032105,0.500000
1767004957,278054553,18.162164,5.398168,2.755185,14.990545,11.701268,-2.772475,-0.000711,0.113919,-0.017290,0.218627,0.026718,0.233333,0.000931,0.250000,0.000000,0.250000,0.000000,0,25.200001,-0.295000,0.870000,2.375048,0.541090,10.201693,0.031958,0.060853,0.015180,0.000455,0.250000,0.216667,0.034264,-0.032402,0.500000
1767004957,311375905,18.156642,5.400416,2.755185,14.990545,11.701268,-2.772475,0.005250,0.113815,-0.017290,0.205375,0.026715,0.250000,0.000000,0.266667,0.000000,0.266667,0.000000,0,25.200001,-0.295000,0.870000,1.242591,0.292093,8.398859,0.036485,-0.036352,-0.013316,0.000499,0.266667,0.233333,0.033333,-0.033333,0.500000
1767004957,345761827,18.145841,5.404809,2.755185,14.990545,11.701268,-2.772475,0.016909,0.113614,-0.017290,0.258376,-0.026715,0.266667,0.000000,0.283333,0.000000,0.283333,0.000000,0,25.200001,-0.295000,0.870000,2.245761,0.316035,9.126697,0.083357,0.123571,-0.021039,0.000328,0.283333,0.250000,0.033333,-0.033333,0.500000
1767004957,378015664,18.138722,5.407703,2.755185,14.990545,11.701268,-2.772475,0.024592,0.113483,-0.017290,0.278250,-0.053430,0.283333,0.000000,0.300000,0.000000,0.300000,0.000000,0,25.200001,-0.295000,0.870000,1.391031,-0.201113,10.783484,-0.031825,-0.049268,0.013049,0.000256,0.300000,0.266667,0.033333,-0.033333,0.500000
1767004957,411001723,18.131174,5.410773,2.754918,14.780711,11.950567,-2.755534,0.032740,0.113343,-0.017558,0.278250,-0.053428,0.300000,0.000000,0.316667,0.000511,0.316667,0.000511,0,25.200001,-0.295000,0.870000,1.680730,-0.112527,9.739612,-0.028096,0.155395,-0.006392,0.001614,0.316667,0.283333,0.033333,-0.033333,0.500000
1767004957,444448459,18.120066,5.415292,2.755185,14.780711,11.950567,-2.755534,0.044729,0.113137,-0.017290,0.308062,-0.013357,0.316667,0.000511,0.333333,0.000000,0.333333,0.000000,0,25.200001,-0.295000,0.870000,1.357512,0.373495,8.451532,-0.032757,0.016911,-0.011984,0.000189,0.333333,0.300000,0.033844,-0.032822,0.500000
1767004957,477747149,18.111353,5.418838,2.754651,14.780711,11.950567,-2.755534,0.054135,0.112973,-0.017825,0.351125,-0.026713,0.333333,0.000000,0.350000,0.000815,0.350000,0.000815,0,25.200001,-0.402000,0.870000,1.161188,-0.059855,11.056423,0.017311,0.143811,0.005593,0.002327,0.350000,0.316667,0.033333,-0.033333,0.500000
1767004957,511299892,18.102088,5.422611,2.754918,14.780711,11.950567,-2.755534,0.064138,0.112797,-0.017558,0.325227,0.048571,0.350000,0.000815,0.366667,0.000507,0.366667,0.000507,0,25.200001,-0.402000,0.870000,1.376666,0.280122,9.730036,0.007723,0.048869,-0.014514,0.001383,0.366667,0.333333,0.034148,-0.032519,0.500000
1767004957,544689000,18.095829,5.425160,2.754918,14.780711,11.950567,-2.755534,0.070894,0.112678,-0.017558,0.364375,0.026713,0.366667,0.000507,0.383333,0.000474,0.383333,0.000474,0,25.200001,-0.402000,0.870000,2.042254,0.102951,8.942343,0.020906,0.085088,-0.007057,0.001235,0.383333,0.350000,0.033841,-0.032826,0.500000
1767004957,577800923,18.082821,5.430457,2.754918,14.780711,11.950567,-2.755534,0.084937,0.112431,-0.017558,0.337875,-0.026713,0.383333,0.000474,0.400000,0.000553,0.400000,0.000553,0,25.200001,-0.402000,0.870000,1.151611,0.332794,10.244789,-0.002264,0.017976,0.002131,0.001381,0.400000,0.366667,0.033807,-0.032860,0.500000
1767004957,611333709,18.072513,5.434654,2.754918,14.813784,11.920406,-2.757477,0.096065,0.112236,-0.017558,0.357750,0.000000,0.400000,0.000553,0.416667,0.000548,0.416667,0.000548,0,25.200001,-0.402000,0.870000,1.948880,0.368707,9.519346,-0.010653,0.055793,-0.007191,0.001315,0.416667,0.383333,0.033886,-0.032781,0.500000
1767004957,644662865,18.061714,5.439052,2.754918,14.813784,11.920406,-2.757477,0.107723,0.112030,-0.017558,0.377625,-0.026714,0.416667,0.000548,0.433333,0.000547,0.433333,0.000547,0,25.200001,-0.402000,0.870000,1.900996,0.591368,9.313444,0.018642,-0.004794,-0.017577,0.001263,0.433333,0.400000,0.033881,-0.032785,0.500000
1767004957,678005648,18.046805,5.445125,2.754651,14.813784,11.920406,-2.757477,0.123820,0.111745,-0.017825,0.414063,-0.013356,0.433333,0.000547,0.450000,0.000941,0.450000,0.000941,0,25.200001,-0.402000,0.870000,1.819593,0.189142,9.160216,0.069509,0.090547,-0.014514,0.002092,0.450000,0.416667,0.033881,-0.032786,0.500000
1767004957,711347609,18.034963,5.449948,2.754918,14.813784,11.920406,-2.757477,0.136604,0.111519,-0.017558,0.450500,0.000000,0.450000,0.000941,0.466667,0.000505,0.466667,0.000505,0,25.200001,-0.402000,0.870000,1.999158,0.679953,9.615114,0.013183,0.026365,0.004661,0.001083,0.466667,0.433333,0.034275,-0.032392,0.500000
1767004957,744399500,18.023000,5.454823,2.754651,14.813784,11.920406,-2.757477,0.149521,0.111289,-0.017825,0.437250,0.000000,0.466667,0.000505,0.483333,0.000981,0.483333,0.000981,0,25.200001,-0.546000,0.870000,1.089362,1.115698,10.141838,0.066979,-0.023170,-0.027031,0.002030,0.483333,0.450000,0.033839,-0.032828,0.500000
1767004957,777989252,18.001896,5.463425,2.754651,14.863369,11.855360,-2.761732,0.172307,0.110881,-0.017825,0.457125,0.000000,0.483333,0.000981,0.500000,0.001001,0.500000,0.001001,0,25.200001,-0.546000,0.870000,1.793257,-0.620098,8.487445,-0.038350,0.042477,-0.012517,0.002001,0.500000,0.466667,0.034314,-0.032352,0.500000
1767004957,810996830,17.988276,5.468977,2.754116,14.863369,11.855360,-2.761732,0.187012,0.110616,-0.018359,0.496875,-0.026714,0.500000,0.001001,0.500000,0.001698,0.500000,0.001698,0,25.200001,-0.546000,0.870000,1.965640,-0.234632,9.785102,-0.001198,-0.099469,0.012916,0.003396,0.500000,0.483333,0.034334,-0.032333,0.500000
1767004957,844670859,17.973926,5.474843,2.753582,14.863369,11.855360,-2.761732,0.202512,0.110323,-0.018893,0.503500,0.000000,0.500000,0.001698,0.500000,0.002500,0.500000,0.002500,0,25.200001,-0.546000,0.870000,1.561019,-0.050278,9.837775,-0.004128,0.160455,-0.010386,0.005001,0.500000,0.483333,0.035031,-0.031635,0.500000
1767004957,878033909,17.959578,5.480713,2.753048,14.863369,11.855360,-2.761732,0.218011,0.110024,-0.019428,0.510125,-0.026714,0.500000,0.002500,0.500000,0.003326,0.500000,0.003326,0,25.200001,-0.546000,0.870000,0.768539,0.160412,9.828198,0.025566,-0.062851,-0.009454,0.006651,0.500000,0.483333,0.035834,-0.030833,0.500000
1767004957,911589627,17.940450,5.488547,2.753048,14.770692,11.941793,-2.755735,0.238677,0.109620,-0.019428,0.516750,0.053426,0.500000,0.003326,0.500000,0.003421,0.500000,0.003421,0,25.200001,-0.546000,0.870000,1.403002,0.260968,8.477868,-0.049135,-0.050201,0.007856,0.006843,0.500000,0.483333,0.036659,-0.030008,0.500000
1767004957,945041452,17.926044,5.494450,2.752781,14.770692,11.941793,-2.755735,0.254243,0.109311,-0.019695,0.530000,0.053428,0.500000,0.003421,0.500000,0.003884,0.500000,0.003884,0,25.200001,-0.546000,0.870000,1.867477,-0.071826,8.817845,0.056193,-0.106393,-0.014514,0.007767,0.500000,0.483333,0.036755,-0.029912,0.500000
1767004957,978039122,17.911819,5.500271,2.753315,14.770692,11.941793,-2.755735,0.269610,0.109016,-0.019160,0.516750,0.000000,0.500000,0.003884,0.500000,0.003182,0.500000,0.003182,0,25.200001,-0.546000,0.870000,1.285686,0.380678,10.618284,-0.010386,0.215716,-0.002131,0.006364,0.500000,0.483333,0.037217,-0.029450,0.500000
1767004958,11374331,17.892876,5.508034,2.751979,14.770692,11.941793,-2.755735,0.290078,0.108610,-0.020496,0.503500,-0.053428,0.500000,0.003182,0.500000,0.005196,0.500000,0.005196,0,25.200001,-0.625000,0.870000,-0.244209,-0.416591,9.483433,-0.035021,-0.067644,0.005326,0.010392,0.500000,0.483333,0.036515,-0.030151,0.500000
1767004958,44718636,17.878778,5.513815,2.752514,14.936578,11.743043,-2.769253,0.305312,0.108304,-0.019962,0.490250,0.000000,0.500000,0.005196,0.500000,0.004623,0.500000,0.004623,0,25.200001,-0.625000,0.870000,0.823605,-0.031125,10.038888,0.005992,-0.017976,0.027697,0.009245,0.500000,0.483333,0.038529,-0.028137,0.500000
1767004958,78293630,17.869277,5.517710,2.752246,14.936578,11.743043,-2.769253,0.315579,0.108100,-0.020229,0.516750,-0.053430,0.500000,0.004623,0.500000,0.004955,0.500000,0.004955,0,25.200001,-0.625000,0.870000,1.836353,-0.198719,10.036493,-0.016645,-0.051000,0.024102,0.009910,0.500000,0.483333,0.037956,-0.028711,0.500000
1767004958,111271945,17.855239,5.523464,2.752514,14.936578,11.743043,-2.769253,0.330747,0.107798,-0.019962,0.496875,-0.026713,0.500000,0.004955,0.500000,0.004689,0.500000,0.004689,0,25.200001,-0.625000,0.870000,1.635240,0.069432,9.607931,-0.026632,0.070174,0.032357,0.009378,0.500000,0.483333,0.038288,-0.028379,0.500000
1767004958,144931927,17.836479,5.531147,2.753048,14.936578,11.743043,-2.769253,0.361017,0.107202,-0.019695,0.510124,-0.026712,0.500000,0.004689,0.500000,0.003987,0.500000,0.003987,0,25.200001,-0.625000,0.870000,0.471658,-0.033519,8.762778,-0.000533,-0.031558,0.028629,0.007973,0.500000,0.483333,0.038022,-0.028644,0.500000
1767004958,177667951,17.813365,5.540611,2.753315,15.008264,11.633361,-2.776501,0.375987,0.106913,-0.019160,0.503500,0.000000,0.500000,0.003987,0.500000,0.003718,0.500000,0.003718,0,25.200001,-0.625000,0.870000,1.532289,0.500388,9.775525,0.037950,0.078164,0.021572,0.007436,0.500000,0.483333,0.037320,-0.029347,0.500000
1767004958,211021323,17.804166,5.544370,2.754384,15.008264,11.633361,-2.776501,0.385923,0.106727,-0.018092,0.496875,0.080140,0.500000,0.003718,0.500000,0.002242,0.500000,0.002242,0,25.200001,-0.625000,0.870000,1.781286,0.390255,8.966285,-0.018908,-0.119576,0.038083,0.004485,0.500000,0.483333,0.037052,-0.029615,0.500000
1767004958,244328229,17.785518,5.551977,2.754384,15.008264,11.633361,-2.776501,0.406059,0.106361,-0.018092,0.516749,0.000000,0.500000,0.002242,0.500000,0.002258,0.500000,0.002258,0,25.200001,-0.546000,0.870000,1.491588,0.225055,9.442731,-0.029561,0.179763,0.037551,0.004517,0.500000,0.483333,0.035576,-0.031091,0.500000
1767004958,278016844,17.771898,5.557528,2.754918,15.008264,11.633361,-2.776501,0.420765,0.106097,-0.017558,0.483625,0.026712,0.500000,0.002258,0.500000,0.001605,0.500000,0.001605,0,25.200001,-0.546000,0.870000,0.663194,0.189142,10.172963,0.063650,-0.111054,0.023968,0.003210,0.500000,0.483333,0.035592,-0.031075,0.500000
