sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
186,60000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.078644,0.560000,0.069284,0.580000,0.069284,0.580000,0.000000,0.000000,-0.073333,-0.028411,-0.066000,-0.021077,-0.066000,-0.021077,0,5.253090,-0.066000,-0.080667,-0.021077,-0.035744,0.580000,0.540000,0.311127,0.330000,1.278647,1
186,80000000,-0.000116,-0.000106,0.000515,0.007842,0.025765,0.069284,0.580000,0.060255,0.600000,0.060255,0.600000,-0.005797,-0.005281,-0.066000,-0.021077,-0.058667,-0.013744,-0.058667,-0.013744,0,5.250777,-0.058667,-0.073333,-0.013744,-0.028411,0.600000,0.560000,0.311127,0.330000,1.278132,1
186,120000000,-0.001126,-0.000919,0.001809,0.032480,0.032936,0.060255,0.600000,0.051732,0.600000,0.051732,0.600000,-0.025373,-0.020278,-0.058667,-0.013744,-0.051333,-0.006411,-0.051333,-0.006411,0,5.239952,-0.051333,-0.066000,-0.006411,-0.021077,0.600000,0.580000,0.311127,0.330000,1.276838,1
186,140000000,-0.002080,-0.001231,0.002539,0.050211,0.036500,0.051732,0.600000,0.044010,0.600000,0.044010,0.600000,-0.047756,-0.015510,-0.051333,-0.006411,-0.044000,0.000923,-0.044000,0.000923,0,5.229901,-0.044000,-0.058667,0.000923,-0.013744,0.600000,0.580000,0.311127,0.330000,1.276108,1
186,180000000,-0.003948,-0.001576,0.004499,0.044000,0.054519,0.044010,0.600000,0.037585,0.600000,0.037585,0.600000,-0.043924,-0.002594,-0.044000,0.000923,-0.036667,0.008256,-0.036667,0.008256,0,5.207660,-0.036667,-0.051333,0.008256,-0.006411,0.600000,0.580000,0.311127,0.330000,1.274148,1
186,200000000,-0.004811,-0.001597,0.005642,0.043162,0.057181,0.037585,0.600000,0.033218,0.600000,0.033218,0.600000,-0.043162,0.000000,-0.036667,0.008256,-0.029333,0.015589,-0.029333,0.015589,0,5.196152,-0.029333,-0.044000,0.015589,0.000923,0.600000,0.580000,0.311127,0.330000,1.273004,1
186,220000000,-0.005562,-0.001507,0.007175,0.037825,0.076626,0.033218,0.600000,0.031772,0.600000,0.031772,0.600000,-0.037525,0.004756,-0.029333,0.015589,-0.022000,0.022923,-0.022000,0.022923,0,5.184080,-0.022000,-0.036667,0.022923,0.008256,0.600000,0.580000,0.311127,0.330000,1.271472,1
186,260000000,-0.006830,-0.001075,0.010739,0.031830,0.099470,0.031772,0.600000,0.033623,0.600000,0.033623,0.600000,-0.027519,0.015996,-0.022000,0.022923,-0.014667,0.030256,-0.014667,0.030256,0,5.159610,-0.014667,-0.029333,0.030256,0.015589,0.600000,0.580000,0.311127,0.330000,1.267908,1
186,300000000,-0.007645,-0.000236,0.014878,0.029450,0.108366,0.033623,0.600000,0.038298,0.600000,0.038298,0.600000,-0.019271,0.022269,-0.014667,0.030256,-0.007333,0.037589,-0.007333,0.037589,0,5.136135,-0.007333,-0.022000,0.037589,0.022923,0.600000,0.580000,0.311127,0.330000,1.263769,1
186,320000000,-0.007935,0.000306,0.017352,0.030740,0.123713,0.038298,0.600000,0.044923,0.600000,0.044923,0.600000,-0.014030,0.027351,-0.007333,0.037589,0.000000,0.044923,0.000000,0.044923,0,5.123765,0.000000,-0.014667,0.044923,0.030256,0.600000,0.580000,0.311127,0.330000,1.261294,1
186,340000000,-0.008178,0.000893,0.019863,0.031747,0.125517,0.044923,0.600000,0.052768,0.600000,0.052768,0.600000,-0.011625,0.029542,0.000000,0.044923,0.007333,0.052256,0.007333,0.052256,0,5.111517,0.007333,-0.007333,0.052256,0.037589,0.600000,0.580000,0.311127,0.330000,1.258784,1
186,380000000,-0.008233,0.002571,0.025993,0.041996,0.146986,0.052768,0.600000,0.061368,0.600000,0.061368,0.600000,0.001317,0.041976,0.007333,0.052256,0.014667,0.059589,0.014667,0.059589,0,5.085894,0.014667,0.000000,0.059589,0.044923,0.600000,0.580000,0.311127,0.330000,1.252654,1
186,420000000,-0.007951,0.004520,0.032576,0.049235,0.160131,0.061368,0.600000,0.070446,0.600000,0.070446,0.600000,0.009314,0.048346,0.014667,0.059589,0.022000,0.066923,0.022000,0.066923,0,5.061003,0.022000,0.007333,0.066923,0.052256,0.600000,0.580000,0.311127,0.330000,1.246071,1
186,440000000,-0.007731,0.005595,0.036281,0.054879,0.185237,0.070446,0.600000,0.079840,0.600000,0.079840,0.600000,0.012822,0.053360,0.022000,0.066923,0.029333,0.074256,0.029333,0.074256,0,5.047541,0.029333,0.014667,0.074256,0.059589,0.600000,0.580000,0.311127,0.330000,1.242366,1
186,480000000,-0.007111,0.007919,0.043885,0.062396,0.195948,0.079840,0.600000,0.089450,0.600000,0.089450,0.600000,0.019208,0.059366,0.029333,0.074256,0.036667,0.081589,0.036667,0.081589,0,5.021029,0.036667,0.022000,0.081589,0.066923,0.600000,0.580000,0.311127,0.330000,1.234762,1
186,500000000,-0.006620,0.009348,0.048366,0.075519,0.224045,0.089450,0.600000,0.099213,0.600000,0.099213,0.600000,0.027801,0.070216,0.036667,0.081589,0.044000,0.088923,0.044000,0.088923,0,5.006352,0.044000,0.029333,0.088923,0.074256,0.600000,0.580000,0.311127,0.330000,1.230281,1
186,540000000,-0.005397,0.012378,0.057374,0.085705,0.233541,0.099213,0.600000,0.109088,0.600000,0.109088,0.600000,0.037701,0.076968,0.044000,0.088923,0.051333,0.096256,0.051333,0.096256,0,4.978659,0.051333,0.036667,0.096256,0.081589,0.600000,0.580000,0.311127,0.330000,1.225947,1
186,560000000,-0.004704,0.013958,0.061878,0.086245,0.225163,0.109088,0.600000,0.119048,0.600000,0.119048,0.600000,0.039295,0.076773,0.051333,0.096256,0.058667,0.103589,0.058667,0.103589,0,4.965361,0.058667,0.044000,0.103589,0.088923,0.600000,0.580000,0.311127,0.330000,1.221444,1
186,600000000,-0.002977,0.017671,0.072299,0.105084,0.257874,0.119048,0.600000,0.129073,0.600000,0.129073,0.600000,0.051992,0.091320,0.058667,0.103589,0.066000,0.110923,0.066000,0.110923,0,4.935437,0.066000,0.051333,0.110923,0.096256,0.600000,0.580000,0.311127,0.330000,1.211022,1
186,640000000,-0.000936,0.021684,0.082950,0.115813,0.271227,0.129073,0.600000,0.139148,0.600000,0.139148,0.600000,0.061289,0.098267,0.066000,0.110923,0.073333,0.118256,0.073333,0.118256,0,4.906732,0.073333,0.058667,0.118256,0.103589,0.600000,0.580000,0.311127,0.330000,1.204739,1
186,660000000,0.000167,0.023827,0.088635,0.120533,0.284208,0.139148,0.600000,0.149264,0.600000,0.149264,0.600000,0.064172,0.102030,0.073333,0.118256,0.080667,0.125589,0.080667,0.125589,0,4.891548,0.080667,0.066000,0.125589,0.110923,0.600000,0.580000,0.311127,0.330000,1.199055,1
186,700000000,0.002742,0.028601,0.100517,0.136219,0.290346,0.149264,0.600000,0.159413,0.600000,0.159413,0.600000,0.076672,0.112592,0.080667,0.125589,0.088000,0.132923,0.088000,0.132923,0,4.861499,0.088000,0.073333,0.132923,0.118256,0.600000,0.580000,0.311127,0.330000,1.187173,1
186,720000000,0.004132,0.031138,0.106859,0.144625,0.317116,0.159413,0.600000,0.169588,0.600000,0.169588,0.600000,0.082293,0.118930,0.088000,0.132923,0.095333,0.140256,0.095333,0.140256,0,4.845523,0.095333,0.080667,0.140256,0.125589,0.600000,0.580000,0.311127,0.330000,1.180831,1
186,760000000,0.007081,0.036520,0.120086,0.160450,0.347264,0.169588,0.600000,0.179786,0.600000,0.179786,0.600000,0.092917,0.130807,0.095333,0.140256,0.102667,0.147589,0.102667,0.147589,0,4.812371,0.102667,0.088000,0.147589,0.132923,0.600000,0.580000,0.311127,0.330000,1.171691,1
186,780000000,0.008715,0.039428,0.126806,0.166793,0.335957,0.179786,0.600000,0.190003,0.600000,0.190003,0.600000,0.099017,0.134222,0.102667,0.147589,0.110000,0.154923,0.110000,0.154923,0,4.796368,0.110000,0.095333,0.154923,0.140256,0.600000,0.580000,0.311127,0.330000,1.164972,1
186,820000000,0.012116,0.045552,0.141188,0.177097,0.359942,0.190003,0.600000,0.200235,0.600000,0.200235,0.600000,0.106505,0.141493,0.110000,0.154923,0.117333,0.162256,0.117333,0.162256,0,4.761143,0.117333,0.102667,0.162256,0.147589,0.600000,0.580000,0.311127,0.330000,1.154420,1
186,840000000,0.013855,0.048740,0.148713,0.181583,0.376249,0.200235,0.600000,0.210481,0.600000,0.210481,0.600000,0.109112,0.145144,0.117333,0.162256,0.124667,0.169589,0.124667,0.169589,0,4.742249,0.124667,0.110000,0.169589,0.154923,0.600000,0.580000,0.311127,0.330000,1.146895,1
186,880000000,0.017655,0.055659,0.164127,0.197669,0.382888,0.210481,0.600000,0.220739,0.600000,0.220739,0.600000,0.121385,0.156009,0.124667,0.169589,0.132000,0.176923,0.132000,0.176923,0,4.704687,0.132000,0.117333,0.176923,0.162256,0.600000,0.580000,0.311127,0.330000,1.135293,1
186,900000000,0.019626,0.059287,0.172264,0.206432,0.406846,0.220739,0.600000,0.231006,0.600000,0.231006,0.600000,0.127574,0.162293,0.132000,0.176923,0.139333,0.184256,0.139333,0.184256,0,4.684484,0.139333,0.124667,0.184256,0.169589,0.600000,0.580000,0.311127,0.330000,1.127156,1
186,940000000,0.023667,0.066885,0.189150,0.222298,0.436987,0.231006,0.600000,0.241283,0.600000,0.241283,0.600000,0.138369,0.173984,0.139333,0.184256,0.146667,0.191589,0.146667,0.191589,0,4.641395,0.146667,0.132000,0.191589,0.176923,0.600000,0.580000,0.311127,0.330000,1.113973,1
186,960000000,0.025802,0.070928,0.197750,0.228589,0.430000,0.241283,0.600000,0.251567,0.600000,0.251567,0.600000,0.143684,0.177786,0.146667,0.191589,0.154000,0.198923,0.154000,0.198923,0,4.619739,0.154000,0.139333,0.198923,0.184256,0.600000,0.580000,0.311127,0.330000,1.105373,1
187,0,0.030114,0.079304,0.215014,0.238953,0.429745,0.251567,0.600000,0.261859,0.600000,0.261859,0.600000,0.151092,0.185121,0.154000,0.198923,0.161333,0.206256,0.161333,0.206256,0,4.575403,0.161333,0.146667,0.206256,0.191589,0.600000,0.580000,0.311127,0.330000,1.091395,1
187,40000000,0.034612,0.088292,0.232390,0.259368,0.430063,0.261859,0.600000,0.272156,0.600000,0.272156,0.600000,0.165543,0.199669,0.161333,0.206256,0.168667,0.213589,0.168667,0.213589,0,4.530539,0.168667,0.154000,0.213589,0.198923,0.600000,0.580000,0.311127,0.330000,1.077009,1
187,60000000,0.036899,0.092954,0.240968,0.259662,0.428918,0.272156,0.600000,0.281737,0.600000,0.281737,0.600000,0.165890,0.199762,0.168667,0.213589,0.176000,0.220000,0.176000,0.220000,0,4.508422,0.176000,0.161333,0.220000,0.206256,0.600000,0.580000,0.311127,0.330000,1.068431,1
187,100000000,0.041540,0.102669,0.258194,0.270060,0.429198,0.281737,0.600000,0.286376,0.600000,0.286376,0.600000,0.173271,0.207146,0.176000,0.220000,0.183333,0.220000,0.183333,0.220000,0,4.463167,0.183333,0.168667,0.220000,0.212667,0.600000,0.580000,0.311127,0.330000,1.054023,1
187,120000000,0.043863,0.107653,0.267205,0.274938,0.450519,0.286376,0.600000,0.291125,0.600000,0.291125,0.600000,0.176947,0.210430,0.183333,0.220000,0.190667,0.220000,0.190667,0.220000,0,4.438418,0.190667,0.176000,0.220000,0.212667,0.600000,0.580000,0.311127,0.330000,1.045012,1
187,160000000,0.048750,0.117939,0.284656,0.284888,0.437590,0.291125,0.600000,0.295980,0.600000,0.295980,0.600000,0.187930,0.214110,0.190667,0.220000,0.198000,0.220000,0.198000,0.220000,0,4.393059,0.198000,0.183333,0.220000,0.212667,0.600000,0.580000,0.311127,0.330000,1.030221,1
187,200000000,0.053713,0.128406,0.302278,0.289713,0.439861,0.295980,0.600000,0.300935,0.600000,0.300935,0.600000,0.194712,0.214526,0.198000,0.220000,0.205333,0.220000,0.205333,0.220000,0,4.347126,0.205333,0.190667,0.220000,0.212667,0.600000,0.580000,0.311127,0.330000,1.015367,1
187,220000000,0.056204,0.133703,0.311231,0.292703,0.447627,0.300935,0.600000,0.305985,0.600000,0.305985,0.600000,0.198834,0.214802,0.205333,0.220000,0.212667,0.220000,0.212667,0.220000,0,4.323351,0.212667,0.198000,0.220000,0.212667,0.600000,0.580000,0.311127,0.330000,1.009152,1
187,260000000,0.061194,0.144424,0.329294,0.296450,0.458568,0.305985,0.600000,0.310740,0.600000,0.310740,0.600000,0.203936,0.215157,0.212667,0.220000,0.220000,0.219452,0.220000,0.219452,0,4.274820,0.220000,0.205333,0.220000,0.212667,0.600000,0.580000,0.311127,0.330000,0.991089,1
187,280000000,0.063848,0.149911,0.338415,0.304738,0.456049,0.310740,0.600000,0.309905,0.600000,0.309905,0.600000,0.215354,0.215610,0.220000,0.219452,0.220000,0.218268,0.220000,0.218268,0,4.251763,0.220000,0.212667,0.220000,0.212119,0.600000,0.580000,0.311127,0.330000,0.984311,1
187,320000000,0.069173,0.161011,0.356710,0.309973,0.457333,0.309905,0.600000,0.308220,0.600000,0.308220,0.600000,0.222932,0.215372,0.220000,0.218268,0.220000,0.215869,0.220000,0.215869,0,4.205029,0.220000,0.212667,0.220000,0.210935,0.600000,0.580000,0.311127,0.330000,0.968122,1
187,340000000,0.071823,0.166614,0.365853,0.309891,0.457143,0.308220,0.600000,0.307366,0.600000,0.307366,0.600000,0.223074,0.215106,0.220000,0.215869,0.220000,0.214649,0.220000,0.214649,0,4.181253,0.220000,0.212667,0.220000,0.208536,0.600000,0.580000,0.311127,0.330000,0.958979,1
187,380000000,0.077011,0.177770,0.384184,0.307571,0.458028,0.307366,0.600000,0.305608,0.600000,0.305608,0.600000,0.222945,0.211885,0.220000,0.214649,0.220000,0.212124,0.220000,0.212124,0,4.132071,0.220000,0.212667,0.220000,0.207315,0.600000,0.580000,0.311127,0.330000,0.942648,1
187,400000000,0.079534,0.183367,0.393347,0.306977,0.458176,0.305608,0.600000,0.304696,0.600000,0.304696,0.600000,0.222922,0.211047,0.220000,0.212124,0.220000,0.210807,0.220000,0.210807,0,4.106414,0.220000,0.212667,0.219457,0.204790,0.600000,0.580000,0.311127,0.330000,0.935732,1
187,440000000,0.084439,0.194597,0.411693,0.306043,0.459324,0.304696,0.600000,0.302798,0.600000,0.302798,0.600000,0.222881,0.209729,0.220000,0.210807,0.220000,0.208054,0.220000,0.208054,0,4.052787,0.220000,0.212667,0.218140,0.203473,0.600000,0.580000,0.311127,0.330000,0.919541,1
187,480000000,0.089187,0.205796,0.430075,0.304078,0.459267,0.302798,0.600000,0.300828,0.600000,0.300828,0.600000,0.222829,0.206907,0.220000,0.208054,0.220000,0.205176,0.220000,0.205176,0,3.996731,0.220000,0.212667,0.215387,0.200720,0.600000,0.580000,0.311127,0.330000,0.902858,1
187,500000000,0.091501,0.211385,0.439293,0.302448,0.460927,0.300828,0.600000,0.299812,0.600000,0.299812,0.600000,0.222733,0.204609,0.220000,0.205176,0.220000,0.203684,0.220000,0.203684,0,3.967669,0.220000,0.212667,0.212509,0.197843,0.600000,0.580000,0.311127,0.330000,0.893640,1
187,540000000,0.095987,0.222584,0.457806,0.300995,0.465463,0.299812,0.600000,0.297699,0.600000,0.297699,0.600000,0.222323,0.202905,0.220000,0.203684,0.220000,0.200561,0.220000,0.200561,0,3.906838,0.220000,0.212667,0.211017,0.196351,0.600000,0.580000,0.311127,0.330000,0.876726,1
187,560000000,0.098183,0.228151,0.467056,0.299228,0.462511,0.297699,0.600000,0.296626,0.600000,0.296626,0.600000,0.222564,0.200008,0.220000,0.200561,0.220000,0.198965,0.220000,0.198965,0,3.875739,0.220000,0.212667,0.207895,0.193228,0.600000,0.580000,0.311127,0.330000,0.869272,1
187,600000000,0.102450,0.239272,0.485628,0.297112,0.463652,0.296626,0.600000,0.294412,0.600000,0.294412,0.600000,0.222446,0.196960,0.220000,0.198965,0.220000,0.195649,0.220000,0.195649,0,3.811155,0.220000,0.212667,0.206298,0.191631,0.600000,0.580000,0.311127,0.330000,0.852488,1
