sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
31,140000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007333,-0.000000,0.007333,-0.000000,0.000000,0.000000,0.000000,0.000000,0.007333,-0.000000,0.007333,-0.000000,0,-0.000000,0.007333,-0.007333,0.007333,-0.007333,0.020000,-0.020000,0.311127,0.110000,-0.000000,1
31,180000000,0.000026,0.000000,-0.000027,0.001315,-0.001351,0.007333,-0.000000,0.014667,0.000076,0.014667,0.000076,0.001315,0.000000,0.007333,-0.000000,0.014667,0.000008,0.014667,0.000008,0,0.000483,0.014667,0.000000,0.007333,-0.007333,0.020000,-0.020000,0.311127,0.110000,0.000027,1
31,220000000,0.000290,0.000000,-0.000297,0.006590,-0.006754,0.014667,0.000076,0.022000,0.000841,0.022000,0.000841,0.006590,0.000000,0.014667,0.000008,0.022000,0.000091,0.022000,0.000091,0,0.005325,0.022000,0.007333,0.007342,-0.007325,0.020076,-0.019924,0.311127,0.110000,0.000297,1
31,240000000,0.000527,0.000001,-0.000539,0.011858,-0.012099,0.022000,0.000841,0.029334,0.001525,0.029334,0.001525,0.011858,0.000000,0.022000,0.000091,0.029333,0.000165,0.029333,0.000165,0,0.009656,0.029333,0.014667,0.007424,-0.007242,0.020841,-0.019159,0.311127,0.110000,0.000539,1
31,280000000,0.001227,-0.000018,-0.001354,0.021796,-0.027317,0.029334,0.001525,0.036670,0.003830,0.036670,0.003830,0.021796,0.000000,0.029333,0.000165,0.036667,0.000472,0.036667,0.000472,0,0.027573,0.036667,0.022000,0.007499,-0.007168,0.021525,-0.018475,0.311127,0.110000,0.001354,1
31,300000000,0.001758,-0.000021,-0.001826,0.026569,-0.023601,0.036670,0.003830,0.044004,0.005165,0.044004,0.005165,0.026569,0.000000,0.036667,0.000472,0.044000,0.000627,0.044000,0.000627,0,0.036615,0.044000,0.029333,0.007805,-0.006861,0.023830,-0.016170,0.311127,0.110000,0.001826,1
31,340000000,0.002993,-0.000022,-0.002877,0.033201,-0.027704,0.044004,0.005165,0.051342,0.008138,0.051342,0.008138,0.033201,0.000000,0.044000,0.000627,0.051333,0.000956,0.051333,0.000956,0,0.055893,0.051333,0.036667,0.007960,-0.006707,0.025165,-0.014835,0.311127,0.110000,0.002877,1
31,360000000,0.003657,-0.000021,-0.003433,0.033196,-0.027772,0.051342,0.008138,0.058678,0.009709,0.058678,0.009709,0.033196,0.000000,0.051333,0.000956,0.058667,0.001129,0.058667,0.001129,0,0.065960,0.058667,0.044000,0.008290,-0.006377,0.028138,-0.011862,0.311127,0.110000,0.003433,1
31,400000000,0.005483,-0.000017,-0.004917,0.046438,-0.036502,0.058678,0.009709,0.066019,0.013907,0.066019,0.013907,0.046438,0.000000,0.058667,0.001129,0.066000,0.001578,0.066000,0.001578,0,0.092213,0.066000,0.051333,0.008462,-0.006205,0.029709,-0.010291,0.311127,0.110000,0.004917,1
31,440000000,0.007537,-0.000009,-0.006533,0.053037,-0.041714,0.066019,0.013907,0.073362,0.018478,0.073362,0.018478,0.053037,0.000000,0.066000,0.001578,0.073333,0.002058,0.073333,0.002058,0,0.120278,0.073333,0.058667,0.008911,-0.005755,0.033907,-0.006093,0.311127,0.110000,0.006533,1
31,460000000,0.008697,-0.000007,-0.007443,0.057995,-0.045493,0.073362,0.018478,0.080700,0.021051,0.080700,0.021051,0.057995,0.000000,0.073333,0.002058,0.080667,0.002335,0.080667,0.002335,0,0.136456,0.080667,0.066000,0.009392,-0.005275,0.038478,-0.001522,0.311127,0.110000,0.007443,1
31,500000000,0.011345,0.000021,-0.009320,0.066177,-0.047141,0.080700,0.021051,0.088046,0.026361,0.088046,0.026361,0.066165,0.001251,0.080667,0.002335,0.088000,0.002840,0.088000,0.002840,0,0.165939,0.088000,0.073333,0.009668,-0.004998,0.041051,0.001051,0.311127,0.110000,0.009320,1
31,520000000,0.012798,0.000035,-0.010353,0.072644,-0.051659,0.088046,0.026361,0.095384,0.029283,0.095384,0.029283,0.072630,0.001410,0.088000,0.002840,0.095333,0.003122,0.095333,0.003122,0,0.182436,0.095333,0.080667,0.010173,-0.004494,0.046361,0.006361,0.311127,0.110000,0.010353,1
31,560000000,0.015933,0.000061,-0.012573,0.084085,-0.058797,0.095384,0.029283,0.102735,0.035562,0.102735,0.035562,0.084067,0.001734,0.095333,0.003122,0.102667,0.003738,0.102667,0.003738,0,0.218431,0.102667,0.088000,0.010455,-0.004211,0.049283,0.009283,0.311127,0.110000,0.012573,1
31,580000000,0.017650,0.000076,-0.013733,0.085851,-0.058022,0.102735,0.035562,0.110075,0.038844,0.110075,0.038844,0.085831,0.001851,0.102667,0.003738,0.110000,0.004058,0.110000,0.004058,0,0.237160,0.110000,0.095333,0.011071,-0.003596,0.055562,0.015562,0.311127,0.110000,0.013733,1
31,620000000,0.021283,0.000102,-0.016057,0.092552,-0.058101,0.110075,0.038844,0.117428,0.045416,0.117428,0.045416,0.092528,0.002072,0.110000,0.004058,0.117333,0.004707,0.117333,0.004707,0,0.275048,0.117333,0.102667,0.011392,-0.003275,0.058844,0.018844,0.311127,0.110000,0.016057,1
31,660000000,0.025268,0.000118,-0.018449,0.105870,-0.061068,0.117428,0.045416,0.124784,0.052181,0.124784,0.052181,0.105843,0.002399,0.117333,0.004707,0.124667,0.005405,0.124667,0.005405,0,0.315848,0.124667,0.110000,0.012040,-0.002627,0.065416,0.025416,0.311127,0.110000,0.018449,1
31,680000000,0.027388,0.000122,-0.019662,0.106011,-0.060666,0.124784,0.052181,0.132126,0.055612,0.132126,0.055612,0.105988,0.002204,0.124667,0.005405,0.132000,0.005772,0.132000,0.005772,0,0.337319,0.132000,0.117333,0.012738,-0.001929,0.072181,0.032181,0.311127,0.110000,0.019662,1
